	Total cores	Big	Little	TB1	TB2	TB3	TB4	TB5	TB6	TB7	GTS1	GTS2	GTS3	GTS4	GTS5	GTS6	GTS7	ST1	ST2	ST3	ST4	ST5	ST6	ST7
BLACKSCHOLES	4	0	4	11849785	11892094	11868825	11821479	11819938	11871975	12049369	1145303	1153631	1146871	1146275	1148575	1146267	1149817	1150212	1149551	1156726	1146321	1149986	1150113	1151997
		2	2	7507531	7477762	7473301	7529087	7482006	7469879	7464028	1066858	1070571	1065813	1068129	1066060	1068153	1067200	1142248	1143335	1141317	1143906	1143556	1142022	1143689
		4	0	5477926	5478030	5503118	5494312	5491873	5494013	5475792	532569	533120	533138	533108	533208	533927	534062	537903	539019	534120	536428	533041	535157	534066
	5	4	1	4948106	4975440	4917719	4981286	4981260	4917842	4968815	652604	647931	652344	651805	651415	652332	651786	910297	911484	910164	910049	911085	909892	910389
	6	4	2	4502410	4503713	4440698	4506299	4549045	4517116	4522597	553814	554305	551219	554389	550838	554293	552739	762170	761378	761023	762692	762857	763172	760854
	7	4	3	4185029	4119028	4107829	4107067	4190912	4100391	4116459	481055	484457	481335	484180	479996	482418	482337	654383	656699	652807	652098	654451	654385	652164
	8	4	4	3835861	3836573	3828073	3838653	3846613	3831450	3843486	452086	439420	442920	444888	450042	444240	449916	572920	576929	575605	574240	575989	578179	573494
																								
BODYTRACK	4	0	4	514	515	506	502	503	503	504	571.536	571.781	571.592	571.066	572.414	571.413	572.574	580.379	580.632	580.238	581.031	580.709	580.331	580.805
		2	2	219	218	217	219	217	218	218	305.092	305.388	305.375	304.811	305.098	305.159	305.161	252.864	252.882	252.691	252.986	252.88	253.143	252.796
		4	0	140	140	140	140	140	140	140	159.235	159.315	159.255	159.026	159.124	159.39	159.05	161.156	160.868	164.458	161.149	161.05	161.125	161.063
	5	4	1	138	138	138	138	138	138	138	196.515	196.354	196.814	198.014	196.603	196.564	196.282	160.977	161.753	160.233	161.246	161.493	160.954	160.362
	6	4	2	137	136	137	136	136	137	136	189.855	189.72	189.974	189.817	190.088	190.369	190	156.6	155.572	156.854	155.293	155.883	158.16	156.418
	7	4	3	135	134	134	135	135	135	135	185.879	186.21	185.951	186.26	186.359	186	186.203	151.439	152.077	151.485	151.386	155.473	151.374	150.722
	8	4	4	134	134	133	134	134	135	133	182.891	184.504	182.979	182.989	183.278	183.103	183.123	147.386	147.725	148.037	147.314	146.892	147.755	148.657
																								
CANNEAL	4	0	4	303	303	303	304	303	305	303	301	300	300	302	300	302	300	302	302	300	300	300	301	301
		2	2	297	298	298	298	297	297	298	355	355	355	355	355	355	356	295	294	293	294	295	294	294
		4	0	198	198	199	199	198	201	198	195	196	196	195	196	195	195	195	195	195	195	195	196	195
	5	4	1	241	241	241	241	240	241	241	240	240	240	240	239	240	240	235	236	235	237	235	236	236
	6	4	2	204	203	203	202	204	202	204	212	211	210	211	210	209	210	198	198	198	198	198	198	199
	7	4	3	176	176	177	176	178	177	176	187	187	187	186	186	186	187	171	171	171	172	172	172	171
	8	4	4	157	157	158	157	165	157	158	176	176	176	176	176	175	175	152	152	152	151	152	152	152
																								
DEDUP	4	0	4	48.926	50.553	50.379	50.398	50.192	50.385	50.327	49.28	46.389	43.231	52.118	46.897	43.029	43.556	52.859	54.432	56.931	54.236	56.011	54.566	55.904
		2	2	30.462	30.289	30.654	30.67	30.531	30.736	30.609	31.767	31.925	27.475	28.074	27.072	28.83	26.713	31.81	32.28	31.971	31.742	32.244	30.627	32.434
		4	0	23.919	23.506	23.385	23.339	23.454	23.512	23.461	19.148	18.255	19.101	17.918	18.723	18.325	18.685	21.288	21.716	25.144	23.524	21.434	22.083	21.198
	5	4	1	23.395	23.314	23.13	23.261	23.456	23.475	23.369	35.854	37.046	35.762	36.553	36.676	36.35	35.997	36	27	36	35	33	36	37
	6	4	2	24.111	23.544	23.672	23.737	23.907	23.849	24.026	22.109	21.989	18.881	18.496	20.418	23.449	23.492	27	26	26	26	27	28	25
	7	4	3	24.303	24.115	24.264	24.103	24.33	24.541	24.301	27.011	27.131	27.366	26.644	26.936	26.643	26.56	32	33	33	33	33	33	34
	8	4	4	24.561	25.134	24.693	24.986	24.734	35.935	24.682	24.205	25.554	25.431	25.021	25.114	25.46	26.075	30.903	29.594	30.839	30.772	31.204	30.991	30.809
																								
FACESIM	4	0	4	1579	1602	1640	1625	1644	1614	1567	1621	1622	1621	1638	1622	1638	1620	1624	1618	1619	1619	1623	1626	1630
		2	2	851	840	851	848	849	846	847	953	961	995	950	963	946	941	1581	1583	1568	1580	1572	1585	1577
		4	0	644		654	665	665	664	663	604	635	643	660	641	652	647	576	632	645	633	633	636	633
	6	4	2	754	698	677	680	667	699	678	729	719	733	734	727	730	713	1122	1124	1123	1122	1127	1125	1122
	8	4	4	624	634	602	620	631	628	627	640	643	641	644	636	640	638	889	891	891	890	889	888	890
																								
FERRET	4	0	4	1588.115	1588.656	1598.742	1588.128	1595.985	1587.19	1585.948	1588.983	1589.077	1588.238	1588.263	1587.363	1588.977	1588.445	1588.606	1591.101	1588.705	1588.213	1591.612	1588.335	1587.559
		2	2	680.78	681.621	682.032	681.511	681.112	679.341	694.776	701.25	695.202	714.586	697.058	722.251	728.122	714.068	676.173	676.376	680.06	679.052	679.784	676.954	676.246
		4	0	561.063	574.84	575.498	577.938	575.725	578.336	577.308	558.022	570.809	572.495	571.912	571.922	574.707	574.568	565.148	575.34	577.699	577.074	575.135	576.908	575.651
	5	4	1	537.085	537.675	534.851	535.813	538.437	535.276	534.523	534.222	532.814	537.197	534.046	533.765	537.151	533.191	532.997	534	534.124	535.332	533.447	534.612	534.848
	6	4	2	504.248	498.995	498.244	498.696	500.286	498.507	499.326	501.963	497.389	498.657	498.608	498.408	502.041	499.98	500.135	497.308	499.66	496.939	500.167	497.578	499.225
	7	4	3	471.076	468.471	470.628	471.183	467.642	467.875	468.39	468.285	465.929	468.221	467.285	470.008	470.793	470.119	466.333	465.72	466.93	467.711	481.849	462.941	465.947
	8	4	4	444.061	447.994	442.339	443.797	460.459	442.185	447.121	443.715	445.17	447.112	441.772	446.068	441.597	447.338	440.732	458.807	439.062	442.918	445.61	442.736	442.933
																								
FLUID	4	0	4	944	944	944	944	944	943	944	963	960	961	964	962	962	962	963	964	961	961	963	965	966
		2	2	544	539	540	540	539	541	542	612	612	613	611	613	612	614	956	957	957	958	958	958	957
