A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.189992,3.201165,0.030325,0.128700
0.172720,1.612899,0.047385,0.128700
0.150937,2.727648,0.065610,0.127710
0.243024,2.742432,0.030325,0.127710
0.243024,3.192245,0.030325,0.126720
0.242028,3.200050,0.031512,0.126720
0.243024,3.203395,0.031512,0.126720
0.243024,3.203395,0.030325,0.126720
0.243024,3.203395,0.030325,0.127710
0.245735,3.202280,0.030325,0.127710
0.244510,3.201165,0.030325,0.126720
0.232232,3.201165,0.044881,0.127710
0.248675,3.417192,0.070470,0.127710
0.230405,3.714025,0.048520,0.127710
0.219240,3.724078,0.042455,0.127710
0.219240,3.733002,0.042455,0.127839
0.219240,3.733014,0.043668,0.127710
0.211120,3.730780,0.048520,0.128700
0.219240,3.539952,0.042455,0.128700
0.220255,3.731897,0.041242,0.128700
0.220255,3.738599,0.041242,0.128830
0.220472,3.737482,0.037603,0.129821
0.220472,3.410496,0.033964,0.128700
0.252756,3.208970,0.054585,0.128700
