A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.045810,1.392454,0.038816,0.106920
0.046828,1.323882,0.035177,0.107028
0.045810,1.407938,0.036390,0.105930
0.043774,1.557549,0.035177,0.105930
0.045810,2.110110,0.047307,0.105930
0.062098,2.209779,0.058224,0.106037
0.124074,2.127565,0.064395,0.105930
0.159669,2.125650,0.055890,0.105930
0.159512,2.120100,0.055890,0.105930
0.159669,2.121210,0.055798,0.105930
0.159669,2.122320,0.055798,0.106920
0.159669,2.123430,0.055890,0.106920
0.159669,2.123430,0.057105,0.106920
0.160686,2.122320,0.057011,0.106920
0.159669,2.122320,0.055890,0.106920
0.160686,2.125650,0.055798,0.106920
0.170688,2.124540,0.063180,0.106920
0.211328,2.224440,0.074115,0.106920
0.160686,2.141190,0.055798,0.106920
0.160686,2.125650,0.057105,0.106920
0.159669,2.126760,0.055798,0.106920
0.160686,2.127870,0.055890,0.106920
0.159669,2.126760,0.055890,0.106920
