A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.086530,2.841160,0.054585,0.119911
0.069224,1.475404,0.048600,0.119911
0.116052,1.482040,0.053460,0.118920
0.057008,1.482040,0.036390,0.118920
0.064134,1.986900,0.059437,0.117810
0.097728,3.282560,0.054585,0.117929
0.090513,3.216312,0.055798,0.117929
0.093564,3.253570,0.054585,0.117929
0.089496,3.320470,0.055798,0.117929
0.079404,3.244212,0.054585,0.117929
0.092638,3.283272,0.054585,0.117929
0.088479,3.200688,0.061965,0.117929
0.134244,3.354696,0.071685,0.118920
0.096615,3.275460,0.055798,0.118920
0.089584,3.429468,0.054585,0.118920
0.092638,3.253140,0.055798,0.118920
0.088566,3.265416,0.053372,0.119911
0.092547,3.292200,0.055798,0.119911
