A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.049980,3.300012,0.033936,0.118800
0.055990,2.427300,0.029112,0.118800
0.049980,2.416425,0.042455,0.117810
0.049882,3.317868,0.037603,0.117810
0.048864,3.322332,0.036390,0.117810
0.049882,3.380364,0.048520,0.117929
0.052936,3.455136,0.044881,0.117929
0.097728,3.462948,0.054585,0.117810
0.094674,3.459600,0.060650,0.117929
0.049882,3.465180,0.044881,0.118920
0.049980,3.466296,0.044844,0.117810
0.050900,3.457368,0.042455,0.118800
0.048960,3.457368,0.046094,0.118920
0.050900,3.466296,0.044881,0.118920
0.049882,3.466296,0.042455,0.118920
0.049882,3.458484,0.046094,0.118920
0.049882,3.464064,0.044844,0.118920
0.050900,3.462948,0.043668,0.118920
0.093656,3.466296,0.052159,0.118920
0.090602,3.461832,0.064289,0.118920
0.049882,3.460716,0.044881,0.118920
