A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.188976,3.000648,0.029088,0.120902
0.139329,2.633216,0.037572,0.119911
0.187960,2.623208,0.031512,0.118920
0.201168,3.002695,0.032724,0.118920
0.224224,2.988405,0.055798,0.118920
0.206040,2.990631,0.047268,0.118920
0.187960,2.998422,0.030300,0.118920
0.187128,2.997309,0.030300,0.118920
0.187960,2.996196,0.030300,0.117929
0.186944,2.997309,0.030300,0.117929
0.187960,3.001580,0.030300,0.117929
0.182880,2.996196,0.030300,0.117929
0.162560,3.441744,0.060650,0.117929
0.161703,3.724078,0.053328,0.117929
0.172720,3.731897,0.053328,0.118920
0.208280,3.727429,0.066715,0.118920
0.187960,3.739716,0.066715,0.118920
0.162560,3.736365,0.052116,0.118920
0.164592,3.744184,0.052116,0.119911
0.162560,3.740833,0.052116,0.119911
0.162720,3.747535,0.052116,0.120902
0.163576,3.747535,0.050904,0.120902
0.164592,3.171060,0.030300,0.120902
0.188976,3.012891,0.029088,0.119911
0.188976,3.008439,0.029088,0.119911
