A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.192024,3.485040,0.063076,0.116938
0.169839,2.594296,0.042420,0.116938
0.165771,3.588921,0.037572,0.116938
0.164754,3.598974,0.041208,0.116938
0.163737,3.374784,0.041208,0.116938
0.161703,3.224580,0.049692,0.116938
0.160686,3.221235,0.047268,0.116938
0.161703,3.219005,0.046056,0.116938
0.159669,3.218544,0.047268,0.116938
0.161703,3.176635,0.047268,0.116938
0.159669,3.069595,0.047268,0.116938
0.185928,3.039490,0.052116,0.116938
0.216408,3.016075,0.066715,0.116938
0.161703,3.193992,0.053328,0.116938
0.160686,3.221892,0.048480,0.116938
0.160686,3.224124,0.046056,0.116938
0.160686,3.223008,0.047268,0.116938
0.160686,3.216775,0.046056,0.116938
0.160686,3.097470,0.047268,0.115947
0.160686,3.125345,0.047268,0.115947
0.160686,3.130920,0.047268,0.115947
0.186111,3.163255,0.049692,0.115947
0.219456,3.208970,0.066715,0.115947
0.161703,3.219005,0.055752,0.115947
0.160686,3.221892,0.046056,0.115947
0.161703,3.219005,0.047268,0.115947
0.160686,3.219005,0.047268,0.116938
0.160686,3.217890,0.047268,0.116938
0.162560,3.218544,0.050904,0.115947
0.177800,3.230820,0.037572,0.115947
