A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.105872,2.626544,0.030300,0.111983
0.112998,1.416786,0.043668,0.112974
0.053040,2.949450,0.040029,0.111983
0.046828,3.283675,0.036390,0.110992
0.046828,3.280330,0.042455,0.111983
0.074314,3.363624,0.067928,0.111983
0.100683,3.420540,0.049733,0.112974
0.048864,3.431700,0.044881,0.112974
0.048864,3.426120,0.046094,0.112974
0.046828,3.433932,0.044881,0.112974
0.049882,3.438396,0.044881,0.113965
0.047846,3.436164,0.043668,0.113965
0.048864,3.436164,0.046094,0.113965
0.049882,3.440628,0.043668,0.114956
0.047846,3.440628,0.043668,0.114956
0.077368,3.433932,0.048520,0.115947
0.108926,3.435048,0.060650,0.115947
0.048864,3.445092,0.052159,0.115947
0.048864,3.454020,0.044881,0.115947
0.048864,3.451788,0.044881,0.115947
0.048864,3.454020,0.044881,0.115947
