A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.303475,2.987292,0.029088,0.117929
0.209040,2.365319,0.040029,0.117929
0.302784,2.695686,0.031512,0.117929
0.303475,2.981727,0.030300,0.116938
0.303475,2.982840,0.030300,0.116938
0.303475,2.981727,0.030300,0.116938
0.303475,2.983953,0.030300,0.116938
0.301788,2.980614,0.037572,0.115947
0.288840,2.976162,0.055798,0.116938
0.296808,2.973936,0.042420,0.115947
0.303780,2.979501,0.030300,0.115947
0.300792,2.978388,0.032724,0.115830
0.271484,3.457368,0.061863,0.115947
0.263472,3.615729,0.052116,0.115947
0.258960,3.730780,0.053328,0.116938
0.259956,3.733014,0.054540,0.116938
0.259956,3.743067,0.053328,0.117929
0.259956,3.680515,0.054540,0.117929
0.253980,3.718493,0.069141,0.117929
0.265848,3.734131,0.061863,0.118920
0.273510,3.750886,0.048480,0.118920
0.305465,3.126417,0.030300,0.118800
0.305465,2.999535,0.029088,0.117810
