A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.100782,3.549826,0.038816,0.124866
0.082620,1.364804,0.038816,0.123875
0.134244,2.591064,0.066825,0.123008
0.100782,3.595623,0.037603,0.122884
0.100782,3.607910,0.038816,0.122884
0.104854,3.402684,0.048520,0.122884
0.105872,3.316752,0.043668,0.122884
0.105872,3.727429,0.052159,0.122884
0.105872,3.630250,0.053372,0.123875
0.105872,3.689451,0.050946,0.123875
0.105872,3.400452,0.046094,0.123875
0.104854,3.743064,0.053372,0.123875
0.125214,3.620197,0.057011,0.123875
0.153567,3.620197,0.069255,0.123875
0.123178,3.542007,0.059437,0.123875
0.105872,3.754244,0.053372,0.123875
0.106890,3.605676,0.050946,0.124866
0.105872,3.620197,0.049733,0.124866
0.105872,3.414960,0.044844,0.124866
0.105872,3.675984,0.050946,0.124866
