A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.043774,1.659393,0.020604,0.099000
0.078309,3.557808,0.039996,0.099100
0.098649,3.575664,0.042420,0.099100
0.100683,3.583476,0.042420,0.100091
0.100683,3.586824,0.042420,0.100091
0.100683,3.589056,0.042385,0.100091
0.100683,3.592404,0.042420,0.100091
0.100683,3.594636,0.042385,0.101082
0.100683,3.596868,0.042420,0.101082
0.100683,3.597984,0.042420,0.101082
0.101700,3.600216,0.042385,0.102073
0.099666,3.600216,0.042420,0.102073
0.101700,3.601332,0.043632,0.101970
0.100683,3.602448,0.042420,0.102073
0.101700,3.602448,0.042420,0.101970
0.100683,3.602448,0.042420,0.101970
0.077368,2.373096,0.042420,0.102073
0.043774,1.285172,0.007272,0.100980
0.045810,1.274112,0.004844,0.099990
0.043774,1.266370,0.004844,0.099000
0.043774,1.261946,0.003633,0.097020
0.042756,1.258628,0.003636,0.097020
0.042756,1.256416,0.003636,0.096030
0.042756,1.253098,0.003633,0.095040
