A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.054060,3.110850,0.047307,0.121770
0.056100,1.398141,0.035177,0.120780
0.054060,1.497771,0.037603,0.120780
0.051000,1.486701,0.037603,0.120780
0.054060,1.931400,0.046094,0.120780
0.052020,3.746418,0.055798,0.120780
0.052020,3.767660,0.055798,0.120780
0.052936,3.778840,0.055798,0.121770
0.054060,3.783312,0.059437,0.122760
0.094674,3.787784,0.070470,0.122760
0.097728,3.790020,0.059437,0.122760
0.054060,3.801200,0.055798,0.124866
0.054060,3.801200,0.055798,0.124866
0.052936,3.805672,0.055798,0.124866
0.053040,3.807908,0.055798,0.125730
0.051918,3.810144,0.055798,0.125730
0.052936,3.778840,0.054585,0.126720
0.052936,1.480059,0.031538,0.125730
0.056100,1.464561,0.042455,0.125730
0.051000,1.604043,0.046170,0.124740
0.095692,1.530981,0.063180,0.124740
0.072420,3.683810,0.055798,0.124740
0.051000,3.759834,0.054585,0.123750
0.050900,3.772132,0.054585,0.124866
0.051918,3.778840,0.055798,0.124740
0.051918,3.786666,0.054585,0.124740
0.054060,3.792256,0.055798,0.125857
0.052020,3.792256,0.055798,0.125857
0.053954,3.794492,0.055798,0.126720
0.052936,3.794492,0.055798,0.126848
0.093656,3.794492,0.057011,0.127839
0.100782,3.792256,0.068040,0.127710
0.055080,3.796728,0.063076,0.127710
