A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.045810,2.166450,0.043668,0.112974
0.051000,1.854792,0.032751,0.112860
0.045900,1.256416,0.036390,0.112860
0.045900,1.471203,0.040029,0.111870
0.045900,1.705212,0.047307,0.111870
0.046920,2.138970,0.047307,0.111983
0.046920,2.146452,0.047307,0.111983
0.045900,2.146452,0.047307,0.112974
0.046920,2.144230,0.047307,0.111983
0.069224,2.249775,0.055890,0.112974
0.092638,2.178671,0.060750,0.112974
0.046920,2.152007,0.047307,0.112974
0.046828,2.150070,0.046094,0.112974
0.045900,2.149785,0.046094,0.112974
0.046920,2.147563,0.047307,0.112974
0.046920,2.149785,0.046094,0.112974
0.046920,2.155340,0.046094,0.112974
0.046920,2.154229,0.046094,0.112974
0.045900,2.152007,0.047307,0.112974
0.046920,2.148674,0.047307,0.112974
