A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.247172,3.575664,0.047229,0.099990
0.245146,3.619188,0.048440,0.099990
0.167640,1.898004,0.061812,0.099100
0.246492,2.949450,0.060600,0.099100
0.245673,3.407148,0.048440,0.099100
0.245220,3.415245,0.056964,0.099000
0.239040,3.245765,0.048440,0.099000
0.241516,3.464064,0.055706,0.099000
0.246159,3.244650,0.046018,0.099000
0.248460,3.165485,0.061812,0.099100
0.246960,3.347230,0.049651,0.099000
0.247172,3.431700,0.052116,0.099000
0.245262,3.427236,0.049651,0.099000
0.246960,3.542184,0.060600,0.099000
0.247230,3.311550,0.058128,0.099000
0.242446,3.693960,0.046018,0.099000
0.245220,3.615840,0.058176,0.099100
0.245952,3.352805,0.046056,0.099100
0.250494,3.366972,0.046018,0.100091
0.236526,3.244650,0.059339,0.099000
0.249470,3.312665,0.048440,0.099000
0.249736,3.645888,0.056917,0.099000
0.249736,3.546648,0.049651,0.099000
0.242446,3.253570,0.055752,0.099000
0.247172,3.246880,0.047229,0.099000
0.246715,3.680568,0.058176,0.099000
0.247968,3.590038,0.046018,0.099000
0.242726,3.294825,0.060550,0.099000
0.246440,3.168830,0.048440,0.099000
0.245708,3.479688,0.054540,0.099000
0.240240,3.331620,0.047229,0.100091
0.248976,3.583336,0.056917,0.099100
0.247940,3.593520,0.047229,0.100091
0.248729,3.517632,0.055706,0.100091
0.248185,3.654900,0.053284,0.099990
0.245735,3.137547,0.058176,0.099000
0.246159,3.479688,0.048440,0.099990
0.249498,3.556692,0.060550,0.099990
0.247172,3.556692,0.047229,0.099990
0.245708,3.571200,0.059388,0.100091
0.246684,3.552228,0.055752,0.099990
0.246470,3.657132,0.050862,0.099990
0.247230,3.546648,0.060550,0.100091
0.240036,3.429468,0.049651,0.100091
0.239520,3.245765,0.056917,0.099990
0.245673,3.679452,0.048440,0.100091
0.247722,3.590038,0.054495,0.099990
0.245146,3.147564,0.047229,0.099990
0.250494,3.351690,0.058128,0.100091
0.248496,3.217890,0.064183,0.099990
0.245673,3.444235,0.047229,0.099990
0.248976,3.213231,0.061761,0.100091
0.247172,3.496428,0.048440,0.099000
0.251750,3.313780,0.054540,0.099000
0.248185,3.642537,0.046018,0.099000
0.248185,3.592404,0.056964,0.100091
0.249498,3.586824,0.046018,0.100091
0.248952,3.556692,0.060550,0.100091
0.250500,3.565620,0.059339,0.099990
0.249984,3.609144,0.050862,0.100091
0.250743,3.600216,0.053328,0.099990
0.246738,3.305975,0.048440,0.099990
0.244701,3.303745,0.059339,0.100091
0.247722,3.491964,0.049651,0.099990
0.250211,3.570084,0.058128,0.099990
0.251502,3.635835,0.058128,0.100091
0.247172,3.583476,0.049651,0.100091
0.243512,3.237960,0.060550,0.099990
0.236052,3.212315,0.048440,0.100091
0.248235,3.451788,0.058128,0.099990
0.246159,3.336080,0.050862,0.099990
0.248482,3.412728,0.055706,0.100091
0.246645,3.425280,0.049651,0.100091
0.244732,3.331620,0.059339,0.099990
0.245673,3.395988,0.048440,0.099990
0.247476,3.391830,0.054540,0.099000
0.248185,3.304860,0.050862,0.100091
0.247230,3.440628,0.059339,0.099990
0.247450,3.142070,0.050862,0.099000
0.254518,3.551112,0.058128,0.099000
0.245430,3.526560,0.054495,0.099990
0.251502,3.612492,0.060550,0.099990
0.247172,3.615840,0.049651,0.099000
0.248496,3.590172,0.055706,0.099990
0.243243,3.619080,0.060550,0.099990
0.242484,3.571200,0.053284,0.099990
0.245708,3.613495,0.049651,0.099990
0.244488,3.593520,0.055752,0.099990
0.243486,3.612492,0.052073,0.100091
0.245430,3.650356,0.062972,0.099990
0.248706,3.271410,0.050862,0.099990
0.246440,3.409380,0.061761,0.099990
0.249488,3.545532,0.048440,0.099990
0.243729,3.689496,0.052073,0.099990
0.246684,3.564504,0.059339,0.099990
0.249498,3.618072,0.047229,0.099990
0.246684,3.605796,0.062972,0.099990
0.245245,3.285905,0.049651,0.100091
0.245146,3.212315,0.055752,0.100091
0.250992,3.600216,0.047229,0.099990
0.249736,3.691728,0.055706,0.100091
0.237048,3.115310,0.049651,0.099990
0.243210,3.505560,0.061761,0.099990
0.251739,3.194310,0.047229,0.099990
0.247450,3.454020,0.062972,0.100091
0.246684,3.279215,0.047229,0.099990
0.243892,3.212315,0.059339,0.100091
0.247741,3.546815,0.046018,0.100091
0.245916,3.229040,0.056917,0.100091
0.243024,3.457368,0.048440,0.100091
0.246928,3.183325,0.055706,0.099100
0.246246,3.582360,0.048440,0.099990
0.247172,3.220120,0.048440,0.099000
0.248460,3.638069,0.059339,0.099000
0.250743,3.659292,0.048440,0.100091
0.247450,3.556692,0.064183,0.100091
0.244488,3.466296,0.047229,0.099990
0.248185,3.310435,0.053284,0.099990
0.250211,3.196705,0.054495,0.100091
0.244944,3.472992,0.058128,0.099990
0.248460,3.639276,0.046018,0.099990
0.246440,3.452904,0.053284,0.099990
0.243024,3.319355,0.046018,0.099990
0.245490,3.543300,0.054540,0.099990
0.246715,3.504240,0.047229,0.099990
0.247494,3.320470,0.056964,0.099990
0.243452,3.476340,0.048440,0.099000
0.243694,3.269180,0.060550,0.099990
0.249198,3.269180,0.058128,0.099000
0.247494,3.538836,0.054495,0.099000
0.248706,3.565620,0.059339,0.099990
0.243000,3.648122,0.047229,0.099990
0.250245,3.657132,0.055706,0.099990
0.247450,3.271410,0.049651,0.099990
0.246225,3.510936,0.056917,0.099990
0.240240,3.244650,0.048440,0.099990
0.247968,3.230155,0.058128,0.099990
0.249736,3.662712,0.047229,0.099000
0.246738,3.674988,0.058128,0.099000
0.243729,3.187632,0.048440,0.099990
0.246470,3.457615,0.059339,0.099990
0.248185,3.379565,0.049651,0.099990
0.247722,3.220120,0.058128,0.099000
0.244488,3.660480,0.047229,0.099000
0.247722,3.643654,0.059339,0.099000
0.248185,3.593520,0.047229,0.099000
0.245490,3.556692,0.058128,0.099000
0.248952,3.580128,0.048440,0.099990
0.247000,3.631464,0.052073,0.099990
0.246159,3.227925,0.048440,0.099000
0.247230,3.322700,0.056917,0.099990
0.248185,3.421935,0.049651,0.099990
0.246492,3.333492,0.056917,0.099000
0.252000,3.699504,0.056917,0.099990
0.247968,3.602448,0.056917,0.099990
0.247968,3.359160,0.047229,0.099990
0.244904,3.445092,0.053284,0.099990
0.248460,3.320470,0.052073,0.099990
0.250211,3.249110,0.052073,0.099990
0.246645,3.536604,0.049651,0.099000
0.247247,3.599100,0.054495,0.099990
0.244420,3.516516,0.058128,0.099990
0.246684,3.249110,0.047229,0.099990
0.246928,3.403800,0.047229,0.099990
0.243024,3.312665,0.059339,0.099990
0.246159,3.291084,0.047229,0.099990
0.244020,3.456252,0.055706,0.099990
0.246440,3.357265,0.049651,0.099000
0.240277,3.324930,0.059339,0.099000
0.246960,3.432816,0.048440,0.099000
0.247247,3.566736,0.056917,0.099990
0.244904,3.545532,0.050862,0.100091
0.247741,3.577896,0.055706,0.099990
0.248729,3.623652,0.055706,0.099000
0.247968,3.623652,0.049651,0.099990
0.251500,3.581244,0.050862,0.099990
0.248185,3.454020,0.049651,0.099990
0.248729,3.200050,0.058128,0.099990
0.247172,3.696153,0.048440,0.099990
0.247722,3.706236,0.054495,0.099990
0.246960,3.610370,0.046018,0.099990
0.249198,3.611376,0.061761,0.099990
0.249747,3.548880,0.053284,0.099990
0.247940,3.661526,0.052073,0.099990
0.250245,3.647088,0.054495,0.099990
0.253008,3.672756,0.055706,0.099990
0.249198,3.572166,0.053284,0.099990
0.245708,3.300400,0.048440,0.099990
0.247660,3.498660,0.060550,0.099990
0.247494,3.592404,0.048440,0.099990
0.246715,3.548709,0.064183,0.099990
0.240000,3.234615,0.049651,0.099990
0.246715,3.589056,0.052073,0.099990
0.249198,3.570084,0.053328,0.099990
0.252506,3.465180,0.049651,0.099990
0.246159,3.291480,0.055752,0.099990
0.247494,3.372552,0.048440,0.100091
0.236052,3.450672,0.059339,0.099990
0.246012,3.529908,0.049651,0.099990
0.247940,3.572166,0.052073,0.099990
0.241516,3.448440,0.050862,0.099990
0.243694,3.264720,0.056917,0.099990
0.245245,3.689451,0.048440,0.099990
0.248185,3.575664,0.059339,0.100091
0.251251,3.556692,0.047229,0.099990
0.244420,3.667176,0.047229,0.100091
0.245464,3.603564,0.056964,0.100091
0.250245,3.714025,0.048440,0.100091
0.241000,3.586824,0.058128,0.099990
0.245508,3.246444,0.060550,0.100091
0.238238,3.489732,0.050862,0.100091
0.247494,3.480804,0.059339,0.100091
0.248952,3.682800,0.049651,0.100091
0.245245,3.332735,0.062972,0.100091
0.244904,3.342420,0.048440,0.100091
0.248496,3.613608,0.055752,0.100091
0.250743,3.484152,0.046018,0.100091
0.244701,3.498870,0.055706,0.100091
0.249736,3.234615,0.048440,0.100091
0.245708,3.234615,0.055752,0.100091
0.249736,3.476570,0.049651,0.100091
0.245708,3.358044,0.058176,0.100091
0.247968,3.404916,0.054495,0.100091
0.249198,3.309320,0.048440,0.100091
0.245220,3.516516,0.061761,0.100091
0.245673,3.587940,0.054495,0.100091
0.246492,3.605796,0.049651,0.100091
0.246684,3.615840,0.053284,0.100091
0.243024,3.406325,0.048440,0.100091
0.248706,3.394872,0.059339,0.100091
0.245220,3.535488,0.048440,0.100091
0.245708,3.625782,0.060550,0.100091
0.248185,3.575664,0.046018,0.099990
0.250250,3.596868,0.055706,0.100091
0.237524,3.253570,0.047229,0.100091
0.251502,3.602448,0.055706,0.100091
0.247172,3.602448,0.054540,0.100091
0.244244,3.380364,0.050862,0.100091
0.247172,3.365070,0.053328,0.100091
0.252504,3.535305,0.050862,0.100091
0.250992,3.620304,0.055752,0.100091
0.249198,3.567852,0.047229,0.100091
0.245490,3.430584,0.054540,0.100091
0.238283,3.340540,0.050862,0.100091
0.248976,3.510936,0.058176,0.100091
0.249717,3.448440,0.054495,0.100091
0.251739,3.681684,0.047229,0.100091
0.244732,3.533256,0.061761,0.100091
0.247450,3.185555,0.049651,0.099990
0.251490,3.386255,0.055706,0.099990
0.248185,3.464064,0.050862,0.099990
0.248729,3.392945,0.056917,0.099990
0.249198,3.360610,0.048440,0.100091
0.246715,3.517632,0.048440,0.100091
0.247722,3.517632,0.060550,0.100091
0.248460,3.240190,0.053284,0.099990
0.248460,3.582219,0.061761,0.100091
0.250494,3.667176,0.049651,0.100091
0.243729,3.143112,0.054495,0.099000
0.249198,3.519864,0.046018,0.100091
0.249240,3.215660,0.054540,0.100091
0.246440,3.430584,0.048440,0.100091
0.245464,3.567852,0.058176,0.100091
0.241723,3.505356,0.048440,0.100091
0.246246,3.505356,0.055706,0.100091
0.247172,3.563388,0.047229,0.100091
0.246470,3.437280,0.062972,0.100091
0.249198,3.423050,0.048440,0.100091
0.250500,3.422772,0.056964,0.099990
0.248952,3.594506,0.047229,0.099990
0.249000,3.601332,0.059339,0.099990
0.246159,3.259836,0.049651,0.099990
0.244020,3.523212,0.062972,0.099990
0.238044,3.258030,0.048440,0.099990
0.246492,3.479455,0.056917,0.099000
0.246684,3.574548,0.056917,0.099990
