A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.144414,0.798572,0.065610,0.136620
0.120124,1.669942,0.066825,0.136620
0.113904,1.677512,0.061965,0.134776
0.113904,3.447062,0.064395,0.134776
0.121023,3.462700,0.076608,0.134640
0.117972,3.873870,0.074115,0.134640
0.115938,3.826914,0.071685,0.134640
0.115938,3.860454,0.072900,0.135630
0.115938,4.016320,0.061965,0.134640
0.120006,3.826914,0.071685,0.135630
0.115938,3.737474,0.072900,0.136620
0.118989,3.851510,0.081405,0.135630
0.183896,3.881696,0.096064,0.136620
0.170688,3.799040,0.076608,0.136620
0.130176,3.603442,0.074115,0.136620
0.130176,3.976726,0.082688,0.136620
0.131193,3.894240,0.076545,0.136620
0.132210,3.815734,0.075330,0.136620
0.131193,3.855982,0.074115,0.136620
0.127125,3.807908,0.075330,0.136620
0.135261,3.615612,0.070470,0.136620
0.112887,4.046560,0.049733,0.136620
0.118989,3.716232,0.081472,0.136620
0.170688,3.596606,0.093632,0.137749
0.152400,4.024800,0.082688,0.137749
0.120006,3.973372,0.079040,0.137749
0.117972,3.891758,0.074115,0.137610
0.121023,3.832504,0.080256,0.136620
0.117972,3.892000,0.072900,0.137749
0.117972,3.878342,0.079040,0.137610
0.118989,3.908800,0.071685,0.137749
0.122040,3.776604,0.074115,0.137610
0.114921,3.902080,0.075330,0.137610
0.183896,4.070080,0.075330,0.137610
0.187960,3.923360,0.078975,0.137610
0.126108,3.722940,0.076545,0.138600
0.128142,3.876320,0.074115,0.138600
0.132210,3.769920,0.081472,0.138740
0.128142,4.030880,0.069255,0.138740
0.122040,3.876106,0.074115,0.137610
0.118989,3.936800,0.065502,0.138740
0.118989,4.063930,0.063180,0.138600
0.117972,3.939832,0.070470,0.137610
0.115938,3.879460,0.064395,0.137610
0.116955,3.754244,0.076545,0.138740
0.181864,3.754244,0.093632,0.137749
0.177800,3.971136,0.089984,0.138600
0.126108,3.849274,0.075330,0.138600
0.124074,3.955484,0.081472,0.138600
0.128142,3.903200,0.078975,0.138740
0.125091,3.821324,0.076545,0.139731
0.110853,4.066720,0.050946,0.138740
0.114921,3.856160,0.059535,0.138600
0.122040,3.750890,0.072900,0.138600
0.116955,3.695036,0.086336,0.138600
0.121023,3.906292,0.075330,0.138740
0.155448,3.858218,0.091200,0.138740
0.182880,3.875200,0.094848,0.138600
0.132210,3.953600,0.077824,0.138740
0.134244,3.867162,0.080256,0.139731
0.130176,3.749772,0.074115,0.138740
0.130176,3.634618,0.081472,0.138740
0.124074,3.866044,0.074115,0.138740
0.136278,3.883932,0.083904,0.138740
0.127125,3.759834,0.072900,0.138740
0.128142,3.859520,0.072900,0.138740
0.171704,3.956602,0.097280,0.138600
0.166624,3.474987,0.091200,0.138740
0.123057,3.862880,0.072900,0.138740
0.131193,3.447324,0.074115,0.138740
0.125091,3.780000,0.074115,0.137749
0.130176,3.805760,0.072960,0.137749
0.123057,3.992378,0.075330,0.137610
0.123057,3.816852,0.075330,0.137610
0.127125,3.918880,0.076608,0.138740
0.126108,3.794560,0.063180,0.137610
