A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.097728,0.565839,0.046094,0.118800
0.090602,1.002036,0.044881,0.117810
0.070242,3.265678,0.052245,0.115947
0.062098,3.767660,0.046094,0.115947
0.081440,2.329767,0.040029,0.116820
0.086530,3.221428,0.057011,0.116938
0.074314,3.695036,0.041242,0.116938
0.075332,2.881557,0.050946,0.117929
0.114921,3.792256,0.060750,0.117929
0.110962,2.060905,0.066825,0.118920
0.094674,3.494868,0.053460,0.117929
0.062098,3.402382,0.037603,0.118920
0.079404,2.317408,0.047385,0.117810
0.084494,3.755224,0.047307,0.117929
0.067188,3.775486,0.040029,0.118800
0.095692,2.092013,0.054585,0.117810
0.076350,3.462446,0.040029,0.118920
0.077368,3.281746,0.053460,0.118920
0.085512,3.044448,0.043668,0.118920
0.116052,3.778840,0.059535,0.119911
0.137295,1.673080,0.074115,0.119911
0.084494,3.145415,0.046170,0.119911
0.076350,2.292780,0.046094,0.118920
0.062098,3.815734,0.042455,0.118920
0.096710,1.801530,0.049815,0.118920
0.071260,3.745301,0.040029,0.118920
0.078386,3.421656,0.048600,0.118800
0.076350,2.334211,0.046094,0.118920
0.076350,3.844802,0.038816,0.118920
0.062098,2.034241,0.064395,0.118920
0.142380,3.586687,0.067928,0.118920
0.111870,3.632484,0.047307,0.119911
0.082458,1.916475,0.046094,0.118920
0.084494,3.821324,0.041242,0.119911
0.066170,2.256441,0.054675,0.119911
0.091620,3.221428,0.040029,0.118920
0.072278,3.753120,0.044881,0.118920
0.081440,1.823680,0.047307,0.118920
0.090602,3.813498,0.043668,0.118920
0.072420,2.275328,0.043668,0.118920
0.091620,3.205790,0.055890,0.118800
0.098746,3.769896,0.043668,0.118920
0.129159,1.954249,0.069255,0.118800
0.085512,3.768778,0.053460,0.118800
0.069360,2.524240,0.041242,0.119911
0.097728,3.056724,0.055890,0.118800
0.068206,3.826914,0.040029,0.118800
0.089584,1.932352,0.047307,0.118800
0.087548,3.896230,0.050946,0.118920
0.069360,2.310736,0.040029,0.118920
0.090602,3.221428,0.054675,0.117810
0.074314,3.395680,0.038816,0.118920
0.130304,2.339648,0.051030,0.118800
0.131193,3.726294,0.081405,0.118920
0.070242,2.681032,0.048520,0.118920
0.079404,3.834740,0.055798,0.118800
0.069224,2.692152,0.039996,0.118920
0.070242,3.734120,0.038816,0.119911
0.091620,2.868201,0.053460,0.118800
0.069224,3.010500,0.043668,0.118920
0.069224,3.783312,0.043740,0.119790
0.084494,2.473086,0.049733,0.119911
0.062098,3.816852,0.046094,0.119790
0.129286,2.005355,0.081405,0.119790
0.117972,3.757598,0.048520,0.119911
0.062098,3.174405,0.047385,0.119790
0.096710,2.465304,0.048520,0.118800
0.068206,3.805672,0.041242,0.118800
0.080580,1.889140,0.051030,0.118920
0.085512,3.460210,0.038816,0.118920
0.074460,3.175520,0.048600,0.118920
0.094674,2.605533,0.044881,0.118920
0.064134,3.824678,0.042525,0.118920
0.083476,1.807148,0.052159,0.118920
0.094674,3.812480,0.061863,0.118920
0.137295,2.969484,0.064395,0.118800
0.092638,2.658792,0.044881,0.118800
0.071260,3.804554,0.041242,0.118920
0.078386,2.517670,0.052245,0.118920
0.074314,3.785548,0.041242,0.118920
0.086530,2.194470,0.053460,0.118920
0.084494,3.301454,0.039996,0.118920
0.062098,3.395988,0.047385,0.118920
0.093656,2.378568,0.044881,0.118800
0.065152,3.777722,0.040029,0.118920
0.124196,2.195580,0.040029,0.118800
0.120006,3.713996,0.077760,0.118920
0.072278,3.171060,0.050946,0.118920
0.091620,2.175072,0.051030,0.118920
0.072278,3.757598,0.048520,0.118920
0.090602,1.980240,0.041242,0.118920
0.074314,3.725176,0.053460,0.118800
0.088566,3.773196,0.054675,0.118920
0.088566,3.340188,0.041242,0.118920
0.070242,2.398649,0.049733,0.118800
0.095692,3.800034,0.049733,0.118920
0.075332,2.152290,0.052159,0.118920
0.147465,3.625782,0.077760,0.118800
0.083476,3.220776,0.040029,0.118920
0.074314,2.414152,0.047385,0.118800
0.092638,3.741946,0.046094,0.118920
0.068206,3.741946,0.042455,0.118920
0.092638,1.920300,0.051030,0.117929
0.064134,3.815734,0.037603,0.118920
0.079404,2.784155,0.051030,0.117810
0.079404,2.961440,0.044881,0.118920
0.063116,3.820206,0.043668,0.118800
0.118088,1.994400,0.060750,0.118920
0.141363,3.765424,0.068040,0.118920
0.080422,2.481984,0.055890,0.118920
0.076350,3.022128,0.041242,0.118920
0.069360,3.687164,0.043740,0.118920
