A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.127125,0.949195,0.063180,0.103950
0.074314,1.237614,0.047307,0.103950
0.048864,1.366038,0.037603,0.103950
0.045810,1.390392,0.033964,0.103950
0.056100,1.376001,0.037603,0.103950
0.045900,1.376001,0.033964,0.103950
0.045900,1.367145,0.031538,0.103950
0.045900,1.363824,0.029112,0.103950
0.043860,1.362717,0.030325,0.103950
0.045900,1.368252,0.030325,0.103950
0.047846,1.364931,0.053460,0.103950
0.150220,1.353861,0.066825,0.103950
0.096710,1.264158,0.037603,0.103950
0.062098,1.360503,0.031538,0.103950
0.043860,1.364804,0.035177,0.102960
0.053040,1.366038,0.031538,0.102960
0.043774,1.361610,0.030325,0.102960
0.043774,1.367145,0.030325,0.102960
0.046920,1.349433,0.029112,0.102960
0.090602,1.046276,0.051030,0.101970
0.043774,1.362717,0.036390,0.103064
0.042840,1.359396,0.032751,0.103064
0.097728,1.459026,0.043668,0.101970
0.054972,1.372680,0.055890,0.101970
0.043774,1.358289,0.031538,0.101970
0.042756,1.360503,0.030325,0.101970
0.099764,1.112636,0.037603,0.101970
0.046920,1.114848,0.049733,0.101970
0.044880,1.363824,0.033964,0.101970
0.043774,1.356075,0.031538,0.102073
0.043774,1.360503,0.031538,0.101970
0.044792,1.360503,0.030325,0.101970
0.044880,1.359396,0.030325,0.101970
0.093656,0.971068,0.064395,0.102073
0.127250,1.083880,0.047385,0.102073
0.045900,1.361610,0.032751,0.102073
0.043860,1.357182,0.031538,0.101970
0.044880,1.356075,0.031538,0.102073
0.043860,1.360503,0.030325,0.101970
0.043860,1.361610,0.029112,0.101970
0.042756,1.360503,0.030325,0.102073
0.043860,0.874055,0.038816,0.101970
0.107908,1.224342,0.051030,0.102073
0.042840,1.444635,0.035177,0.102073
0.097728,1.369359,0.059535,0.102073
0.057120,1.359396,0.036390,0.101970
0.043860,1.360503,0.030325,0.101970
0.042840,1.359396,0.029112,0.101970
0.043860,1.367145,0.031538,0.101970
0.045900,0.923238,0.041242,0.101970
0.085512,0.922404,0.044881,0.101970
0.043774,1.379322,0.031538,0.101970
0.044880,1.360503,0.029112,0.101970
0.043860,1.358289,0.031538,0.101970
0.044880,1.363824,0.031538,0.101970
0.088566,1.454598,0.061965,0.101970
0.064260,1.382643,0.037603,0.101970
0.091620,1.329507,0.048600,0.101970
0.045900,0.988764,0.036390,0.101970
0.044880,1.360503,0.031538,0.101970
0.044880,1.357182,0.031538,0.101970
0.043860,1.361610,0.029112,0.101970
0.043860,1.359396,0.030325,0.101970
0.043860,1.364931,0.030325,0.101970
0.043860,1.360503,0.031538,0.101970
0.044880,1.004445,0.036390,0.101970
0.107908,1.121484,0.044955,0.101970
0.149499,1.404783,0.069255,0.102960
0.064134,1.367145,0.046094,0.102960
0.042840,1.360503,0.032751,0.102960
0.044880,1.361610,0.030325,0.101970
0.042840,1.364931,0.031538,0.101970
0.045900,0.745875,0.037603,0.101970
0.101800,1.133650,0.048520,0.101970
0.044880,1.360503,0.032751,0.101970
0.043774,1.360503,0.031538,0.101970
0.044880,1.361610,0.031538,0.101970
0.084494,1.455705,0.054675,0.101970
0.072420,1.379322,0.047307,0.101970
0.044880,1.368252,0.032751,0.101970
0.045900,0.805545,0.037603,0.102960
0.115034,1.010884,0.047385,0.102960
0.090602,1.361610,0.038816,0.102960
0.044880,1.367145,0.032751,0.102073
0.043860,1.360503,0.031538,0.102960
0.043860,1.362717,0.031538,0.102960
0.048960,1.364931,0.030325,0.102960
0.045900,1.366038,0.032751,0.102960
0.107908,0.931515,0.054675,0.102960
0.128016,1.176741,0.064395,0.102960
0.043774,1.360503,0.033964,0.102960
0.043774,1.359396,0.031538,0.102960
0.042840,1.363824,0.031538,0.102960
0.044880,1.359396,0.030325,0.102960
0.042840,1.362717,0.030325,0.103064
0.042840,1.362717,0.030325,0.102960
0.043860,1.364931,0.036390,0.102960
0.047846,0.851955,0.047307,0.102960
0.102818,1.031898,0.037603,0.102960
0.044880,1.363824,0.047307,0.102960
0.083476,1.456812,0.055798,0.102960
0.071260,1.362717,0.029112,0.102960
0.044792,1.357182,0.031538,0.103950
0.044880,1.367145,0.031538,0.102960
0.045900,1.362717,0.038816,0.102960
0.126232,0.887315,0.044881,0.102960
0.094674,1.367145,0.035177,0.102960
0.045900,1.363824,0.032751,0.102960
0.043860,1.363824,0.032751,0.103950
0.043860,1.361610,0.030325,0.103950
0.085512,1.464561,0.042455,0.102960
0.068206,1.379322,0.055890,0.103950
0.051918,0.914940,0.036390,0.103950
0.102818,1.040746,0.044881,0.103950
0.042840,1.366038,0.036390,0.103950
0.044880,1.360503,0.031538,0.103950
0.042840,1.364931,0.031538,0.103950
0.044880,1.364931,0.030325,0.103950
0.043860,1.368252,0.031538,0.103950
0.044880,1.364931,0.031538,0.103950
0.054060,0.950300,0.037603,0.103950
0.162720,1.020838,0.044955,0.103950
0.124196,1.424709,0.072900,0.103950
0.045900,1.364931,0.041242,0.103950
0.044880,1.366038,0.031538,0.103950
0.045900,1.367145,0.030325,0.103950
0.044880,1.367145,0.031538,0.103950
0.044880,1.367145,0.031538,0.103950
0.044880,0.910520,0.036450,0.103950
0.067320,1.024156,0.042525,0.103950
0.084494,1.367145,0.035177,0.103950
0.043774,1.361610,0.031538,0.103950
0.043860,1.472310,0.033964,0.103950
0.079404,1.367145,0.060750,0.103950
0.074314,1.363824,0.036390,0.103950
0.043860,1.363698,0.032751,0.103950
0.044880,0.963560,0.037603,0.103950
0.066170,0.971068,0.044881,0.103950
0.081440,1.362717,0.036390,0.103950
0.043860,1.359396,0.032751,0.103950
0.043860,1.362717,0.031538,0.103950
0.044880,1.363824,0.031538,0.103950
0.043860,1.370466,0.031538,0.103950
0.074314,1.471203,0.064395,0.103950
0.115034,0.977925,0.051030,0.103950
0.095692,0.755820,0.041242,0.103950
0.044880,1.374894,0.031538,0.103950
0.044880,1.366038,0.031538,0.103950
0.044880,1.366038,0.030325,0.103950
0.044880,1.365910,0.030325,0.103950
0.045900,1.370466,0.031538,0.103950
0.044880,1.366038,0.036390,0.104940
0.100782,0.906100,0.044955,0.104940
0.059044,1.008672,0.037603,0.103950
0.089584,1.441314,0.037603,0.103950
0.079404,1.401462,0.059535,0.104940
0.044880,1.360503,0.047307,0.104940
0.043774,1.366038,0.031538,0.104940
0.044792,1.368252,0.031538,0.104940
0.043774,1.373787,0.031538,0.104940
0.043774,0.747834,0.037603,0.104940
0.104854,1.133650,0.047307,0.104940
0.045810,1.366038,0.033964,0.104940
0.043774,1.370466,0.032751,0.104940
0.044880,1.364931,0.030325,0.104940
0.043774,1.361610,0.031538,0.104940
0.071260,1.471203,0.053372,0.104940
0.084494,1.352754,0.049733,0.104940
0.046920,0.590105,0.036450,0.104940
0.105872,1.318352,0.050946,0.104940
0.044880,1.368252,0.030325,0.104940
0.045900,1.473417,0.035177,0.104940
0.044880,1.372680,0.032751,0.104940
0.045900,1.367145,0.031538,0.105930
0.044880,1.372680,0.032751,0.104940
0.044880,1.125908,0.032751,0.105930
0.102818,1.486701,0.058320,0.104940
0.084494,1.379322,0.055890,0.105930
0.045900,1.357062,0.031538,0.105930
0.046920,1.364931,0.031538,0.105930
0.044880,1.372680,0.031538,0.105930
0.043774,1.370466,0.030325,0.105930
0.045900,0.859690,0.037603,0.105930
0.118088,0.859690,0.048520,0.105930
0.093656,1.035385,0.042455,0.105930
0.045900,1.363824,0.033964,0.105930
0.052020,1.374894,0.033964,0.105930
0.067188,1.371573,0.047385,0.105930
0.087548,1.474524,0.054675,0.106037
0.044880,1.382643,0.031538,0.105930
0.068206,1.343898,0.036450,0.105930
0.080422,0.633122,0.048520,0.105930
0.045810,1.340577,0.030325,0.105930
0.045900,1.366038,0.031538,0.106037
