A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.134112,2.837037,0.026642,0.091172
0.132080,1.599615,0.048480,0.091172
0.098649,3.330505,0.070354,0.091172
0.163576,3.120885,0.043632,0.092163
0.130176,2.210010,0.047268,0.092163
0.170184,2.811136,0.029064,0.092070
0.164592,2.307400,0.025431,0.092070
0.142833,2.305325,0.050904,0.092163
0.160528,1.959150,0.024220,0.092163
0.140208,2.835924,0.033936,0.092163
0.169171,1.636516,0.046018,0.092163
0.120904,2.327545,0.024220,0.092163
0.129159,2.647827,0.048440,0.092163
0.145288,2.695488,0.030275,0.092163
0.144130,2.290882,0.021798,0.092163
0.151384,1.900320,0.050904,0.091080
0.155448,2.765805,0.026642,0.092070
0.167475,1.823768,0.032724,0.092070
0.133096,2.349656,0.046056,0.092163
0.131064,2.924964,0.025431,0.092163
0.175249,1.676404,0.049692,0.092070
0.137295,2.525352,0.029064,0.092163
0.164106,2.350876,0.026642,0.092163
0.162560,2.128980,0.049692,0.092163
0.162560,2.734408,0.031486,0.092163
0.131193,1.581116,0.038784,0.091080
0.174580,2.502000,0.038784,0.091080
0.147320,2.721285,0.026642,0.092070
0.136144,1.691496,0.049692,0.092070
0.173565,2.461976,0.029064,0.091080
0.140208,2.368652,0.020587,0.091080
0.170184,2.046840,0.050904,0.091080
0.149352,2.712168,0.030275,0.091080
0.131193,1.691496,0.036360,0.092070
0.170184,2.784726,0.037541,0.091172
0.133227,2.616536,0.030275,0.091172
0.169505,1.816587,0.050904,0.091080
0.159512,2.465309,0.027853,0.092163
0.148336,2.306580,0.029064,0.092163
0.168158,2.360875,0.050904,0.092163
0.118989,2.474197,0.025431,0.092163
0.125091,1.729134,0.039996,0.092070
0.193483,2.766918,0.035119,0.092163
0.136278,2.721064,0.027853,0.092163
0.144716,1.735128,0.053328,0.092163
0.172720,2.484208,0.027853,0.092163
0.139192,2.187810,0.029064,0.092163
0.159041,2.349765,0.048480,0.091172
0.139192,1.689700,0.038784,0.092070
0.172550,2.914947,0.036330,0.091080
0.146448,2.273106,0.025431,0.091172
