A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.127125,3.270295,0.038784,0.093060
0.122040,1.904652,0.064289,0.093060
0.155601,2.349765,0.060600,0.092070
0.158652,2.765544,0.031486,0.092070
0.136278,2.822256,0.047268,0.092070
0.167640,2.049795,0.031486,0.092163
0.124074,3.210085,0.046018,0.092163
0.165608,2.740837,0.046056,0.092163
0.165608,3.227700,0.032697,0.092070
0.127125,2.470864,0.039996,0.093154
0.172720,3.204510,0.035119,0.092070
0.135261,2.583075,0.031512,0.093154
0.157480,3.318240,0.043632,0.092163
0.155601,2.705285,0.032697,0.092163
0.148336,2.971710,0.046056,0.093154
0.166624,3.099705,0.030275,0.093154
0.121023,2.338770,0.046056,0.093154
0.175768,2.648784,0.031486,0.092163
0.126108,2.134530,0.039996,0.092070
0.174752,3.172050,0.037541,0.092070
0.126108,2.623071,0.035148,0.092163
0.171704,3.303745,0.044844,0.092163
0.141363,2.657512,0.030275,0.092163
0.144414,2.947224,0.044844,0.092070
0.165771,3.074106,0.031486,0.092163
0.137295,2.826704,0.044844,0.092070
0.165771,3.176635,0.030275,0.092163
0.127125,2.499776,0.048480,0.092070
0.166788,3.264720,0.032697,0.092070
0.135261,2.518637,0.044844,0.092070
0.166788,3.230155,0.030275,0.092163
0.133227,2.587624,0.043632,0.092070
0.165608,3.198935,0.033908,0.092070
0.127125,2.274390,0.037541,0.092070
0.167640,2.712168,0.043632,0.092070
0.133227,2.247553,0.046056,0.092070
0.165608,3.205625,0.029064,0.092070
0.135261,2.571965,0.047268,0.092163
0.160686,2.273106,0.032697,0.092070
0.131193,2.319900,0.029064,0.092070
0.172720,3.019569,0.044844,0.092070
0.172720,2.955015,0.032697,0.092070
0.138312,2.832264,0.047268,0.092070
0.154432,3.104160,0.031486,0.092070
0.152550,2.748475,0.053328,0.092070
0.157480,2.741080,0.032697,0.092070
0.162560,3.127530,0.043632,0.092070
0.139329,2.512008,0.029064,0.092070
