A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.094674,0.470554,0.035119,0.088110
0.100782,0.472758,0.036330,0.088110
0.092638,0.545490,0.033936,0.088199
0.105872,0.470554,0.027853,0.088199
0.106890,0.469452,0.026642,0.088199
0.105872,0.470554,0.026664,0.087208
0.105872,0.469026,0.026642,0.088199
0.105872,0.467925,0.026642,0.088199
0.105872,0.470554,0.027853,0.088199
0.106890,0.469452,0.027853,0.087120
0.105872,0.469452,0.026642,0.087208
0.105872,0.469452,0.026664,0.088110
0.105872,0.469452,0.026642,0.088110
0.105872,0.470554,0.027853,0.087208
0.105872,0.470554,0.027853,0.087208
0.106890,0.469452,0.027876,0.088199
0.105872,0.469452,0.026642,0.087120
0.105872,0.469452,0.027876,0.087208
0.106890,0.468350,0.026664,0.087120
0.106890,0.469452,0.026664,0.087120
0.106890,0.471656,0.027876,0.087208
0.105872,0.470554,0.027876,0.087120
0.106890,0.469452,0.026664,0.087120
0.105872,0.469452,0.026664,0.087120
0.106890,0.469452,0.027853,0.087120
0.106890,0.469452,0.027853,0.087120
0.104854,0.471656,0.036360,0.087120
0.094674,0.471656,0.036360,0.087120
0.094674,0.471656,0.052116,0.087120
0.094674,0.469452,0.049692,0.087120
0.094674,0.470554,0.048480,0.088110
0.093656,0.469452,0.049692,0.087120
0.094674,0.469452,0.049692,0.087120
0.093656,0.470554,0.049692,0.087208
0.093656,0.469452,0.049692,0.087120
0.093656,0.469452,0.049692,0.087120
0.096710,0.469452,0.043632,0.087120
0.102818,0.470554,0.037572,0.087208
0.101800,0.469452,0.041208,0.087208
0.102818,0.469452,0.041174,0.087208
0.101800,0.470554,0.041208,0.087120
0.102818,0.469452,0.042420,0.087120
0.101800,0.469452,0.042420,0.087208
0.100782,0.469452,0.042420,0.087120
0.102818,0.470554,0.043632,0.087120
0.101800,0.470554,0.043632,0.087120
0.102818,0.469452,0.043632,0.087208
0.100782,0.469452,0.042420,0.087120
0.102818,0.470554,0.043632,0.087208
0.100782,0.469452,0.043632,0.087208
0.101800,0.470554,0.043632,0.087120
0.101800,0.470554,0.043596,0.087120
0.101800,0.469452,0.044844,0.087120
0.101800,0.469452,0.043632,0.087120
0.101800,0.470554,0.043632,0.087120
0.102818,0.470554,0.043632,0.087120
0.101800,0.470554,0.043632,0.087120
0.101800,0.470554,0.043596,0.087120
0.101800,0.469452,0.044844,0.087120
0.101800,0.470554,0.044844,0.087120
0.101800,0.470554,0.044844,0.088110
0.101800,0.470554,0.044844,0.087120
0.101800,0.470554,0.044844,0.087120
0.101800,0.469452,0.044844,0.087120
0.100782,0.470554,0.044844,0.087120
0.102818,0.470554,0.044844,0.087120
0.101800,0.470554,0.043632,0.087120
0.100782,0.470554,0.044844,0.087120
0.101800,0.470554,0.044844,0.087120
0.100782,0.469452,0.046056,0.087120
0.100782,0.469452,0.044844,0.087120
0.100782,0.469452,0.044844,0.087120
0.100782,0.469452,0.044844,0.087120
0.100782,0.470554,0.044844,0.087120
0.100782,0.471656,0.044844,0.087120
0.100782,0.469452,0.044844,0.087120
0.101800,0.469452,0.046056,0.087120
0.099764,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.088110
0.100782,0.470554,0.046056,0.087120
0.101800,0.469452,0.046056,0.087120
0.107908,0.469026,0.047268,0.087120
0.100782,0.470127,0.046056,0.087120
0.100782,0.469026,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.469026,0.046056,0.087120
0.100782,0.470127,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.101800,0.469452,0.044844,0.087120
0.100782,0.470554,0.044844,0.087120
0.101800,0.469452,0.044844,0.088110
0.100782,0.469452,0.044844,0.087120
0.100782,0.470554,0.044844,0.087120
0.101800,0.470554,0.044844,0.087120
0.101800,0.470554,0.044844,0.087120
0.100782,0.470554,0.044844,0.087120
0.101800,0.470554,0.044844,0.087120
0.100782,0.469452,0.046056,0.087120
0.100782,0.469452,0.044844,0.087120
0.101800,0.470554,0.044844,0.087120
0.100782,0.470554,0.044844,0.087120
0.100782,0.470554,0.044844,0.087208
0.100782,0.469452,0.044844,0.087120
0.100782,0.470554,0.044844,0.087120
0.100782,0.469452,0.044844,0.087120
0.101800,0.470554,0.046056,0.087120
0.099764,0.470554,0.044844,0.087120
0.101800,0.469026,0.044844,0.088110
0.100782,0.469452,0.044844,0.087120
0.100782,0.470554,0.044844,0.087120
0.100782,0.469452,0.044844,0.087120
0.100782,0.470554,0.044844,0.088110
0.100782,0.469452,0.046056,0.087120
0.100782,0.469452,0.046056,0.087120
0.100782,0.469452,0.046056,0.087120
0.100782,0.469452,0.044844,0.088199
0.100782,0.470554,0.044844,0.087120
0.101800,0.470554,0.044844,0.087120
0.100782,0.469452,0.046056,0.087120
0.101800,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.101800,0.469452,0.046056,0.087120
0.100782,0.470554,0.044844,0.087120
0.101800,0.470554,0.046056,0.087120
0.101800,0.470554,0.046056,0.087120
0.101800,0.470554,0.044844,0.087120
0.100782,0.469452,0.044844,0.087120
0.101800,0.469452,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087208
0.100782,0.470554,0.046056,0.087208
0.100782,0.470554,0.046056,0.087120
0.100782,0.469452,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.099764,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.099764,0.469452,0.046056,0.087120
0.101800,0.470554,0.046056,0.087120
0.099764,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.099764,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.088199
0.099764,0.469452,0.046056,0.088199
0.100782,0.471656,0.046056,0.087208
0.100782,0.469452,0.046056,0.087208
0.100782,0.470554,0.046056,0.087208
0.100782,0.469452,0.046056,0.087208
0.101800,0.470554,0.047268,0.087208
0.099764,0.471656,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.469452,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.469452,0.046056,0.087120
0.100782,0.469452,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.469452,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087208
0.100782,0.470554,0.047268,0.087208
0.100782,0.470554,0.047268,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.100782,0.469452,0.047268,0.087120
0.100782,0.470554,0.046056,0.087208
0.100782,0.470554,0.047268,0.087120
0.099764,0.469452,0.046056,0.087208
0.100782,0.470554,0.046056,0.088110
0.099764,0.470554,0.046056,0.087120
0.100782,0.469452,0.047268,0.087120
0.098746,0.470554,0.047268,0.087120
0.100782,0.470554,0.047268,0.087120
0.099764,0.470554,0.046056,0.087120
0.100782,0.470554,0.046056,0.087120
0.099764,0.470554,0.046056,0.087120
0.100782,0.469452,0.046056,0.087120
0.099764,0.470554,0.047268,0.088199
0.099764,0.471656,0.047268,0.087208
0.099764,0.470554,0.047268,0.087208
0.099764,0.469452,0.046056,0.087208
0.099764,0.469452,0.047268,0.087208
0.100782,0.470554,0.047268,0.087120
0.099764,0.470554,0.047268,0.087120
0.100782,0.470554,0.047268,0.087120
0.099764,0.470554,0.047268,0.088199
0.100782,0.470554,0.046056,0.088110
0.099764,0.469452,0.047268,0.087120
0.099764,0.470554,0.047268,0.087120
0.100782,0.470554,0.047268,0.087120
0.100782,0.470554,0.048480,0.087120
0.100782,0.469452,0.047268,0.087120
0.100782,0.470554,0.047268,0.087120
0.100782,0.469452,0.047268,0.087120
0.099764,0.470554,0.047268,0.087120
0.100782,0.470554,0.047268,0.087120
0.100782,0.470554,0.047268,0.087120
0.100782,0.470554,0.047268,0.087120
0.099764,0.470554,0.047268,0.087120
0.100782,0.470554,0.047268,0.087120
0.099764,0.470554,0.047268,0.087120
0.100782,0.470554,0.047268,0.087120
0.099764,0.470554,0.047268,0.087120
0.100782,0.470554,0.047268,0.087120
0.098746,0.470554,0.047268,0.087120
0.099764,0.470554,0.047268,0.087120
0.099764,0.470554,0.047268,0.087120
0.099764,0.470554,0.047268,0.087120
0.099764,0.471656,0.047268,0.087120
0.100782,0.470554,0.048480,0.087120
0.099764,0.579652,0.048480,0.087208
0.099764,0.470554,0.047268,0.087208
0.100782,0.470554,0.047268,0.087208
0.099764,0.470554,0.047268,0.087120
0.099764,0.471656,0.048480,0.087120
0.099764,0.469452,0.047268,0.087120
