A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.057008,2.404144,0.108135,0.091080
0.059044,2.340877,0.108135,0.092070
0.055990,2.599740,0.114210,0.092070
0.055990,2.441978,0.111780,0.092070
0.059044,2.477530,0.110565,0.092070
0.059044,2.465309,0.111780,0.093060
0.055990,2.538635,0.109350,0.093060
0.061080,2.520859,0.114210,0.094050
0.060062,2.387464,0.108135,0.094050
0.059044,2.623071,0.114210,0.094050
0.055990,2.420824,0.111780,0.094050
0.055990,2.520859,0.108135,0.095040
0.057008,2.520859,0.116640,0.095040
0.059044,2.436392,0.108135,0.095040
0.057008,2.586408,0.111780,0.095040
0.059044,2.398649,0.111780,0.095136
0.057008,2.469752,0.109350,0.096030
0.058026,2.455296,0.112995,0.095040
0.057008,2.609739,0.109350,0.096030
0.057008,2.440867,0.115425,0.096030
0.058026,2.443064,0.108135,0.096030
0.057008,2.419712,0.110565,0.096030
0.059044,2.630992,0.112995,0.097020
0.057008,2.418600,0.112995,0.097020
0.059044,2.536472,0.108135,0.097020
0.057008,2.539746,0.115425,0.097020
0.057008,2.457520,0.110565,0.097020
0.057008,2.597518,0.110565,0.097020
0.059044,2.506416,0.119070,0.097020
0.057008,2.641000,0.112995,0.097020
0.059044,2.444176,0.112995,0.098010
0.057008,2.591963,0.109350,0.097020
0.057008,2.534248,0.109350,0.098010
0.059044,2.556411,0.111780,0.098010
0.058026,2.505305,0.112995,0.098010
0.057008,2.515344,0.111780,0.098010
0.057008,2.585297,0.110565,0.098010
0.059044,2.424160,0.116640,0.099000
0.061080,2.611961,0.108135,0.099000
0.057008,2.466416,0.114210,0.099000
0.058026,2.490862,0.111780,0.099000
0.059044,2.600851,0.110565,0.099000
0.059044,2.425272,0.114210,0.099000
0.059044,2.594185,0.109350,0.099000
0.060062,2.465309,0.114210,0.099000
0.061080,2.538635,0.111780,0.099000
0.060062,2.499750,0.112995,0.099000
0.058026,2.575298,0.111780,0.099000
0.060062,2.519748,0.111780,0.099000
0.059044,2.503112,0.110565,0.099000
0.060062,2.539808,0.112995,0.099000
0.057008,2.554189,0.110565,0.099000
0.067188,2.455296,0.114210,0.099000
0.061080,2.615294,0.111780,0.099000
0.060062,2.448624,0.114210,0.099000
0.058026,2.583075,0.111780,0.099000
0.059044,2.364208,0.110565,0.099000
0.059044,2.497528,0.111780,0.099000
