A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.043860,1.142570,0.061812,0.093060
0.045810,1.141465,0.061812,0.094050
0.042840,1.143604,0.061812,0.093060
0.062098,1.732912,0.084910,0.093060
0.089584,2.081932,0.104490,0.094050
0.088566,1.899210,0.102060,0.094145
0.089584,1.994400,0.105705,0.094050
0.089584,2.009100,0.108135,0.095040
0.089584,1.924740,0.105705,0.095040
0.089584,1.936950,0.103275,0.095040
0.089584,1.936950,0.104490,0.095040
0.089584,2.015760,0.103275,0.095040
0.089584,2.051280,0.102060,0.096030
0.090602,1.940280,0.104490,0.096030
0.089584,1.930290,0.108135,0.096030
0.090602,1.974456,0.105705,0.096030
0.089584,1.926960,0.103275,0.096030
0.089584,1.929180,0.105705,0.097020
0.090602,2.034630,0.101892,0.097020
0.090602,1.953600,0.101892,0.097020
0.090602,2.013236,0.105705,0.097020
0.090602,2.041290,0.105705,0.097020
0.090602,1.986900,0.103275,0.097020
0.091620,2.046476,0.103275,0.097020
0.089584,2.083470,0.105531,0.098010
0.091620,1.944720,0.103105,0.098010
0.090602,1.951380,0.105705,0.098010
0.090602,1.985536,0.105705,0.098010
0.090602,1.941390,0.102060,0.098010
0.091620,1.963376,0.102060,0.098010
0.090602,2.069744,0.103275,0.098010
0.091620,2.043510,0.103275,0.098010
0.090602,1.965810,0.104490,0.099000
0.091620,2.020992,0.108135,0.098010
0.089584,2.031300,0.104490,0.099000
0.092638,1.958040,0.103275,0.099000
0.090602,2.036850,0.104490,0.099000
0.090602,2.062380,0.102060,0.099000
0.090602,1.932510,0.103275,0.099000
0.090602,1.988010,0.108135,0.099000
0.090602,2.061270,0.105705,0.099000
0.090602,1.998000,0.102060,0.099000
0.091620,2.063096,0.104490,0.099000
0.090602,2.065710,0.103275,0.099000
0.090602,1.939170,0.105531,0.099000
0.090602,2.050908,0.106920,0.099000
0.091620,1.948972,0.102060,0.099990
0.089584,1.981104,0.104490,0.099000
0.091620,2.135116,0.100845,0.099990
0.090602,2.025750,0.103275,0.099000
0.090602,1.954710,0.107957,0.099990
