A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.043774,1.315034,0.046094,0.097118
0.046920,1.121575,0.057011,0.096127
0.044792,1.143675,0.087552,0.096030
0.045810,1.196715,0.086336,0.096030
0.045900,1.198925,0.088841,0.096030
0.045810,1.204450,0.092492,0.096127
0.045900,1.197820,0.102312,0.097118
0.046828,1.201135,0.104748,0.097020
0.045810,1.217710,0.123018,0.097118
0.045810,1.265225,0.123220,0.097118
0.042756,1.326094,0.041242,0.097118
0.043774,1.333836,0.018180,0.097118
0.042756,1.326094,0.018180,0.097118
0.043860,1.336048,0.018180,0.097020
0.043774,1.329412,0.018180,0.097118
0.043774,1.322776,0.018180,0.097020
0.043774,1.330518,0.018180,0.097020
0.043774,1.328306,0.018180,0.097118
0.043860,1.322776,0.018180,0.097020
0.043860,1.331624,0.018180,0.097020
0.043860,1.343790,0.018180,0.097020
0.043860,1.340472,0.018180,0.097118
0.041820,1.332730,0.018180,0.097118
0.043860,1.327200,0.018180,0.097020
0.041820,1.322776,0.016968,0.097020
0.043860,1.327200,0.016968,0.097020
0.042840,1.347108,0.018180,0.097020
0.043860,1.329412,0.016968,0.097020
0.041738,1.340472,0.018180,0.097020
0.043774,1.331624,0.018180,0.097020
0.042840,1.334942,0.018180,0.097118
0.042840,1.342684,0.018180,0.097118
0.042840,1.332730,0.019376,0.097118
0.045900,1.338260,0.019392,0.097118
0.043860,1.333836,0.018180,0.097118
0.043860,1.342684,0.018180,0.097118
0.043860,1.342684,0.016968,0.097118
0.043860,1.333836,0.016968,0.097118
0.043860,1.336048,0.018180,0.097118
0.043860,1.344896,0.019392,0.097118
0.043860,1.348214,0.019392,0.097118
0.042756,1.340472,0.019392,0.097118
0.043860,1.338260,0.018180,0.097118
0.042840,1.348214,0.018180,0.097118
0.043860,1.342684,0.018180,0.097118
0.041820,1.336048,0.018180,0.097118
0.043860,1.346002,0.018180,0.097118
0.041820,1.337154,0.018180,0.097118
0.043860,1.334942,0.018180,0.097118
0.042840,1.338260,0.018180,0.097118
0.042840,1.340472,0.018180,0.097118
0.042840,1.337154,0.019392,0.097118
0.043860,1.346002,0.019392,0.097118
0.043774,1.348214,0.018180,0.097118
0.042840,1.349320,0.016968,0.097118
0.042840,1.342684,0.016968,0.097118
0.043860,1.351532,0.018180,0.097118
0.042840,1.343790,0.018180,0.097118
0.043860,1.339366,0.018180,0.097118
0.042840,1.336048,0.020604,0.097118
0.043860,1.337154,0.019392,0.097118
0.042840,1.328306,0.030300,0.097118
0.044880,1.324988,0.035148,0.097118
0.042840,1.340472,0.033936,0.097020
0.043860,1.337154,0.033936,0.097118
0.042840,1.330518,0.030300,0.097118
0.054060,1.326094,0.026664,0.097118
0.046920,1.329412,0.020604,0.097118
0.048960,1.323882,0.020604,0.097020
0.045900,1.312822,0.020604,0.097020
0.043860,1.321670,0.020604,0.097020
0.044880,1.326094,0.021798,0.097020
0.045900,1.338260,0.021816,0.097020
0.047940,1.324988,0.021816,0.097020
0.043860,1.331624,0.019392,0.096030
0.046920,1.327200,0.020604,0.096030
0.047940,1.313928,0.019392,0.097020
0.044880,1.303974,0.023028,0.097118
0.042840,1.330518,0.020604,0.097118
0.043860,1.312822,0.018180,0.096127
0.041820,1.322776,0.015756,0.096127
0.043860,1.318352,0.019392,0.096030
0.042840,1.318352,0.018180,0.096030
0.042840,1.320564,0.019392,0.096127
0.043860,1.306186,0.019392,0.096127
0.043860,1.318352,0.018180,0.096127
0.042840,1.316140,0.019392,0.096127
0.043860,1.330518,0.015756,0.096127
0.043860,1.322776,0.018180,0.096127
0.042840,1.323882,0.018180,0.096127
0.043860,1.316140,0.018180,0.095136
0.043860,1.324988,0.019392,0.096127
0.042840,1.327200,0.016968,0.095136
0.043860,1.327200,0.016968,0.095136
0.041820,1.326094,0.019392,0.095136
0.043860,1.322776,0.020587,0.095040
0.041820,1.323882,0.018180,0.095040
0.043860,1.315034,0.019392,0.095040
0.041820,1.322776,0.019392,0.095040
0.042840,1.323882,0.019392,0.095040
0.041820,1.318352,0.015756,0.095136
0.043860,1.309504,0.019392,0.095136
0.042840,1.301762,0.019392,0.095136
0.042840,1.311716,0.016968,0.095136
0.042840,1.305080,0.018180,0.095136
0.041820,1.320564,0.018180,0.095136
0.042840,1.321670,0.018180,0.095136
0.042840,1.317246,0.018180,0.095136
0.043860,1.316140,0.016968,0.095040
0.042840,1.313928,0.018180,0.095040
0.043860,1.307292,0.018180,0.095040
0.041820,1.317246,0.018180,0.095040
