A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.114016,0.574663,0.046094,0.113850
0.103836,0.575766,0.052159,0.111870
0.081440,1.875900,0.047307,0.111870
0.151533,3.100248,0.082688,0.110992
0.186944,3.111408,0.090058,0.111983
0.196281,3.098585,0.092492,0.111983
0.218440,3.108620,0.105879,0.112974
0.198120,3.122568,0.090058,0.112974
0.189992,3.128148,0.091275,0.112860
0.189992,3.125345,0.091275,0.112860
0.189992,3.130380,0.091275,0.113965
0.189992,3.128690,0.091275,0.113965
0.189992,3.128690,0.091275,0.113965
0.188976,3.130920,0.090058,0.113965
0.185928,3.132035,0.087624,0.113965
0.186944,3.141540,0.088841,0.114956
0.183896,3.141540,0.086407,0.114956
0.213360,3.131496,0.101011,0.114956
0.224664,3.119220,0.103445,0.114956
0.191008,3.133728,0.091275,0.114956
0.181864,3.143772,0.082688,0.115947
0.168822,3.157164,0.075392,0.114956
0.167805,3.157164,0.080256,0.115947
0.167640,3.160512,0.081472,0.115947
0.157635,3.460466,0.099794,0.115947
0.150516,3.158280,0.102228,0.115947
0.150516,3.190644,0.101011,0.115947
0.149499,3.244212,0.097360,0.115947
0.174924,2.983953,0.107096,0.115947
0.188976,3.264300,0.114398,0.115947
0.151533,3.181095,0.103445,0.115947
0.151533,3.075170,0.105879,0.115947
0.150516,3.181716,0.104662,0.115947
0.152550,3.129264,0.099794,0.115947
0.155601,3.275460,0.099794,0.115947
0.174924,2.890080,0.085120,0.115947
0.170856,2.904575,0.086336,0.115947
0.163737,2.949450,0.083904,0.115947
0.164754,2.809212,0.083904,0.115947
0.170856,2.922415,0.080256,0.115830
0.193040,3.165485,0.085120,0.115830
0.164754,2.896770,0.086336,0.115947
0.162720,2.875585,0.082688,0.115830
0.169839,3.175520,0.081405,0.114840
0.169839,2.946945,0.083904,0.114956
0.169839,3.024995,0.080256,0.114956
0.162720,2.737980,0.086336,0.115830
0.165771,3.049525,0.080256,0.115830
0.169672,2.963670,0.077760,0.114840
0.167805,2.763579,0.081472,0.114840
0.174752,2.916060,0.086336,0.114840
0.198940,2.726850,0.111964,0.114840
0.165771,2.726850,0.082688,0.114840
0.170856,2.851506,0.081405,0.114840
0.151533,3.042835,0.082688,0.114840
0.165771,2.244220,0.070470,0.113850
0.163576,3.031685,0.085120,0.113850
0.164754,2.849280,0.077760,0.114840
0.163576,2.809212,0.081472,0.113850
0.163737,2.995083,0.081472,0.113965
0.171704,2.821455,0.077760,0.113850
0.164592,3.100815,0.086336,0.113850
0.194056,2.301840,0.103445,0.113850
0.175768,2.798082,0.077824,0.113850
0.175768,3.239075,0.081472,0.113850
0.164754,2.817003,0.079040,0.113850
0.165608,3.122000,0.088768,0.113965
0.165771,2.896026,0.080256,0.113850
0.166788,2.891574,0.081472,0.113850
0.165771,2.994890,0.082688,0.113850
0.164754,2.810325,0.077760,0.113965
0.164592,3.129805,0.086336,0.113965
0.164754,2.868201,0.080256,0.113965
0.178816,2.669912,0.103445,0.113965
0.194880,3.001580,0.079040,0.114956
0.164754,3.097470,0.075330,0.114956
0.170688,3.419137,0.065502,0.114956
0.172890,3.283272,0.071685,0.114956
0.163737,3.111408,0.074115,0.114956
0.164754,2.972590,0.074115,0.114956
0.164754,2.981510,0.074115,0.114956
0.164754,3.058445,0.077760,0.114956
0.175768,3.429190,0.069255,0.114956
0.180670,2.843250,0.075330,0.114956
0.202600,2.824794,0.093632,0.114956
0.160528,2.951405,0.091200,0.114956
0.157635,2.334211,0.081472,0.114956
0.163737,3.169440,0.065610,0.114956
0.177800,3.324564,0.068040,0.114956
0.163737,2.890080,0.077824,0.113965
0.162560,2.830359,0.083904,0.114956
0.170856,2.941659,0.083904,0.114956
0.164754,2.882275,0.081472,0.114956
0.169839,2.969245,0.083904,0.114956
0.175941,2.763579,0.082688,0.114956
0.202184,2.700138,0.099794,0.113965
0.167640,2.700138,0.096143,0.113965
0.167805,2.855515,0.079040,0.113965
0.164754,2.919399,0.085120,0.114956
0.168822,2.913495,0.081472,0.113965
0.166788,2.919070,0.083904,0.113965
0.167805,2.852619,0.081472,0.113965
0.171704,2.909035,0.082688,0.113850
0.167805,2.921625,0.082688,0.113965
0.179832,2.837037,0.083904,0.113965
0.174752,3.041720,0.086336,0.113965
0.167640,2.717946,0.097280,0.113965
0.194880,2.697912,0.083904,0.113965
0.164754,2.865975,0.076608,0.113965
0.169672,3.100815,0.064395,0.113965
0.200152,2.386352,0.061965,0.113965
0.167640,3.135380,0.058224,0.113850
0.126232,2.035740,0.059535,0.113850
