A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.260952,3.059560,0.066715,0.129821
0.080343,1.432270,0.044881,0.127839
0.130176,1.412532,0.075392,0.127839
0.286425,3.129805,0.061863,0.126848
0.281585,3.157680,0.066825,0.126848
0.254490,3.128690,0.072960,0.126848
0.230603,2.701251,0.121800,0.125857
0.269190,3.883932,0.107184,0.125857
0.270912,3.566581,0.107184,0.126848
0.278600,3.700621,0.102312,0.127839
0.271908,3.697270,0.099876,0.127839
0.263940,3.658175,0.114492,0.127839
0.279595,4.100320,0.122000,0.128830
0.308450,3.834740,0.077824,0.129821
0.300490,3.696108,0.047385,0.129821
0.282580,4.202240,0.087624,0.129821
0.282864,4.023040,0.096222,0.129821
0.281585,4.183200,0.119560,0.129690
0.280590,4.261600,0.123220,0.130812
0.278600,4.315360,0.112240,0.131803
0.278600,4.222400,0.111020,0.131803
0.285565,4.223520,0.102480,0.131803
0.284570,3.540890,0.098577,0.132660
0.265932,3.911882,0.110838,0.132660
0.279876,3.592272,0.118146,0.132794
0.300490,3.179980,0.046094,0.131670
0.301485,3.163255,0.036360,0.131803
0.301485,3.158795,0.036360,0.130680
0.300490,3.155450,0.036360,0.129690
0.300490,3.332376,0.036360,0.129690
0.280872,3.947292,0.128100,0.129821
0.288550,3.954366,0.075454,0.129690
0.284570,3.747535,0.075392,0.129821
0.269645,3.334608,0.101011,0.129821
0.274620,3.905174,0.114680,0.130812
0.277605,4.257120,0.108580,0.131803
0.284570,4.314729,0.112240,0.131803
0.285565,4.288946,0.104748,0.131803
0.301485,3.923062,0.043668,0.131803
0.278880,3.195590,0.085190,0.131803
0.266532,3.936478,0.129320,0.131803
0.279595,4.288480,0.105966,0.132794
0.295515,3.983434,0.055890,0.131670
0.294520,3.566581,0.065610,0.131803
0.287555,3.512052,0.065610,0.131803
0.293525,3.573283,0.054585,0.131803
0.282580,3.221892,0.103530,0.131803
0.272630,4.131680,0.135531,0.131670
0.287555,4.178720,0.079105,0.131803
0.293525,3.757588,0.055890,0.131803
0.294520,3.545358,0.052245,0.131803
0.294520,3.574548,0.051030,0.131670
0.294520,3.299285,0.042455,0.131670
0.293525,3.590038,0.092188,0.130680
0.287555,4.055520,0.092492,0.130680
0.278600,4.092480,0.119364,0.131670
0.269645,4.130560,0.134310,0.131670
0.277605,4.164160,0.099876,0.131670
0.276610,4.287825,0.114680,0.132660
0.287555,4.211597,0.119560,0.132794
0.275615,4.377505,0.126880,0.133785
0.290540,4.090240,0.097440,0.134640
0.289545,4.037600,0.081472,0.134776
0.278600,4.284462,0.098658,0.134776
0.274620,4.238080,0.114680,0.134776
0.278600,4.262042,0.124440,0.134776
0.271635,4.384231,0.117120,0.134776
0.283575,4.250400,0.115995,0.134776
0.277605,4.339391,0.108580,0.135630
0.283575,4.364053,0.107360,0.135767
0.284856,4.287825,0.115900,0.135767
0.293525,4.284462,0.107360,0.135767
0.295515,3.900960,0.081606,0.135767
0.295515,3.612378,0.049815,0.135630
0.295515,3.281746,0.048520,0.134640
0.281585,3.278808,0.099876,0.134776
0.283575,4.234017,0.113460,0.134776
0.278600,4.111520,0.092416,0.134640
0.290540,3.871634,0.059535,0.134640
0.280590,3.942068,0.110838,0.134776
0.282580,4.231775,0.108580,0.134776
0.291535,4.305761,0.097440,0.135767
0.290540,4.408893,0.088914,0.135767
0.291535,3.871634,0.091275,0.135767
0.286560,3.556528,0.058320,0.134640
0.286560,3.183325,0.053372,0.133650
0.293525,3.068480,0.040029,0.133650
0.295515,3.033915,0.075392,0.133650
0.281585,3.779958,0.094926,0.132660
0.279595,3.706170,0.065610,0.132794
0.284570,3.469644,0.129426,0.132794
0.277605,4.071200,0.129426,0.132794
0.271635,4.216800,0.117120,0.132794
0.283575,4.310245,0.095004,0.133785
0.280590,4.410014,0.087624,0.133785
0.304470,4.410014,0.068096,0.134776
0.293525,3.831386,0.083973,0.134776
0.288550,3.699504,0.059535,0.134776
0.282580,3.419137,0.117855,0.134640
0.268650,4.091360,0.118146,0.133650
0.268650,4.264960,0.125660,0.134776
0.289545,4.276615,0.092492,0.134640
0.289545,3.861572,0.080322,0.134640
0.288550,4.032000,0.087552,0.134640
0.285565,3.578868,0.070528,0.134776
0.287555,3.195590,0.066825,0.134640
0.284570,4.118240,0.075392,0.133785
0.290540,4.147360,0.112332,0.133785
0.283575,4.352843,0.101094,0.134776
0.281585,4.370779,0.090058,0.134776
0.267655,4.371900,0.102312,0.134776
0.290540,4.385352,0.104920,0.134776
0.274175,4.247040,0.096222,0.134776
0.279595,4.238080,0.119658,0.135767
0.281585,4.053868,0.113553,0.135767
0.273900,3.474108,0.071803,0.135630
0.277605,3.195590,0.054675,0.134640
0.277605,3.184440,0.046094,0.134640
0.277605,3.177750,0.053460,0.133650
0.278880,3.177750,0.050946,0.132794
0.277884,3.179980,0.049733,0.132660
0.281868,3.192245,0.058320,0.131670
0.272454,3.143185,0.093632,0.131803
