A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.089584,1.726264,0.041242,0.107910
0.129159,0.541573,0.059535,0.107910
0.110962,0.751143,0.057105,0.106920
0.144414,0.710515,0.063180,0.107028
0.165771,2.020909,0.090058,0.107028
0.165771,2.089791,0.088841,0.107028
0.165608,2.096457,0.086407,0.107028
0.165608,2.099790,0.090058,0.106920
0.167805,2.097568,0.088841,0.107028
0.165771,2.095346,0.087624,0.108019
0.196088,2.079792,0.092492,0.108019
0.169839,2.104234,0.091275,0.109010
0.167805,2.104234,0.090058,0.109010
0.169839,2.103123,0.087624,0.109010
0.174924,2.102012,0.091275,0.109010
0.166788,2.129787,0.088841,0.109010
0.169839,2.124232,0.091275,0.109010
0.168822,2.107567,0.086407,0.109010
0.166788,2.178671,0.091275,0.109010
0.167805,2.139786,0.091275,0.109010
0.177975,2.136453,0.091275,0.110001
0.170856,2.145341,0.091275,0.109010
0.172890,2.135342,0.091275,0.109010
0.202184,2.348544,0.107096,0.109010
0.180009,2.527623,0.101011,0.110001
0.152550,2.627656,0.092492,0.110992
0.157635,2.637810,0.098577,0.110992
0.165771,2.539808,0.115615,0.110992
0.160686,2.594403,0.120582,0.110992
0.160686,2.612088,0.124236,0.111983
0.157635,2.548770,0.119364,0.111983
0.166788,2.563239,0.110747,0.111983
0.165771,2.586612,0.129108,0.112974
0.160686,2.548770,0.123018,0.112974
0.207060,2.707929,0.108313,0.112974
0.183896,2.410816,0.097280,0.112974
0.175768,2.513154,0.093632,0.112974
0.179832,2.557674,0.080256,0.112974
0.176784,2.596629,0.074115,0.112974
0.171704,2.622228,0.077760,0.112974
0.171873,2.238665,0.101011,0.112974
0.188976,2.142008,0.105879,0.112974
0.188976,2.142008,0.097360,0.112860
0.170688,2.415264,0.097360,0.112974
0.173736,2.513120,0.096064,0.112860
0.196088,2.532024,0.111964,0.111870
0.193040,2.347432,0.115710,0.111870
0.173907,2.494216,0.093709,0.111870
0.172720,2.627793,0.077824,0.111870
0.175941,2.678991,0.076545,0.111983
0.176958,1.895880,0.076608,0.111870
0.168822,1.848150,0.076545,0.111870
0.172720,2.073126,0.086336,0.110992
0.174924,2.126454,0.079040,0.111983
0.187775,1.972025,0.087552,0.110992
0.171704,2.584288,0.089984,0.111983
0.207060,2.327416,0.097360,0.110880
0.195072,1.979130,0.089984,0.110880
0.172890,2.002440,0.072900,0.110992
0.177800,2.077570,0.066825,0.110992
0.182880,2.438616,0.066825,0.110001
0.168656,2.713494,0.075330,0.110992
0.175768,2.618889,0.091200,0.110992
0.176784,2.449736,0.099794,0.110992
0.197104,2.245331,0.105879,0.110992
0.183896,2.323101,0.089984,0.110992
