A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.149499,2.269773,0.052245,0.112974
0.072278,1.049750,0.048600,0.111870
0.114921,1.461452,0.095004,0.110992
0.145431,2.726850,0.092492,0.111983
0.147465,2.734641,0.097440,0.111983
0.148482,2.755788,0.098658,0.111983
0.149499,2.754675,0.096143,0.111983
0.172720,2.827640,0.110838,0.111983
0.186944,2.731302,0.102312,0.112974
0.149499,2.749110,0.102312,0.112974
0.149499,2.763579,0.098658,0.111983
0.148482,2.758014,0.097440,0.112974
0.149499,2.760240,0.096222,0.112974
0.149499,2.765805,0.097440,0.112974
0.149499,2.762466,0.098658,0.112974
0.149499,2.763579,0.097440,0.112974
0.148482,2.761353,0.097440,0.112974
0.138312,2.754675,0.092492,0.112974
0.152400,2.934680,0.094926,0.112974
0.166624,3.068480,0.120780,0.112974
0.114921,3.132612,0.135420,0.112974
0.115938,3.176136,0.122000,0.113965
0.115938,3.211848,0.124440,0.113965
0.112887,3.310056,0.080256,0.113965
0.113904,3.061790,0.068040,0.113965
0.104751,3.211848,0.066825,0.113965
0.110853,3.199572,0.060650,0.114956
0.117972,3.264300,0.058320,0.114956
0.107802,2.719059,0.068040,0.114956
0.136278,3.137076,0.091200,0.114956
0.155601,2.932450,0.091200,0.114956
0.110853,3.106390,0.066825,0.113965
0.120006,3.268764,0.060750,0.114956
0.114921,2.791404,0.072900,0.114956
0.111870,3.102480,0.071685,0.114956
0.112887,3.018305,0.070470,0.114956
0.115938,3.147120,0.064289,0.114956
0.116955,3.151584,0.061965,0.114956
0.109836,2.910150,0.066825,0.114956
0.115938,3.135380,0.070470,0.114956
0.129159,3.138192,0.088768,0.114956
0.155601,2.755788,0.085120,0.114956
0.117972,3.098016,0.061965,0.114956
0.109836,3.210732,0.068040,0.114956
0.116052,2.884505,0.068040,0.114956
0.112887,3.218544,0.070470,0.114956
0.112887,2.946945,0.070470,0.114956
0.121023,3.150468,0.060750,0.114956
0.110853,3.131496,0.069255,0.114956
0.112887,2.916840,0.066825,0.114956
0.111870,3.220776,0.071685,0.114956
0.146448,3.056215,0.069255,0.114956
0.155448,3.026592,0.083904,0.114956
0.110962,3.123115,0.070470,0.114956
0.110962,2.828755,0.070470,0.114956
0.110853,3.107505,0.069255,0.114956
0.116955,2.893425,0.069255,0.114956
0.110962,2.577616,0.059437,0.114956
0.115938,3.270996,0.059535,0.114956
0.107908,2.941370,0.080256,0.114956
0.105768,3.148760,0.074115,0.114956
0.112887,3.186180,0.079040,0.114956
0.129159,3.140424,0.101011,0.114956
0.157635,2.812551,0.130326,0.114956
0.109944,3.057330,0.118340,0.114956
0.107908,3.069595,0.091200,0.115947
0.109836,3.090780,0.091200,0.114956
0.115938,3.343536,0.057011,0.114956
0.108926,2.938025,0.071685,0.115947
0.109836,3.221892,0.069255,0.115947
0.110962,3.069000,0.068040,0.115947
0.110962,3.256488,0.065610,0.115947
0.108926,3.011615,0.068040,0.115947
0.124074,2.750705,0.076545,0.115947
0.147465,3.103045,0.091200,0.114956
0.104854,2.836560,0.069255,0.114956
0.106890,2.959210,0.061965,0.114956
0.109944,2.891195,0.044881,0.114956
0.104854,3.116988,0.055798,0.114956
0.115938,3.437009,0.057011,0.113965
0.111870,3.210732,0.060750,0.114956
0.108819,2.906805,0.065610,0.114956
0.110853,3.327912,0.064395,0.114956
0.107908,2.969245,0.071685,0.114956
0.133227,3.064020,0.061965,0.114956
0.157635,3.066768,0.087552,0.114956
0.115034,3.097470,0.072900,0.115947
0.115034,2.854400,0.069255,0.114956
0.119106,3.249792,0.074115,0.114956
0.109944,2.931335,0.055798,0.114956
0.118989,3.266108,0.057011,0.114956
0.112887,3.240864,0.055798,0.114956
0.122040,3.185064,0.059535,0.115947
0.115938,3.226356,0.069255,0.115947
0.109836,2.924645,0.068040,0.115947
0.115938,3.269880,0.074115,0.115947
0.162720,3.169440,0.066825,0.115947
0.116955,3.105828,0.068040,0.115947
0.112998,2.953635,0.066825,0.115947
0.111870,3.207384,0.069255,0.115947
0.111980,2.922415,0.061965,0.114956
0.121142,3.253140,0.061965,0.114956
0.115938,3.064020,0.065610,0.115947
0.109836,2.893425,0.069255,0.114956
0.115938,3.234168,0.070470,0.115947
0.115034,2.978165,0.071685,0.114956
0.130176,3.135960,0.065610,0.115947
0.164754,3.080160,0.082688,0.115947
0.109944,2.914610,0.078975,0.115947
0.112887,3.249792,0.068040,0.114956
0.108926,2.980395,0.071685,0.114956
0.122160,3.199572,0.061965,0.114956
0.112998,3.152700,0.061965,0.115947
0.112998,2.872240,0.066825,0.115947
0.112998,3.125916,0.071744,0.114956
0.111980,2.964785,0.057105,0.114956
0.104854,2.773596,0.043668,0.114956
0.124074,2.771370,0.037603,0.114956
0.161703,2.764692,0.057011,0.113965
0.113904,2.769660,0.054585,0.113965
0.114016,2.774120,0.038816,0.113965
0.103836,2.768031,0.037603,0.113965
0.103836,2.794743,0.040029,0.113965
0.108819,2.818116,0.052159,0.113965
