A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.123178,0.576346,0.052159,0.115830
0.102818,0.650180,0.048520,0.113850
0.072278,0.916045,0.049733,0.112860
0.100485,2.210890,0.075392,0.111983
0.256968,3.075170,0.077824,0.111983
0.251988,3.086320,0.082688,0.112974
0.253980,3.090780,0.082688,0.112860
0.249000,3.094125,0.093709,0.112974
0.249000,3.098585,0.092492,0.112974
0.257964,3.116425,0.086407,0.112974
0.263940,3.118655,0.075392,0.113965
0.263940,3.118655,0.076608,0.113850
0.263940,3.122000,0.075392,0.113850
0.262944,3.123115,0.074176,0.113965
0.263940,3.118655,0.075392,0.114840
0.263263,3.114195,0.076608,0.114840
0.261870,3.120885,0.077824,0.114840
0.264528,3.124230,0.080256,0.114840
0.266532,3.130920,0.072900,0.114840
0.271005,3.130920,0.074176,0.114840
0.269990,3.132035,0.079040,0.115830
0.269990,3.132035,0.079040,0.115947
0.256785,3.220776,0.083904,0.115947
0.239904,3.269880,0.110747,0.115830
0.239607,3.079630,0.116928,0.115830
0.253759,3.086320,0.119364,0.115830
0.263472,3.154335,0.110838,0.115947
0.242000,3.125345,0.098496,0.115830
0.232530,2.912721,0.118146,0.115830
0.232530,2.956128,0.120582,0.115830
0.244458,3.080745,0.113274,0.115947
0.271456,3.133150,0.055798,0.115830
0.267924,3.476340,0.061965,0.115830
0.266928,3.283272,0.077824,0.115830
0.255488,3.105275,0.089984,0.115830
0.251753,2.803647,0.097280,0.115947
0.237416,2.928303,0.081472,0.115947
0.278163,3.162140,0.070470,0.115947
0.259956,3.133150,0.067928,0.115947
0.273900,3.136495,0.061965,0.115830
0.265932,3.301128,0.057011,0.115830
0.263940,3.300012,0.077760,0.115830
0.257000,3.210085,0.087552,0.115947
0.253506,2.782500,0.097280,0.115947
0.253759,2.839263,0.093632,0.115947
0.271456,3.188900,0.070470,0.115947
0.292824,3.142070,0.065610,0.115947
0.273900,3.193360,0.059535,0.116938
0.233699,3.314895,0.097280,0.116938
0.182880,1.258628,0.087552,0.116938
0.201189,2.256630,0.099794,0.115947
0.230280,2.467528,0.099794,0.114956
0.229824,2.559824,0.099794,0.113850
0.273452,3.176635,0.099794,0.113850
0.272904,3.243535,0.074115,0.114840
0.260952,3.277692,0.055798,0.114840
0.249498,3.046180,0.075330,0.114840
0.243210,2.676584,0.086336,0.114840
0.233856,2.808099,0.102228,0.114840
0.272454,3.130920,0.092416,0.114840
0.257964,3.132035,0.074115,0.114840
0.277884,3.128690,0.070354,0.114956
0.259956,3.295548,0.059437,0.114956
0.264936,3.181095,0.058224,0.115947
0.254000,2.735095,0.103445,0.115947
0.240480,2.730189,0.094926,0.115947
0.220180,2.526464,0.093632,0.115947
0.274175,3.081860,0.071685,0.115947
0.292824,3.142070,0.064395,0.115947
0.280872,3.212315,0.055798,0.115947
0.251496,3.215660,0.075330,0.115947
0.210288,2.391983,0.085120,0.114956
0.213321,2.123430,0.098577,0.114956
0.237888,2.854845,0.097360,0.114956
0.246715,3.047295,0.097280,0.114956
0.229687,3.133150,0.071685,0.114956
0.270187,3.175520,0.060750,0.114956
0.258223,3.303360,0.071685,0.114956
0.261476,3.257604,0.083904,0.115947
0.251251,3.022765,0.101011,0.115947
0.253260,2.864862,0.103445,0.115947
0.232155,2.509784,0.092416,0.114840
0.212688,1.428212,0.082688,0.113850
0.248235,2.367541,0.099794,0.113850
0.257257,2.987085,0.092416,0.113850
0.269190,3.130920,0.079040,0.113965
0.272904,3.124230,0.064395,0.113850
0.245245,3.262490,0.069312,0.113965
0.242687,3.125345,0.118146,0.114840
0.232848,2.683256,0.107096,0.113850
0.230832,2.507560,0.099794,0.113850
0.289130,3.029455,0.076608,0.113965
0.275892,3.149875,0.060750,0.113850
0.249249,3.255800,0.079040,0.114840
0.230832,3.177750,0.088768,0.114956
0.230832,2.642112,0.104662,0.114956
0.239904,2.794743,0.101011,0.114956
0.279440,3.133150,0.082688,0.114956
0.285565,3.316752,0.065610,0.114956
0.248004,3.336840,0.055798,0.114956
0.248744,2.987085,0.077824,0.114840
0.236880,3.196705,0.081472,0.114840
0.260217,3.137610,0.075330,0.114840
0.248004,3.200050,0.055798,0.115830
0.245508,3.155450,0.065610,0.115830
0.242726,3.056215,0.078975,0.115830
0.248744,2.890080,0.089984,0.115830
0.263940,3.145415,0.074115,0.115830
0.290832,3.142070,0.064395,0.115830
0.271908,3.142070,0.057011,0.115830
0.248004,3.384828,0.077824,0.115830
0.259000,2.993775,0.085120,0.115830
0.264264,2.883783,0.088768,0.115830
0.276169,3.166600,0.080256,0.115830
0.285852,3.128690,0.069255,0.115830
0.258960,3.155450,0.064289,0.115830
0.240195,3.256915,0.080190,0.115830
0.245708,3.043950,0.101011,0.115830
0.225230,2.567608,0.098577,0.115830
0.237652,2.835924,0.101011,0.115830
0.272454,3.027225,0.085120,0.115830
0.277554,3.126460,0.064395,0.115830
0.262944,3.211200,0.057011,0.115830
0.250000,3.380364,0.080256,0.115830
0.256512,2.881557,0.094926,0.115830
0.212688,2.838150,0.102228,0.115830
0.187035,2.795856,0.089984,0.114840
0.243651,2.661016,0.078975,0.114840
0.241723,3.152105,0.070470,0.114840
0.292530,3.133150,0.053372,0.115830
0.268920,3.354696,0.060750,0.115830
0.266199,3.301128,0.077824,0.115830
0.256000,3.096355,0.087552,0.115830
0.263208,2.842602,0.082688,0.115830
0.267196,2.849280,0.083904,0.115830
0.263472,2.770257,0.087552,0.115830
0.239190,2.525303,0.087552,0.115830
0.216568,2.466416,0.085120,0.114840
0.247000,3.130920,0.054675,0.114840
0.285852,3.144300,0.048520,0.114956
0.272904,3.352464,0.080256,0.114956
0.249240,2.696600,0.101011,0.115947
0.228816,2.535360,0.103445,0.114956
0.236880,2.906805,0.097360,0.114956
0.275000,3.127575,0.097360,0.114956
0.286848,3.234615,0.068040,0.114956
0.254976,3.304476,0.053372,0.114840
0.251251,2.978388,0.071744,0.115830
0.215556,1.507478,0.083904,0.115830
0.207255,2.428608,0.085120,0.113850
0.238185,2.992660,0.102228,0.113850
0.285142,3.128690,0.089984,0.113850
0.290832,3.193360,0.065610,0.113850
0.255972,3.339072,0.060750,0.114840
0.265265,3.339072,0.041242,0.114840
0.222860,3.139840,0.061863,0.114840
