A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.058026,0.782027,0.035148,0.095040
0.051918,1.060800,0.033936,0.094050
0.078386,0.766585,0.033936,0.093060
0.100782,0.491492,0.070470,0.091080
0.099764,0.488186,0.070470,0.090090
0.099764,0.485982,0.069255,0.090090
0.100782,0.483778,0.069255,0.090090
0.098746,0.482676,0.069255,0.089100
0.098746,0.481574,0.069255,0.088110
0.100782,0.479370,0.070470,0.088110
0.098746,0.479370,0.070470,0.088110
0.100782,0.478268,0.070470,0.087120
0.092638,0.474962,0.070470,0.087120
0.092638,0.474962,0.070470,0.087120
0.094674,0.472758,0.069255,0.087120
0.094674,0.471656,0.065502,0.086130
0.225792,0.470554,0.073993,0.086130
0.260554,0.472758,0.075206,0.086130
0.242687,0.472758,0.078975,0.086130
0.235796,0.472758,0.077632,0.085140
0.236574,0.470554,0.081405,0.085140
0.242928,0.472758,0.074115,0.085140
0.226688,0.469452,0.077632,0.085140
0.237888,0.468350,0.071567,0.085140
0.239607,0.468350,0.074115,0.085140
0.247494,0.584060,0.078975,0.085140
0.238659,0.469452,0.077760,0.085140
0.246225,0.469452,0.076419,0.085140
0.235404,0.470554,0.082620,0.085140
0.245464,0.467248,0.074115,0.085140
0.258516,0.466146,0.073993,0.085140
0.235638,0.467248,0.070470,0.085140
0.242928,0.467248,0.069141,0.085140
0.242687,0.467248,0.077760,0.084150
0.240434,0.469452,0.083835,0.084150
0.233624,0.470554,0.088695,0.084150
0.248235,0.470554,0.094848,0.084150
0.259000,0.468350,0.078845,0.084150
0.240912,0.465044,0.066715,0.084150
0.243452,0.465044,0.065502,0.084150
0.250494,0.465044,0.066715,0.084150
0.245735,0.465044,0.067928,0.084150
0.245735,0.465044,0.067928,0.084150
0.240434,0.465044,0.067928,0.084150
0.247494,0.465044,0.069141,0.084150
0.231290,0.466146,0.069141,0.084150
0.231290,0.463942,0.064289,0.083160
0.222640,0.465044,0.061863,0.083160
0.236410,0.463942,0.066715,0.083160
0.239666,0.462840,0.064289,0.083160
0.227475,0.463942,0.060650,0.083160
0.216140,0.463942,0.067928,0.083160
0.227250,0.462840,0.064289,0.083160
0.236340,0.462840,0.066715,0.083160
0.239607,0.465044,0.076545,0.083160
0.238360,0.465044,0.077760,0.083160
0.241390,0.466146,0.078975,0.083160
0.244420,0.467248,0.077760,0.083160
0.240912,0.465723,0.080190,0.083160
0.242928,0.466146,0.078975,0.083160
0.238360,0.466146,0.077760,0.083160
0.246960,0.466146,0.078975,0.083160
0.237888,0.466146,0.076545,0.083160
0.232617,0.465044,0.070354,0.083160
0.250245,0.465044,0.073993,0.083160
0.228362,0.463942,0.069141,0.083160
0.242446,0.463942,0.072780,0.083160
0.245952,0.462840,0.071567,0.083160
0.233160,0.465044,0.072900,0.083160
0.237416,0.465044,0.075330,0.083160
0.265000,0.467248,0.087552,0.083160
0.273452,0.466146,0.088768,0.083160
0.270000,0.467248,0.089984,0.083160
0.269000,0.468350,0.088768,0.083160
0.272000,0.468350,0.088768,0.083160
0.268462,0.467248,0.089984,0.083160
0.268000,0.468350,0.089984,0.083160
0.268462,0.467248,0.088768,0.083244
0.270458,0.468350,0.089984,0.083160
0.266466,0.469452,0.091200,0.083160
0.267000,0.469452,0.088768,0.083160
0.272454,0.467248,0.089984,0.083160
0.269000,0.468350,0.089984,0.084235
0.270000,0.467248,0.089984,0.083160
0.273000,0.467248,0.091200,0.083160
0.270000,0.467248,0.088768,0.084150
0.274175,0.467248,0.088768,0.084150
0.269000,0.468350,0.088768,0.083160
0.266000,0.467248,0.088768,0.083160
0.272454,0.467248,0.091200,0.084150
0.265000,0.467248,0.086336,0.084150
0.272454,0.468350,0.088768,0.084150
0.274450,0.468350,0.091200,0.083160
0.266000,0.468350,0.085120,0.083160
0.269000,0.468350,0.088768,0.083160
0.270187,0.467248,0.092416,0.084150
0.278442,0.467248,0.088768,0.083160
0.251753,0.467248,0.078975,0.084150
0.271456,0.467248,0.080190,0.083160
0.284856,0.467248,0.091200,0.083160
0.292824,0.466146,0.086265,0.083160
0.291828,0.465044,0.080190,0.084150
0.284856,0.467248,0.092416,0.084150
0.285852,0.467248,0.091200,0.084150
0.288840,0.596182,0.108224,0.084150
0.290832,0.471228,0.088768,0.084150
0.287844,0.466146,0.089984,0.084150
0.286848,0.466146,0.089910,0.084150
0.285852,0.467248,0.092340,0.084150
0.291828,0.608304,0.102144,0.084150
0.295812,0.608304,0.089984,0.084150
0.299796,0.467248,0.088768,0.084150
0.267924,0.468350,0.093632,0.084150
0.268193,0.470554,0.091200,0.084150
0.266466,0.472758,0.089984,0.084150
0.270270,0.471656,0.088768,0.084150
0.266000,0.472758,0.088768,0.084150
0.261261,0.469452,0.083835,0.084150
0.266266,0.469452,0.085120,0.084150
0.286426,0.470554,0.089984,0.084150
0.266000,0.470554,0.087552,0.084150
0.251502,0.469452,0.088768,0.084150
0.255000,0.469452,0.087480,0.084150
0.253253,0.468350,0.087480,0.084150
0.255255,0.469452,0.086336,0.084150
0.285852,0.468350,0.091200,0.084150
0.293820,0.468350,0.088768,0.084150
0.286848,0.468350,0.089984,0.084150
0.267267,0.470554,0.081405,0.084150
0.273452,0.472758,0.091200,0.084150
0.260260,0.484880,0.093632,0.084150
0.277884,0.470554,0.087552,0.084150
0.271456,0.470554,0.088768,0.084150
0.270000,0.473860,0.082688,0.084150
0.275172,0.472758,0.087552,0.084150
0.272000,0.470554,0.087552,0.084150
0.262000,0.612165,0.105879,0.084150
0.288840,0.470554,0.091200,0.084150
0.288840,0.467248,0.086265,0.084150
0.291828,0.468350,0.089984,0.084150
0.295812,0.469452,0.081405,0.084150
0.291828,0.467248,0.088768,0.085140
0.273000,0.470554,0.089984,0.085140
0.280157,0.470554,0.092416,0.085140
0.274175,0.470554,0.096064,0.084150
0.246259,0.635854,0.110747,0.085140
0.247247,0.473860,0.097280,0.084150
0.281154,0.470554,0.093632,0.085140
0.241241,0.470554,0.096064,0.084150
0.286139,0.469452,0.083835,0.084150
0.250500,0.473860,0.099712,0.084150
0.272454,0.469452,0.089910,0.084150
0.290832,0.467248,0.089984,0.084150
0.294816,0.470554,0.085050,0.084150
0.264470,0.471656,0.100928,0.084150
0.264470,0.471656,0.102144,0.084150
0.246492,0.643568,0.122917,0.085140
0.238659,0.477166,0.116832,0.085140
0.231519,0.476064,0.129108,0.084150
0.235796,0.476064,0.116928,0.085140
0.238659,0.477166,0.120483,0.085140
0.244000,0.473860,0.113181,0.085140
0.284856,0.469452,0.097280,0.085140
0.284856,0.469452,0.088768,0.085140
0.277000,0.470554,0.080190,0.085140
0.293820,0.468350,0.086265,0.085140
0.279876,0.469452,0.091200,0.085140
0.280872,0.468350,0.087552,0.085140
0.282864,0.471656,0.087480,0.085140
0.279160,0.469452,0.087552,0.085140
0.257280,0.468350,0.077824,0.085140
0.255510,0.470554,0.077760,0.085140
0.261261,0.470554,0.083835,0.085140
0.249498,0.469452,0.089984,0.085140
0.276169,0.470554,0.089984,0.085140
0.267267,0.469452,0.089984,0.085140
0.257257,0.470554,0.081472,0.085140
0.253759,0.468350,0.081405,0.085140
0.118989,0.469452,0.072900,0.085140
0.118989,0.466146,0.014532,0.085140
0.100782,0.463942,0.010908,0.084150
0.100683,0.462840,0.010908,0.084150
0.098649,0.463942,0.010899,0.084150
0.099666,0.461738,0.010899,0.084150
0.099666,0.461738,0.013321,0.084150
0.098649,0.461738,0.012110,0.083160
0.099666,0.461738,0.012120,0.083160
0.098746,0.461738,0.009688,0.083160
0.098649,0.460636,0.018180,0.083160
0.098649,0.461738,0.015743,0.083160
0.098649,0.460636,0.015756,0.083160
0.098649,0.460636,0.014532,0.083160
0.098649,0.460636,0.014532,0.083160
0.098649,0.461738,0.013321,0.083160
0.099764,0.460636,0.013321,0.083160
0.098746,0.459534,0.012110,0.083160
0.099666,0.461738,0.010908,0.083160
0.099764,0.461738,0.010899,0.083160
0.099764,0.461738,0.010899,0.083160
0.098746,0.460636,0.012110,0.083160
0.100782,0.460636,0.010899,0.083160
0.098746,0.459534,0.010899,0.083160
0.099666,0.460636,0.010899,0.083160
0.099666,0.460636,0.010899,0.083160
0.098746,0.460636,0.012120,0.083160
0.098746,0.460636,0.012120,0.083160
0.099764,0.460636,0.010908,0.083160
0.099666,0.460636,0.013321,0.083160
0.098746,0.460636,0.013321,0.083160
0.099666,0.461738,0.013321,0.083160
0.098649,0.460636,0.012110,0.083160
0.099764,0.460636,0.010899,0.083160
0.098649,0.460636,0.014544,0.083160
0.100782,0.461738,0.013321,0.083160
0.098746,0.460636,0.013332,0.083160
0.097728,0.460636,0.010899,0.083160
0.100782,0.459534,0.010899,0.083160
0.098746,0.460636,0.010899,0.083160
