A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.051918,1.055275,0.033936,0.086217
0.045900,0.784550,0.012110,0.086217
0.061080,0.575766,0.057105,0.086217
0.043860,1.169042,0.085120,0.086217
0.044880,1.175678,0.083904,0.086217
0.042840,1.175678,0.083904,0.086217
0.043860,1.178996,0.085120,0.086217
0.043860,1.157982,0.072900,0.086217
0.042840,1.136968,0.070470,0.086217
0.112887,1.252017,0.085050,0.086217
0.120006,2.568720,0.096064,0.087208
0.097728,2.678808,0.107008,0.087208
0.110962,2.864862,0.124134,0.088199
0.191008,2.623208,0.104576,0.089190
0.152550,2.479760,0.116832,0.090181
0.152550,2.914947,0.103445,0.090181
0.198120,2.480863,0.103275,0.091172
0.197104,2.308658,0.082484,0.091172
0.199136,2.558712,0.083697,0.092163
0.203200,2.407537,0.086123,0.092163
0.199136,2.434201,0.082484,0.092163
0.193040,2.390872,0.082484,0.092163
0.189992,2.293104,0.082484,0.093154
0.197104,2.199780,0.081271,0.093154
0.184077,2.279772,0.078845,0.093154
0.134244,2.218667,0.071567,0.094145
0.138312,2.275328,0.070354,0.093154
0.115938,2.405315,0.069141,0.094145
0.089584,3.173290,0.069141,0.094145
0.087548,3.536604,0.063076,0.094145
0.103836,3.786588,0.080190,0.094145
0.115938,3.789981,0.078845,0.095136
0.101800,3.641508,0.083835,0.095136
0.134244,3.906292,0.113181,0.096127
0.067188,3.710674,0.072780,0.097118
0.052936,2.771104,0.053328,0.097118
0.046828,2.851506,0.050904,0.097118
0.045900,2.842602,0.049692,0.097118
0.044792,2.796969,0.047268,0.097118
0.044792,2.830359,0.047268,0.097118
0.044792,2.831472,0.049692,0.097118
0.044792,2.799195,0.044844,0.097118
0.043774,2.779161,0.047268,0.097118
0.043774,2.789178,0.046056,0.097118
0.044792,2.788065,0.046056,0.097118
0.045810,2.867088,0.047268,0.097118
0.044792,2.769144,0.044844,0.097118
0.044880,2.804760,0.049692,0.097118
0.044880,2.881557,0.046056,0.097118
0.045810,2.818116,0.080190,0.097118
0.061080,2.810325,0.053328,0.097118
0.051918,2.667688,0.050904,0.097118
0.050900,2.664352,0.050904,0.097118
0.048864,3.139840,0.057011,0.097118
0.045810,2.747997,0.065502,0.097118
0.046828,2.812551,0.046056,0.097118
0.054972,2.841489,0.057011,0.097118
0.047846,2.528688,0.086336,0.097118
0.045810,2.724624,0.046056,0.097118
0.044792,2.823681,0.046056,0.097118
0.044792,2.860410,0.047268,0.097118
0.045810,2.782500,0.081472,0.097118
0.045810,2.408592,0.110656,0.097118
0.046828,2.428608,0.111020,0.097118
0.045810,2.329767,0.108402,0.097118
0.049882,2.217556,0.113460,0.097118
0.045810,2.278661,0.101094,0.097118
0.046828,2.340877,0.112240,0.097118
0.045810,2.300881,0.110838,0.096127
0.046828,2.304214,0.113460,0.097118
0.045810,2.371985,0.108580,0.097118
0.045810,2.207557,0.120780,0.096127
0.045810,2.367541,0.109620,0.096127
0.045810,2.311991,0.114680,0.096127
0.049882,2.226444,0.109800,0.096127
0.055990,2.747503,0.102312,0.096127
0.058026,2.752449,0.056964,0.096127
0.071260,2.744658,0.048480,0.096127
0.065152,2.628906,0.065502,0.096127
0.058026,2.736867,0.052116,0.096127
0.054972,2.827020,0.048480,0.097118
0.054972,2.686592,0.048480,0.096127
0.065152,2.801421,0.052116,0.097118
0.054972,2.910495,0.050904,0.097118
0.055990,2.815890,0.047268,0.097118
0.065152,2.814777,0.085120,0.097118
0.055990,3.437280,0.069141,0.097118
0.053954,3.200050,0.063076,0.097118
0.047846,3.631367,0.064289,0.098109
0.046828,3.493976,0.064289,0.098109
0.045810,3.805619,0.063076,0.098109
0.093564,3.834661,0.099712,0.099100
0.086530,2.723288,0.066715,0.099100
0.074314,2.815890,0.061863,0.099100
0.062098,2.792517,0.054540,0.099100
0.051918,1.363698,0.025431,0.098109
0.051000,0.874055,0.031512,0.097020
0.044792,1.155770,0.033936,0.096127
0.044792,1.148095,0.026642,0.095040
0.041738,1.145885,0.021798,0.095136
0.042756,1.139255,0.008477,0.094050
0.043774,1.141465,0.020587,0.093060
0.042840,1.135940,0.023009,0.093060
0.041820,1.130415,0.016954,0.092070
0.041820,1.130415,0.014532,0.092070
0.041820,1.132544,0.010899,0.091080
0.040800,1.128205,0.018165,0.091172
0.043860,1.128205,0.010899,0.090181
0.040800,1.130415,0.008477,0.090181
0.040800,1.122680,0.008477,0.090181
0.040800,1.122680,0.020587,0.090090
0.046920,1.143675,0.018165,0.089100
0.040800,1.124890,0.021798,0.089100
0.039780,1.123696,0.014532,0.089190
0.039780,1.124890,0.013321,0.089190
0.041820,1.181208,0.012110,0.089190
0.051000,1.125995,0.016968,0.088199
0.040800,1.123785,0.012110,0.088199
0.041820,1.123696,0.012110,0.088199
0.041820,1.121484,0.013321,0.088199
0.041820,1.120470,0.010899,0.088199
0.040800,1.120470,0.010899,0.088199
0.040800,1.123696,0.008477,0.088199
0.040800,1.122590,0.013321,0.087208
0.040800,1.116050,0.016954,0.087208
0.040800,1.117155,0.013321,0.087208
0.040800,1.118260,0.010899,0.087208
0.040800,1.119272,0.009688,0.087120
0.039780,1.117155,0.009688,0.087120
0.040800,1.117155,0.009688,0.087208
0.049882,1.119272,0.023028,0.087208
0.054060,1.144710,0.047268,0.087208
0.057008,1.352754,0.078975,0.087208
0.047940,1.156876,0.043632,0.087208
0.044880,1.128120,0.039996,0.087208
0.046920,1.128120,0.043632,0.087208
0.059044,1.128120,0.071685,0.087208
0.046920,1.367145,0.052116,0.087208
0.046920,1.130332,0.043632,0.087208
0.045900,1.130332,0.043632,0.087120
0.051918,0.988975,0.033936,0.087208
0.058026,1.154664,0.075330,0.086130
0.058140,1.127014,0.060650,0.086217
