A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.237042,0.497002,0.052159,0.096030
0.227584,0.495450,0.053372,0.097020
0.228600,0.492594,0.060650,0.096030
0.288420,0.492594,0.060650,0.096030
0.288420,0.492147,0.056964,0.096030
0.288420,0.492147,0.055752,0.097020
0.286679,0.491046,0.055752,0.097020
0.288705,0.491492,0.056964,0.097020
0.287692,0.492594,0.056964,0.097020
0.288705,0.491492,0.056964,0.097020
0.280601,0.491046,0.059388,0.097020
0.286396,0.492147,0.061812,0.097020
0.285666,0.492147,0.060600,0.097020
0.288420,0.491046,0.055752,0.097020
0.287408,0.491492,0.055752,0.097020
0.288420,0.492147,0.056964,0.097020
0.287408,0.492147,0.058176,0.097020
0.288420,0.491046,0.056964,0.097020
0.261870,0.491046,0.063024,0.097020
0.241570,0.491046,0.052116,0.097020
0.224315,0.495450,0.084910,0.097020
0.226568,0.502056,0.149691,0.097020
0.224536,0.503157,0.149691,0.097020
0.225552,0.504716,0.148474,0.097020
0.225552,0.504716,0.152125,0.097020
0.225552,0.503614,0.148474,0.097020
0.224536,0.505359,0.149691,0.097020
0.225552,0.504258,0.146040,0.097020
0.224315,0.505818,0.152125,0.097020
0.224315,0.504716,0.147257,0.097020
0.224536,0.505818,0.149691,0.097020
0.224536,0.504716,0.148474,0.097020
0.225552,0.506920,0.149691,0.097020
0.225552,0.505818,0.148474,0.097020
0.224536,0.505818,0.152125,0.097020
0.225552,0.504716,0.147257,0.097020
0.226568,0.506460,0.152125,0.097020
0.225552,0.505359,0.152125,0.098109
0.226568,0.505818,0.148474,0.098010
0.228600,0.505818,0.153342,0.097020
0.228600,0.506920,0.150908,0.098010
0.226568,0.505818,0.148474,0.098109
0.225552,0.505818,0.149691,0.098010
0.226568,0.506920,0.152125,0.098010
0.227584,0.506920,0.149691,0.098010
0.226568,0.506920,0.149691,0.097020
0.226568,0.505818,0.153342,0.098010
0.226568,0.508022,0.149691,0.098010
0.226568,0.505818,0.149691,0.097020
0.226568,0.505818,0.152125,0.098010
0.226568,0.506920,0.152125,0.097020
0.247660,0.506460,0.150908,0.097020
0.289718,0.502512,0.097200,0.098010
0.289432,0.493696,0.056964,0.098010
0.288420,0.499206,0.056964,0.097020
0.280601,0.494798,0.056964,0.097020
0.287408,0.495900,0.065502,0.097020
0.289432,0.493248,0.056964,0.097020
0.289432,0.493696,0.056964,0.097020
0.288420,0.493696,0.056964,0.097020
0.285666,0.495900,0.065448,0.097020
0.266419,0.494798,0.061812,0.097020
0.289432,0.492594,0.056964,0.097020
0.289432,0.493696,0.056964,0.097020
0.287408,0.492147,0.056964,0.097020
0.289718,0.492147,0.056964,0.097020
0.280438,0.494798,0.056964,0.097020
0.275892,0.492147,0.059388,0.097020
0.270912,0.494349,0.063024,0.097020
0.279876,0.492147,0.059388,0.097020
0.276888,0.493248,0.058176,0.097020
0.277884,0.491046,0.056964,0.097020
0.277884,0.492594,0.056964,0.097020
0.276888,0.576346,0.059388,0.097020
0.276888,0.492594,0.056964,0.097020
0.271908,0.492147,0.064236,0.097020
0.247450,0.492147,0.050862,0.097020
0.238525,0.491046,0.052116,0.097020
0.224536,0.502056,0.148474,0.097020
0.224536,0.503157,0.147257,0.097020
0.225552,0.504258,0.149691,0.097020
0.224536,0.504716,0.147257,0.097020
0.226568,0.503157,0.150908,0.097020
0.224536,0.504258,0.148474,0.097020
0.224536,0.504716,0.149691,0.097020
0.226568,0.505359,0.149691,0.097020
0.224536,0.504258,0.149691,0.097020
0.224536,0.505359,0.149691,0.097020
0.226568,0.506460,0.147257,0.097020
0.225552,0.504716,0.152125,0.097020
0.224536,0.505359,0.147257,0.097020
0.224536,0.506460,0.150908,0.097020
0.226568,0.505359,0.148474,0.097020
0.224536,0.504258,0.150908,0.097020
0.225552,0.504258,0.147257,0.098010
0.226568,0.504258,0.150908,0.097020
0.224536,0.505359,0.148474,0.097020
0.226568,0.506460,0.148474,0.097020
0.224536,0.505359,0.149691,0.098010
0.226568,0.506460,0.150908,0.098010
0.227584,0.505359,0.152125,0.098010
0.227584,0.506460,0.149691,0.098010
0.225552,0.506920,0.149691,0.098010
0.226568,0.506920,0.152125,0.098010
0.226568,0.506920,0.148474,0.098010
0.227584,0.505818,0.149691,0.098010
0.226568,0.505359,0.153342,0.098010
0.225552,0.506920,0.149691,0.098010
0.226568,0.508022,0.148474,0.098010
0.252735,0.504716,0.138624,0.098010
0.289432,0.524076,0.058176,0.097020
0.289432,0.494349,0.056964,0.097020
0.289432,0.494349,0.056964,0.097020
0.281614,0.494349,0.061863,0.097020
0.277884,0.494798,0.060600,0.097020
0.278880,0.493696,0.056964,0.097020
0.278880,0.493248,0.056964,0.097020
0.270912,0.492147,0.060600,0.097020
0.266904,0.494798,0.065502,0.097020
0.289432,0.494798,0.056964,0.097020
0.289432,0.492594,0.056964,0.097020
0.288420,0.493696,0.058176,0.097020
0.287692,0.492147,0.058176,0.097020
0.289718,0.492147,0.056964,0.097020
0.289718,0.492147,0.056964,0.097020
0.289432,0.495450,0.058176,0.097020
0.286679,0.494798,0.063024,0.097020
0.282627,0.493248,0.059388,0.097020
0.288705,0.492147,0.060600,0.097020
0.288705,0.492147,0.056964,0.097020
0.287408,0.492147,0.058176,0.097020
0.288420,0.493248,0.056964,0.097020
0.287408,0.492147,0.058176,0.097020
0.289432,0.492147,0.056964,0.097020
0.248675,0.491046,0.048440,0.097020
0.232435,0.504258,0.139955,0.097020
0.226568,0.504258,0.148474,0.097020
0.225552,0.503157,0.152125,0.097020
0.227584,0.505359,0.149691,0.097020
0.227584,0.505359,0.149691,0.097020
0.226568,0.505359,0.152125,0.097020
0.227584,0.504258,0.150908,0.097020
0.226568,0.504258,0.150908,0.097020
0.226568,0.505359,0.150908,0.097020
0.226568,0.506460,0.150908,0.097020
0.227584,0.504258,0.152125,0.097020
0.227584,0.505359,0.150908,0.097020
0.226568,0.506460,0.150908,0.098010
0.226568,0.506460,0.150908,0.097020
0.226568,0.505359,0.150908,0.097020
0.227584,0.505359,0.149691,0.097020
0.226568,0.504258,0.149691,0.097020
0.228600,0.506460,0.153342,0.098010
0.228600,0.505359,0.150908,0.097020
0.226568,0.505359,0.148596,0.098010
0.226568,0.507561,0.149691,0.097020
0.227584,0.505359,0.150908,0.098010
0.227584,0.504258,0.150908,0.098010
0.227584,0.506460,0.150908,0.097020
0.228600,0.506460,0.148474,0.098010
0.226568,0.506920,0.152125,0.098010
0.227584,0.507561,0.150908,0.098010
0.227584,0.506460,0.149691,0.098010
0.227584,0.505818,0.152125,0.098010
0.227584,0.506460,0.149691,0.098010
0.228600,0.506460,0.149691,0.098010
0.227584,0.506460,0.152125,0.098010
0.234465,0.502056,0.115520,0.098010
0.290731,0.495450,0.056964,0.098010
0.290731,0.495450,0.056964,0.098010
0.282627,0.495450,0.064289,0.097020
0.285666,0.494798,0.058176,0.097020
0.289718,0.493248,0.056964,0.097020
0.289718,0.492594,0.056964,0.097020
0.285666,0.494349,0.063024,0.097020
0.266419,0.495450,0.063076,0.097020
0.289718,0.494349,0.056964,0.097020
0.290731,0.492147,0.056964,0.097020
0.290731,0.493248,0.056964,0.097020
0.286396,0.492147,0.058176,0.097020
0.289718,0.494349,0.058176,0.097020
0.289432,0.492147,0.056964,0.097020
0.288705,0.494349,0.058176,0.097020
0.281614,0.493248,0.064289,0.097020
0.290731,0.493248,0.056964,0.097020
0.285666,0.492147,0.060600,0.097020
0.289718,0.493248,0.056964,0.097020
0.289718,0.492147,0.058176,0.097020
0.288705,0.493248,0.056964,0.097118
0.288705,0.493248,0.056964,0.097020
0.287692,0.491046,0.058176,0.097020
0.288705,0.492147,0.056964,0.097020
0.251720,0.492147,0.060600,0.097020
0.240555,0.491046,0.047229,0.097020
0.225552,0.503157,0.132544,0.097020
0.223520,0.503157,0.147257,0.097020
0.224536,0.504716,0.142389,0.097020
0.226568,0.504258,0.150908,0.097020
0.224536,0.506920,0.147257,0.097020
0.224536,0.504258,0.150908,0.097118
0.225552,0.508022,0.147257,0.098109
0.224536,0.504716,0.149691,0.098109
0.225552,0.509124,0.146040,0.097118
0.225552,0.506920,0.148474,0.098010
0.225552,0.505359,0.149691,0.097020
0.224536,0.506920,0.148474,0.098010
0.226568,0.505359,0.150908,0.097020
0.224536,0.505818,0.149691,0.098010
0.225552,0.505818,0.149691,0.098109
