A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.140346,0.483778,0.023028,0.093060
0.174752,0.481574,0.007272,0.093060
0.175768,0.481574,0.007266,0.093060
0.177800,0.481137,0.008477,0.093060
0.177800,0.483778,0.012110,0.093060
0.177800,0.481574,0.013321,0.093060
0.176784,0.482676,0.015756,0.093060
0.176784,0.482676,0.024240,0.093060
0.111980,0.488186,0.043740,0.093060
0.087548,0.488186,0.046170,0.093060
0.103632,0.489288,0.051030,0.093060
0.292824,0.483778,0.058176,0.094050
0.292824,0.484880,0.058176,0.093060
0.293820,0.484880,0.058176,0.094050
0.293820,0.484440,0.058176,0.094050
0.294816,0.485982,0.058176,0.094050
0.285852,0.485982,0.058176,0.094050
0.148911,0.485982,0.046056,0.094050
0.285852,0.485982,0.057011,0.094050
0.285852,0.484880,0.055752,0.094050
0.285852,0.485982,0.055752,0.094050
0.285852,0.485541,0.055752,0.094050
0.285852,0.485541,0.055752,0.094050
0.285852,0.484880,0.055752,0.094050
0.285852,0.593978,0.056964,0.094050
0.188790,0.489288,0.050904,0.094050
0.231420,0.492594,0.086123,0.094050
0.224315,0.499206,0.152250,0.094050
0.226568,0.504716,0.151032,0.094050
0.225552,0.500308,0.154559,0.094050
0.224536,0.499206,0.152250,0.095040
0.226568,0.499206,0.154559,0.095040
0.226568,0.502512,0.153468,0.095040
0.227584,0.502512,0.154559,0.095040
0.224536,0.501410,0.154686,0.095040
0.226568,0.500308,0.154559,0.095040
0.226568,0.500308,0.153342,0.095040
0.226568,0.500308,0.153342,0.095040
0.225552,0.500308,0.155776,0.095040
0.226568,0.501410,0.152125,0.095040
0.224536,0.500955,0.154559,0.095040
0.224536,0.501410,0.153342,0.095040
0.225552,0.500308,0.155776,0.095040
0.223520,0.501410,0.153342,0.095040
0.228600,0.501410,0.155776,0.095040
0.224536,0.501410,0.153342,0.095040
0.226568,0.501410,0.155776,0.095040
0.225552,0.501410,0.152125,0.095040
0.224536,0.501410,0.156993,0.095040
0.226568,0.502512,0.156993,0.095040
0.224536,0.502512,0.153342,0.095040
0.226568,0.501410,0.155776,0.095040
0.226568,0.501410,0.152125,0.095040
0.225552,0.501410,0.152250,0.095040
0.224536,0.502512,0.155776,0.096030
0.226568,0.502512,0.154559,0.096030
0.225552,0.501410,0.155776,0.095040
0.265530,0.494798,0.131328,0.095040
0.285852,0.489288,0.056964,0.095040
0.286848,0.487743,0.056964,0.095040
0.286848,0.488844,0.055752,0.095040
0.285852,0.488186,0.055752,0.095040
0.286848,0.487743,0.056964,0.095040
0.286848,0.489288,0.056964,0.095040
0.265468,0.487084,0.055752,0.095040
0.129159,0.487084,0.049692,0.095040
0.182880,0.488186,0.039996,0.095040
