A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.086530,0.519042,0.069084,0.085140
0.094674,0.570836,0.053328,0.085140
0.115938,0.466146,0.027853,0.085140
0.098746,0.465044,0.042385,0.085140
0.091620,0.466146,0.049651,0.085140
0.094674,0.465044,0.050862,0.085140
0.096710,0.465044,0.036330,0.085140
0.097728,0.463942,0.037541,0.085140
0.097728,0.463942,0.038752,0.085140
0.096710,0.462840,0.035119,0.085140
0.096710,0.465044,0.055752,0.085140
0.090602,0.465044,0.055752,0.085140
0.105872,0.463942,0.039963,0.085140
0.107908,0.466146,0.031486,0.085140
0.100782,0.465044,0.044807,0.085140
0.116955,0.466146,0.027853,0.085140
0.090602,0.465044,0.037572,0.085140
0.087548,0.466146,0.057011,0.085140
0.089584,0.469452,0.063180,0.085140
0.092638,0.466146,0.054540,0.085140
0.093656,0.463942,0.038752,0.085140
0.095692,0.463942,0.044807,0.085140
0.090602,0.465044,0.050904,0.085140
0.087548,0.466146,0.063076,0.085140
0.092638,0.463942,0.039963,0.085140
0.093656,0.463942,0.047229,0.085140
0.093656,0.465044,0.049651,0.085140
0.089584,0.463942,0.049651,0.085140
0.092638,0.463942,0.050904,0.085140
0.091620,0.465044,0.042385,0.085140
0.093656,0.463942,0.046018,0.085140
0.094674,0.462840,0.042385,0.085140
0.092638,0.465044,0.048440,0.085140
0.090602,0.463942,0.050862,0.085140
0.092638,0.463942,0.050862,0.085140
0.094674,0.465044,0.056964,0.085140
0.098746,0.474962,0.052116,0.085140
0.094674,0.465044,0.049692,0.085140
0.091620,0.463942,0.041174,0.085140
0.090602,0.462840,0.039963,0.085140
0.091620,0.462840,0.036330,0.085140
0.091620,0.463942,0.039963,0.085140
0.092638,0.463942,0.042385,0.085140
0.098746,0.462840,0.032697,0.085140
0.091620,0.465044,0.039963,0.085140
0.089584,0.463942,0.042420,0.085140
0.091620,0.461738,0.032697,0.085140
0.089584,0.462840,0.037541,0.085140
0.092638,0.463942,0.041208,0.085140
0.090602,0.462840,0.032697,0.085140
0.088566,0.463942,0.039963,0.085140
0.086530,0.465044,0.047268,0.085140
0.164754,0.461738,0.008477,0.085140
0.173736,0.462840,0.036360,0.085140
0.167640,0.465044,0.072960,0.085140
0.166788,0.462840,0.029088,0.085140
0.172720,0.462840,0.060650,0.085140
0.169672,0.463942,0.061863,0.085140
0.169672,0.462840,0.061863,0.085140
0.105872,0.466146,0.063076,0.085140
0.083476,0.468350,0.050946,0.085140
0.145584,0.468350,0.044881,0.085140
0.291828,3.086349,0.088695,0.085226
0.291828,1.182350,0.067872,0.087120
0.270270,0.474962,0.056964,0.087120
0.105872,0.478268,0.048440,0.087120
0.244000,1.229872,0.049692,0.087120
0.283860,3.644856,0.093401,0.087120
0.283860,0.618222,0.056917,0.087120
0.283860,0.479370,0.055706,0.087120
0.187960,0.473860,0.050862,0.087120
0.213360,1.323882,0.138282,0.087120
0.215392,1.330614,0.225618,0.088110
0.216408,1.340577,0.226831,0.088110
0.216408,1.369228,0.209849,0.088110
0.220472,1.423422,0.219553,0.089100
0.217210,1.392454,0.214701,0.089100
0.215392,1.388030,0.214701,0.090090
0.218440,1.342684,0.226831,0.090090
0.221270,1.370466,0.224405,0.090090
0.216408,1.454390,0.217127,0.090090
0.220472,1.434482,0.218340,0.090090
0.217210,1.308474,0.224405,0.090090
0.217424,1.418067,0.219553,0.091080
0.221488,1.432270,0.213488,0.091172
0.219456,1.360503,0.221979,0.091080
0.221488,1.455705,0.217127,0.091080
0.266266,3.762056,0.103275,0.092163
0.286848,1.238705,0.066660,0.092163
0.285852,0.493696,0.055706,0.092070
0.285852,0.487084,0.054495,0.092070
0.139192,0.482676,0.042385,0.092070
0.162720,1.552308,0.078780,0.091080
0.280872,3.711791,0.093401,0.091172
0.285852,0.657388,0.059339,0.092070
0.285852,0.489288,0.055706,0.092070
0.271000,0.483778,0.052073,0.092070
0.108819,0.487084,0.039963,0.091080
0.231462,3.335724,0.084910,0.090090
0.285852,1.646109,0.071508,0.091080
0.285852,0.490390,0.055752,0.091080
0.285852,0.485982,0.055706,0.090896
0.193483,0.485982,0.076356,0.090896
0.212344,0.955825,0.213488,0.091080
