A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.072420,0.489288,0.049733,0.085140
0.048960,0.906666,0.047307,0.085140
0.040800,1.187875,0.065502,0.085226
0.042840,1.217710,0.063180,0.086130
0.041820,1.186770,0.033936,0.086130
0.041820,1.242020,0.031512,0.087120
0.040800,1.253098,0.029088,0.087120
0.041820,1.255310,0.035148,0.087208
0.041820,1.249755,0.030300,0.087208
0.041820,1.344896,0.018180,0.087208
0.041820,1.331624,0.015756,0.088110
0.040800,1.310610,0.012120,0.088110
0.041820,1.385818,0.007272,0.088199
0.040800,1.391348,0.006060,0.088110
0.040800,1.386924,0.007272,0.088199
0.041820,1.384712,0.007272,0.088110
0.041820,1.324988,0.014544,0.088199
0.040800,1.385818,0.007272,0.088199
0.041820,1.381394,0.007272,0.089190
0.040800,1.339366,0.015756,0.089100
0.042840,1.369228,0.009696,0.089190
0.040800,1.363698,0.015756,0.089190
0.041820,1.332730,0.010908,0.089100
0.040800,1.331624,0.013332,0.089100
0.041820,1.384712,0.007272,0.089100
0.040800,1.381394,0.007272,0.090090
0.040800,1.373652,0.007272,0.089100
0.041820,1.319458,0.020604,0.090090
0.040800,1.383606,0.010908,0.090090
0.040800,1.340472,0.008484,0.090090
0.041820,1.367016,0.015756,0.090090
0.040800,1.347108,0.014544,0.090090
0.041738,1.362592,0.014544,0.090181
0.040800,1.402408,0.006055,0.090181
0.041820,1.402408,0.006060,0.090090
0.040800,1.396878,0.006060,0.090181
0.042840,1.397984,0.006060,0.090181
0.041820,1.343790,0.019392,0.090181
0.041820,1.333836,0.016968,0.090090
0.041820,1.344896,0.019392,0.090181
0.041820,1.287325,0.008477,0.090181
0.041820,1.385818,0.006060,0.090090
0.041820,1.407938,0.006060,0.090090
0.041820,1.411256,0.006060,0.090090
0.040800,1.416786,0.004848,0.090090
0.042840,1.415680,0.004848,0.090090
0.040800,1.412362,0.004844,0.090090
0.040800,1.420104,0.006060,0.090090
0.041820,1.415680,0.004848,0.090090
0.041820,1.411256,0.006060,0.091080
0.040800,1.406832,0.006060,0.091080
0.041820,1.416786,0.004844,0.091172
0.040800,1.409044,0.004848,0.091172
0.041820,1.410150,0.006060,0.091172
0.040800,1.409044,0.006060,0.091172
0.040800,1.414574,0.004844,0.091172
0.041820,1.412362,0.010908,0.091172
0.041820,1.333836,0.012120,0.091172
0.041820,1.337154,0.015756,0.091172
0.041820,1.336048,0.018180,0.091080
0.041820,1.318352,0.015756,0.091172
0.040800,1.389136,0.007272,0.091080
0.042840,1.400196,0.007272,0.091172
0.040800,1.390242,0.007272,0.091172
0.042840,1.332730,0.016968,0.091172
0.041820,1.351532,0.019392,0.091172
0.043860,1.307292,0.024240,0.091172
0.042840,1.306186,0.025452,0.091080
0.041820,1.318352,0.025452,0.091080
0.041820,1.344896,0.008484,0.091080
