A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.062220,0.584590,0.035177,0.127452
0.071400,0.632019,0.041242,0.125730
0.094674,1.213282,0.059535,0.123750
0.254000,3.123115,0.089984,0.122760
0.267924,3.137610,0.069141,0.123750
0.230076,3.163255,0.061863,0.123750
0.236029,3.166600,0.060750,0.122760
0.205232,2.924964,0.104748,0.123750
0.228938,4.232480,0.113460,0.124740
0.226568,4.175360,0.130647,0.124740
0.233680,4.250400,0.114680,0.125730
0.229390,4.240320,0.117216,0.125730
0.234320,4.289600,0.098658,0.127710
0.232990,4.312000,0.096222,0.127710
0.245708,4.312000,0.118146,0.127710
0.253253,4.351200,0.128100,0.128700
0.232848,4.243680,0.119560,0.129690
0.234784,4.275040,0.133089,0.129690
0.228260,4.202240,0.129426,0.129690
0.235872,4.304160,0.100040,0.129821
0.235000,4.264960,0.106140,0.131670
0.238896,4.310880,0.100040,0.131803
0.236708,4.350601,0.082824,0.131803
0.237048,4.270560,0.104920,0.131803
0.253238,4.331040,0.093940,0.131803
0.270640,4.309760,0.093709,0.131670
0.236645,4.160800,0.113460,0.132660
0.236645,4.291840,0.122000,0.132660
0.234165,4.343360,0.111020,0.132794
0.232530,4.315360,0.104748,0.132660
0.228486,4.335520,0.114680,0.132660
0.228375,4.362932,0.104748,0.132660
0.234003,4.398804,0.103530,0.132660
0.226912,4.347238,0.105966,0.132660
0.239666,4.388715,0.091350,0.133650
0.238476,4.355085,0.081606,0.133650
0.255488,4.291840,0.085190,0.133650
0.252000,4.323697,0.124440,0.133650
0.241390,4.196640,0.098658,0.133650
0.238832,4.129440,0.125763,0.134640
0.235563,4.129440,0.130647,0.133650
0.227250,4.226880,0.131868,0.133650
0.231420,4.309760,0.104920,0.133785
0.234003,4.308640,0.114680,0.133785
0.237510,4.328800,0.106140,0.134776
0.237524,4.316480,0.096222,0.134776
0.232530,4.164160,0.115900,0.133650
0.242446,4.405530,0.105966,0.134776
0.248744,4.365174,0.126880,0.134776
0.236574,4.235840,0.126880,0.134776
0.232990,4.368537,0.102312,0.134640
0.234864,4.385352,0.095004,0.134640
0.233772,4.381989,0.095004,0.134640
0.228938,4.362932,0.112240,0.134640
0.229616,4.341120,0.114680,0.134640
0.247476,4.275040,0.129320,0.134640
0.238422,4.282880,0.091350,0.134640
0.245000,4.318720,0.093786,0.134640
0.254254,4.204480,0.125763,0.134640
0.254254,4.291840,0.117120,0.134776
0.236029,4.426829,0.086407,0.134776
0.234552,4.280640,0.126984,0.135767
0.231150,4.173120,0.108580,0.134776
0.235796,4.333786,0.097440,0.134776
0.232300,4.386473,0.088914,0.134776
0.239904,4.375263,0.090132,0.134776
0.234060,4.301920,0.104748,0.134776
0.237350,4.394320,0.077888,0.134776
0.237000,4.371900,0.096222,0.135767
0.237416,4.193280,0.125660,0.134776
0.259000,4.239200,0.125660,0.135767
0.234165,4.172000,0.130647,0.135767
0.236574,4.294080,0.126984,0.134776
0.226912,4.308640,0.124542,0.134776
0.235404,4.254880,0.109800,0.134776
0.237510,4.238080,0.118340,0.135767
0.233856,4.334907,0.125763,0.135767
0.237524,4.361811,0.093786,0.135767
0.236708,4.267647,0.096222,0.135767
0.237416,4.429071,0.086407,0.134776
0.247504,4.260480,0.081539,0.135767
0.263675,4.233600,0.129320,0.134776
0.245765,4.344480,0.116928,0.135767
0.236236,4.289600,0.088914,0.135767
0.237237,4.289600,0.103530,0.135767
0.238832,4.323200,0.090132,0.135767
0.236029,4.272800,0.108402,0.135767
0.232530,4.316480,0.103700,0.135767
0.232300,4.390957,0.114680,0.135630
0.234003,4.184320,0.119560,0.134640
0.246715,4.323200,0.101094,0.135630
0.261820,4.333280,0.115900,0.135767
0.259220,4.345600,0.113274,0.135767
0.242928,4.388715,0.093709,0.135767
0.229724,4.427950,0.105966,0.135767
0.228938,4.356206,0.106140,0.135767
0.240673,4.333786,0.104920,0.135767
0.240277,4.217920,0.113460,0.135630
0.238283,4.355085,0.095160,0.135767
0.237474,4.204480,0.111020,0.135630
0.238044,4.144000,0.106140,0.134776
0.235056,4.355085,0.085260,0.134776
0.248496,4.242560,0.126880,0.135767
0.258960,4.133246,0.159951,0.135767
0.251753,4.167520,0.117120,0.135767
0.234702,4.245920,0.112240,0.135767
0.236472,4.271680,0.102480,0.134776
0.237711,4.176480,0.114680,0.135767
0.238832,4.313608,0.112240,0.135767
0.236880,4.188800,0.124542,0.135767
0.236340,4.184320,0.111020,0.134776
0.232617,4.285120,0.112240,0.134776
0.236029,4.309760,0.102312,0.135767
0.250245,4.385352,0.104748,0.135630
0.252000,4.332665,0.134200,0.135767
0.247476,4.303519,0.107360,0.135767
0.235872,4.349480,0.107360,0.135767
0.237711,4.333786,0.097440,0.135767
0.236052,4.366295,0.086478,0.135767
0.236052,4.359569,0.088841,0.135767
0.234864,4.131680,0.092568,0.135767
0.232848,4.273920,0.125763,0.135630
0.226345,4.261600,0.113460,0.135630
0.243410,4.261600,0.118437,0.135767
0.243410,4.313608,0.130647,0.135767
0.258223,4.223520,0.125763,0.135767
0.245430,4.263840,0.124542,0.135767
0.238476,4.263840,0.109800,0.135767
0.235016,4.246348,0.117120,0.136758
0.235480,4.276615,0.117216,0.135767
0.229951,4.316971,0.108580,0.135767
0.229390,4.340512,0.130647,0.135767
0.234003,4.264960,0.123321,0.135767
0.234468,4.240320,0.108580,0.136758
0.232617,4.319213,0.103700,0.136758
0.253506,4.303519,0.095004,0.136758
0.268650,4.377505,0.108580,0.135767
0.245508,4.325440,0.092568,0.136758
0.236289,4.327680,0.091500,0.136758
0.235638,4.188800,0.118340,0.135767
0.231977,4.337149,0.111020,0.136758
0.235330,4.280640,0.102480,0.135767
0.231748,4.350601,0.101094,0.135767
0.237042,4.367416,0.095160,0.135767
0.237585,4.361811,0.091350,0.135767
0.239717,4.377505,0.086478,0.135767
0.247230,4.342754,0.112240,0.135767
0.257484,4.306882,0.122000,0.136758
0.243486,4.374142,0.107360,0.135767
0.236029,4.378626,0.093786,0.136758
0.231748,4.407772,0.100040,0.136758
0.233772,4.346117,0.106227,0.136758
0.235470,4.385352,0.095004,0.136758
0.229951,4.405530,0.103530,0.136758
0.236472,4.357327,0.091350,0.136758
0.237286,4.441402,0.076671,0.136758
0.234631,4.377505,0.095160,0.136758
0.234631,4.221686,0.137973,0.136758
0.254254,4.179840,0.149084,0.136758
0.244215,4.304640,0.102480,0.136758
