A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.109944,4.019680,0.048640,0.128700
0.103836,3.591155,0.057105,0.127710
0.100782,2.646714,0.074176,0.125730
0.108926,3.019420,0.055798,0.125730
0.105872,3.017190,0.063180,0.124740
0.107908,3.017190,0.063180,0.124740
0.115034,2.943600,0.127890,0.124740
0.161703,4.048800,0.102312,0.124740
0.151533,4.142880,0.102312,0.124740
0.116052,4.128320,0.104748,0.125730
0.124196,4.304640,0.089060,0.126848
0.128268,4.261600,0.101260,0.127839
0.123178,4.260480,0.080388,0.127710
0.119106,4.183572,0.088841,0.127710
0.121142,4.263163,0.090058,0.128700
0.121142,4.286704,0.081606,0.128700
0.121142,4.227291,0.098658,0.128700
0.126232,4.229533,0.077824,0.129690
0.167805,4.331544,0.093786,0.129690
0.153718,4.179840,0.102312,0.129690
0.122160,4.203360,0.092568,0.129690
0.121142,4.322576,0.076671,0.129690
0.121142,4.167520,0.091275,0.129690
0.121142,4.312487,0.088841,0.129690
0.117070,4.245920,0.096222,0.129690
0.118088,4.283341,0.097600,0.130680
0.122160,4.364053,0.076671,0.130680
0.116052,4.361811,0.075454,0.130680
0.123178,4.353964,0.071744,0.130680
0.169839,4.263163,0.095160,0.131670
0.150516,4.209355,0.115900,0.131803
0.125214,4.314729,0.091350,0.131670
0.117070,4.378626,0.071744,0.131670
0.117070,4.318092,0.075392,0.131670
0.122040,4.322576,0.077888,0.131803
0.123178,4.328181,0.073020,0.131670
0.123178,4.340512,0.074176,0.131670
0.119106,4.393199,0.081472,0.131670
0.131322,4.163040,0.101011,0.131670
0.131322,4.202629,0.108402,0.131670
0.168822,4.348359,0.104748,0.131670
0.153567,4.348359,0.085190,0.131670
0.122160,4.304640,0.090132,0.131670
0.124074,4.257558,0.095160,0.132660
0.124196,4.247040,0.099876,0.132794
0.123178,4.320334,0.079105,0.131670
0.118088,4.343875,0.099876,0.132660
0.121142,4.193280,0.098658,0.131670
0.124196,4.276615,0.084042,0.131670
0.122160,4.253074,0.082688,0.131670
0.124196,4.334907,0.068040,0.131670
0.164754,4.435797,0.094926,0.132660
0.160686,4.294551,0.097440,0.132660
0.120124,4.272131,0.104748,0.132660
0.121023,4.328181,0.104748,0.132660
0.121142,4.331544,0.081606,0.132660
0.121142,4.383110,0.086478,0.132660
0.121142,4.276615,0.086478,0.132794
0.121142,4.379747,0.076671,0.132794
0.121142,4.045440,0.079170,0.132660
0.117070,3.639186,0.064448,0.131670
0.119106,3.633500,0.035177,0.131670
0.139329,3.777722,0.083904,0.130680
0.146448,4.189177,0.132980,0.131803
0.122160,4.290067,0.090058,0.131803
0.122160,4.211200,0.087624,0.131670
0.118088,4.258679,0.103530,0.131670
0.122160,4.297914,0.081539,0.131670
0.121142,4.370779,0.069369,0.131803
0.123178,4.263163,0.077888,0.131803
0.120124,4.352843,0.085190,0.131803
0.119106,4.381410,0.092492,0.131670
0.120124,4.323697,0.093786,0.131670
0.159669,4.414498,0.090058,0.132660
0.162720,4.306882,0.080322,0.132794
0.121023,4.288946,0.074237,0.132794
0.122040,4.359569,0.080256,0.132794
0.123057,4.331544,0.085260,0.132794
0.123057,4.262042,0.087624,0.132794
0.122160,4.236259,0.092568,0.132794
0.123178,4.239622,0.093786,0.132794
0.114016,4.359569,0.099876,0.132794
0.118088,4.229533,0.096380,0.132660
0.123178,4.282220,0.097440,0.132794
0.165771,4.278857,0.107360,0.132660
0.163737,4.278857,0.120780,0.132660
0.125214,4.124960,0.075454,0.132794
0.123178,4.422924,0.080388,0.132794
0.122160,4.296793,0.083973,0.132660
0.122160,4.276615,0.079105,0.132660
0.119106,4.274373,0.096143,0.132660
0.120124,4.300156,0.081539,0.132660
0.121142,4.340512,0.082688,0.132660
0.121142,4.340512,0.063284,0.132660
0.121142,4.397683,0.075454,0.132660
0.159669,4.348359,0.086407,0.132660
0.162720,4.368537,0.110838,0.132660
0.162720,4.266526,0.076734,0.132660
0.123178,4.378626,0.086407,0.132660
0.124196,4.256437,0.086407,0.132660
0.124196,4.332665,0.079105,0.132660
0.125214,4.310245,0.085260,0.132660
0.118088,4.271680,0.101094,0.132660
0.116052,4.396562,0.087624,0.132660
0.114016,4.291188,0.091350,0.133785
0.121142,4.348359,0.098658,0.133785
0.126232,4.258679,0.091350,0.132794
0.161544,4.332665,0.093709,0.133650
0.120006,4.329302,0.102480,0.133650
0.125091,4.330423,0.084042,0.133785
0.114921,4.316971,0.093940,0.132660
0.124196,4.282220,0.088914,0.133785
0.122160,4.327060,0.074237,0.132794
0.116052,3.759834,0.038816,0.132660
0.107908,3.906292,0.051030,0.132660
0.123178,3.937596,0.069369,0.131670
0.117070,3.633601,0.043668,0.131670
0.157635,3.297780,0.052245,0.131803
0.158652,3.048410,0.061965,0.130812
0.118088,3.045065,0.030325,0.129821
0.116052,3.039490,0.030325,0.129821
0.117070,3.033915,0.030300,0.128830
