A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.103734,3.068541,0.054585,0.121770
0.103836,0.956930,0.042455,0.120780
0.062220,1.973580,0.074176,0.118800
0.229616,3.110850,0.063180,0.118920
0.229616,3.123115,0.065610,0.118920
0.240555,2.919399,0.099794,0.118920
0.219387,3.813498,0.125660,0.119911
0.239478,4.030390,0.105966,0.119911
0.224664,4.100824,0.120780,0.120902
0.230405,4.096352,0.123321,0.120902
0.224536,4.262720,0.122000,0.121893
0.226912,4.232480,0.101094,0.122884
0.230280,4.161920,0.092568,0.123875
0.237350,3.797800,0.092568,0.123875
0.234003,4.326560,0.109800,0.124866
0.234320,4.324320,0.105966,0.124866
0.251753,4.268320,0.110838,0.125857
0.247494,4.245920,0.125454,0.125857
0.241920,4.312000,0.106140,0.126848
0.236175,3.519864,0.075454,0.126848
0.239607,3.175520,0.046094,0.126848
0.240720,3.159910,0.039996,0.125857
0.235056,3.204510,0.035148,0.125857
0.231748,4.015856,0.071744,0.124866
0.237585,3.603442,0.108402,0.125857
0.237048,3.225695,0.049733,0.124740
0.224224,3.225695,0.036360,0.124740
0.249747,3.395988,0.103530,0.124866
0.245464,4.295672,0.124440,0.124866
0.234784,4.148480,0.107184,0.125857
0.229390,4.235840,0.108580,0.125857
0.231519,4.176480,0.108402,0.125857
0.228938,4.339391,0.103530,0.126848
0.228938,4.223520,0.093786,0.127839
0.240195,4.323200,0.096222,0.127839
0.235705,4.082400,0.096222,0.127710
0.229724,4.327060,0.097440,0.127710
0.230508,4.332665,0.082756,0.127710
0.239904,4.378626,0.098577,0.127839
0.258000,4.370779,0.107096,0.128700
0.252255,4.256000,0.110838,0.128700
0.237652,4.193280,0.112056,0.128700
0.239904,4.296320,0.098820,0.128700
0.236236,3.707323,0.051030,0.128700
0.235705,3.596740,0.047307,0.128700
0.238476,3.374784,0.058320,0.127839
0.240434,3.314895,0.042455,0.127839
0.229951,4.159680,0.120780,0.126848
0.219240,3.887286,0.123220,0.127839
0.249498,4.169760,0.130540,0.127839
0.260952,3.707323,0.070470,0.127710
0.235705,3.181095,0.046094,0.127710
0.236289,3.100815,0.041242,0.126720
0.240000,2.998422,0.031512,0.125730
0.236052,2.989518,0.031512,0.125730
0.234234,3.295548,0.080256,0.124740
0.234465,4.148480,0.092568,0.124866
0.233233,3.981198,0.053460,0.125857
0.232848,3.360276,0.053460,0.125857
0.233624,4.170880,0.097360,0.124866
0.254490,4.110400,0.112056,0.125857
0.243210,4.316971,0.137860,0.126848
0.226912,4.257558,0.115710,0.126848
0.227925,4.208234,0.115900,0.127839
0.231420,4.370779,0.108402,0.127839
0.232435,4.336028,0.093709,0.127839
0.231977,4.253760,0.109620,0.127839
0.241629,4.293430,0.098658,0.128830
0.236236,4.329302,0.102480,0.128830
0.237416,4.198880,0.077888,0.128830
0.239040,3.737440,0.055890,0.128830
0.240036,3.727429,0.047307,0.127710
0.266466,3.076285,0.067928,0.127839
0.262944,3.003987,0.047268,0.127839
0.237048,3.002874,0.031512,0.126848
0.223210,3.696153,0.103530,0.126848
0.230736,4.243680,0.105966,0.126848
0.237524,3.706206,0.061965,0.126720
0.236052,3.095240,0.038784,0.126848
0.249996,3.015117,0.043632,0.125730
0.236052,2.987292,0.031512,0.124866
0.235056,2.982840,0.031512,0.124740
0.272904,2.973936,0.055798,0.123875
0.265932,2.970597,0.050946,0.123875
0.235056,2.976162,0.030300,0.122760
0.231000,2.977275,0.054585,0.122884
0.218440,3.816852,0.124440,0.122760
0.230736,4.163040,0.110838,0.122884
0.232435,4.179840,0.104748,0.123875
0.233624,4.173120,0.114680,0.124866
0.235170,4.060000,0.063232,0.124866
0.235470,3.858218,0.052245,0.125857
0.237286,3.638069,0.042455,0.124866
0.243210,3.640303,0.115900,0.125857
0.251502,4.316480,0.101011,0.124866
0.227925,4.243680,0.114680,0.125857
0.233160,4.281760,0.081539,0.125857
0.227475,4.313608,0.105966,0.126848
0.227475,4.217920,0.114680,0.126848
0.235404,3.963310,0.096143,0.127839
0.232300,4.022564,0.074176,0.127839
0.233064,3.648122,0.092492,0.127839
0.233856,4.186560,0.108402,0.127839
0.234465,4.272131,0.105966,0.127839
0.236029,4.245920,0.105966,0.127839
0.258258,4.264960,0.135531,0.127839
0.257964,3.961074,0.140300,0.128830
0.239280,3.635835,0.053460,0.128830
0.235638,3.571049,0.058320,0.127839
0.234465,3.566581,0.054675,0.127839
0.233856,3.426120,0.038816,0.126848
0.224100,3.174405,0.041242,0.126720
0.223104,3.150990,0.031512,0.126720
0.224100,3.145415,0.031512,0.125730
0.223104,3.146530,0.031512,0.125857
0.225899,3.146530,0.032724,0.124866
0.256768,4.027036,0.120582,0.124866
0.230964,4.144000,0.104748,0.125857
0.240555,4.291188,0.087624,0.126848
0.241482,4.291188,0.057105,0.126848
0.234000,4.057222,0.047307,0.126848
0.233450,3.644771,0.098577,0.126848
0.238896,4.221686,0.101260,0.127839
0.230230,3.835858,0.061965,0.126848
0.236340,3.187296,0.042455,0.126848
0.231231,3.174405,0.043668,0.126848
0.247247,3.246444,0.082688,0.125857
0.256000,4.141072,0.128100,0.125857
0.234784,4.247040,0.109620,0.126848
0.237416,4.256000,0.091350,0.126848
0.237416,4.304640,0.106140,0.126848
0.231977,4.276615,0.111020,0.126848
0.231748,4.236960,0.103530,0.127839
0.226912,4.328181,0.118340,0.127839
0.227360,4.267647,0.107184,0.128830
0.236495,4.179840,0.107360,0.128830
0.228938,4.209355,0.119658,0.128830
0.241390,3.970018,0.079105,0.128830
0.261214,4.091360,0.121800,0.128830
0.258000,4.339391,0.099876,0.129821
0.237286,4.342754,0.081606,0.129821
0.238422,4.323697,0.091275,0.129821
0.234631,4.088000,0.109620,0.129821
0.233541,4.309124,0.105966,0.129821
0.231840,4.185440,0.110838,0.129821
0.234003,4.226880,0.123321,0.129821
0.237711,4.235840,0.109800,0.129821
0.235563,4.197760,0.102312,0.129821
0.231977,4.233600,0.105966,0.130812
0.254254,4.216081,0.129108,0.130812
0.258258,4.259360,0.129320,0.130812
0.239607,4.018560,0.118340,0.131803
0.242400,3.741946,0.091275,0.130812
0.226912,4.347238,0.079040,0.130812
0.227925,4.251953,0.107184,0.130812
0.229951,4.213440,0.122000,0.130812
0.233310,4.264284,0.114680,0.130812
0.235528,3.930888,0.106140,0.131803
0.238044,3.070767,0.054675,0.130680
0.251244,3.070767,0.044881,0.129690
0.249498,3.046180,0.093709,0.129690
0.231748,4.071200,0.120780,0.129821
0.232760,4.266526,0.115900,0.129821
