A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.105872,3.413844,0.052245,0.130680
0.107908,1.731348,0.074115,0.129690
0.152550,2.806986,0.092416,0.128830
0.109944,3.035030,0.066825,0.127839
0.107908,3.036145,0.060650,0.127839
0.107908,3.032800,0.060750,0.127839
0.109944,2.962555,0.079040,0.126848
0.112998,4.066720,0.103530,0.126848
0.118088,4.167878,0.093786,0.127839
0.118088,4.230654,0.063232,0.127839
0.121142,4.225049,0.069369,0.127839
0.118088,3.711760,0.101260,0.127839
0.120124,3.821324,0.063232,0.128830
0.162720,3.993920,0.144078,0.128830
0.128268,4.142095,0.119560,0.128830
0.114016,4.172362,0.101260,0.128830
0.123057,4.173483,0.097600,0.129821
0.117972,4.216081,0.090058,0.129821
0.114016,4.429656,0.070528,0.129821
0.121142,4.321455,0.074237,0.129821
0.123178,4.282220,0.095160,0.129821
0.118088,4.321455,0.085190,0.130812
0.121142,4.346117,0.074237,0.130812
0.137295,4.362932,0.081606,0.130812
0.164754,4.344996,0.090058,0.130812
0.136278,4.267647,0.092568,0.131803
0.118088,4.305761,0.087696,0.131803
0.118989,4.168999,0.117120,0.131803
0.124196,4.227291,0.096222,0.131803
0.124074,4.387020,0.076671,0.131803
0.123178,4.363458,0.075454,0.131803
0.123178,4.363458,0.091500,0.131803
0.116052,4.361811,0.090132,0.131803
0.123057,4.297914,0.090132,0.131803
0.131193,4.330423,0.077952,0.131803
0.167805,4.344996,0.102312,0.132794
0.142380,4.322576,0.096222,0.132794
0.124074,4.323697,0.083973,0.132794
0.122160,4.283341,0.106140,0.132794
0.122160,4.316971,0.084042,0.132794
0.123178,4.370779,0.071803,0.132794
0.122040,4.269889,0.071803,0.132794
0.117070,4.211597,0.051072,0.132794
0.103836,3.750890,0.042455,0.132794
0.112887,4.102560,0.074176,0.131803
0.126108,4.199266,0.105966,0.131803
0.162720,4.323697,0.106140,0.131803
0.151533,4.246348,0.108580,0.131803
0.121142,4.251953,0.107448,0.132794
0.117972,4.260921,0.102480,0.132794
0.116052,4.397683,0.081539,0.131803
0.117070,4.323697,0.095004,0.132794
0.124074,4.286704,0.087696,0.132794
0.139329,4.392078,0.080322,0.132794
0.123178,4.258679,0.092568,0.132794
0.123178,4.333786,0.090280,0.132794
0.122040,4.292309,0.099876,0.132794
0.162720,4.231775,0.113274,0.132794
0.151384,4.296793,0.104920,0.132794
0.123057,4.364053,0.084042,0.132794
0.121023,4.009600,0.068152,0.132794
0.107908,3.876106,0.046170,0.132794
0.105872,3.815734,0.049815,0.131803
0.105872,3.828032,0.043740,0.131803
0.106890,3.889522,0.037603,0.130812
0.106890,3.830268,0.049856,0.129821
0.103836,3.469402,0.072960,0.129821
0.108926,4.137611,0.108402,0.129821
0.126232,4.266526,0.106140,0.129821
0.144414,4.238501,0.070586,0.131803
0.121023,4.199266,0.093786,0.130812
0.122160,4.160031,0.098658,0.130680
0.121142,4.310245,0.075454,0.131803
0.120124,4.276615,0.083973,0.131803
0.121142,4.244106,0.097440,0.131803
0.121142,4.244106,0.074237,0.131803
0.120124,4.313608,0.068096,0.131803
0.121142,4.348359,0.076608,0.131803
0.124074,4.358448,0.076734,0.131803
0.167805,4.316971,0.092492,0.131803
0.149499,4.240743,0.118340,0.132794
0.118088,4.255316,0.113274,0.132794
0.123178,4.396562,0.076671,0.132794
0.117070,4.292309,0.083973,0.132794
0.122160,4.334286,0.076671,0.132794
0.125214,4.255316,0.082756,0.132794
0.118088,4.321944,0.087696,0.132794
0.119106,4.232896,0.106140,0.132794
0.121142,4.256000,0.077888,0.132794
0.128268,4.173120,0.095004,0.132794
0.167805,4.374142,0.085260,0.132794
0.152400,4.253074,0.111020,0.132794
0.126232,4.336028,0.086407,0.132794
0.121142,4.245227,0.091350,0.132794
0.121142,4.292309,0.081606,0.132794
0.121142,4.355085,0.074176,0.132794
0.121023,4.427412,0.058368,0.132794
0.121023,4.358448,0.074237,0.132794
0.120006,3.981600,0.060800,0.132794
0.120124,4.096960,0.091350,0.132794
0.121142,4.315850,0.090132,0.132794
0.123178,4.331544,0.083973,0.132794
0.166788,4.246348,0.101260,0.132794
0.157635,4.265405,0.088914,0.132794
0.122160,4.372434,0.076671,0.132794
0.125214,4.382532,0.074237,0.132794
0.121142,4.256437,0.081539,0.132794
0.124196,4.154426,0.114680,0.132794
0.123178,4.217202,0.102480,0.132794
0.120124,4.312487,0.062016,0.132794
0.120124,4.399362,0.073020,0.132794
0.126232,4.221686,0.080388,0.132794
0.161703,3.883932,0.070528,0.132794
0.157635,3.854864,0.063232,0.132794
0.121142,3.859336,0.051030,0.131803
0.106890,3.835858,0.044955,0.131803
0.105872,3.812380,0.059584,0.130812
0.106890,3.778840,0.063284,0.130812
0.105872,3.737474,0.058368,0.129821
0.104854,3.734131,0.041242,0.129821
0.104854,3.565464,0.032751,0.129821
0.103836,3.596740,0.031538,0.129821
0.106890,3.598974,0.036390,0.128830
0.149499,3.591016,0.061863,0.127839
0.140346,3.498444,0.061965,0.128830
0.103836,3.565464,0.047307,0.127839
0.104854,3.588921,0.033964,0.127839
0.094674,3.431424,0.035177,0.127839
0.094674,2.744658,0.046170,0.126848
0.094674,2.733528,0.046170,0.125857
0.094674,2.730189,0.046170,0.125730
0.092638,2.724624,0.046170,0.124740
0.093656,2.721285,0.046170,0.124866
0.092638,2.721285,0.046170,0.124866
0.093656,2.722398,0.048600,0.123875
0.136278,2.806986,0.070528,0.123875
0.147465,3.710674,0.091275,0.122884
0.103836,3.739710,0.040095,0.124866
