A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.279876,2.353098,0.053372,0.121893
0.088392,1.859250,0.052245,0.120780
0.286679,3.104160,0.077824,0.120902
0.284698,3.114195,0.060750,0.120902
0.278880,2.648784,0.066825,0.120902
0.192090,2.346320,0.096064,0.119790
0.252756,3.596740,0.105879,0.119911
0.265932,3.721844,0.118146,0.120902
0.271908,3.664877,0.104748,0.120902
0.275892,3.665994,0.091275,0.120902
0.273178,4.001094,0.112240,0.121770
0.277605,4.011840,0.109620,0.121893
0.287555,4.188800,0.079040,0.122884
0.298500,3.641420,0.043668,0.122884
0.289545,3.124230,0.082756,0.122884
0.278600,3.796728,0.108402,0.122884
0.270912,4.228000,0.123220,0.123875
0.258258,4.100824,0.121800,0.123875
0.279595,3.713996,0.118146,0.124866
0.299495,4.060576,0.064448,0.124866
0.302480,3.577751,0.065664,0.124740
0.281868,3.749769,0.111872,0.124866
0.281868,4.268320,0.112240,0.124866
0.282864,4.244800,0.109800,0.125730
0.289545,4.179840,0.097440,0.125857
0.278000,4.127200,0.098577,0.126848
0.276888,4.202240,0.123220,0.126848
0.274896,4.299035,0.114680,0.127839
0.272904,4.377505,0.108580,0.127839
0.267655,4.359569,0.113274,0.127839
0.276610,4.341633,0.103530,0.127839
0.287555,4.269440,0.105966,0.127839
0.286560,4.184320,0.096222,0.128830
0.296510,3.688334,0.063232,0.128830
0.296808,3.006040,0.030300,0.127839
0.295812,2.991744,0.031512,0.126848
0.278880,4.182080,0.086407,0.126848
0.266466,4.259800,0.126880,0.126848
0.265932,4.333786,0.113274,0.126848
0.273178,4.356206,0.108402,0.126720
0.285852,4.226880,0.082756,0.127710
0.285565,4.000204,0.110838,0.127710
0.276888,4.131680,0.113274,0.127710
0.282580,4.235840,0.119560,0.127839
0.279595,4.225760,0.112240,0.128830
0.286560,4.355085,0.095004,0.128700
0.285565,4.344996,0.092568,0.128700
0.281585,4.316971,0.102312,0.129821
0.282580,4.122720,0.123220,0.129821
0.284570,3.710674,0.090058,0.129690
0.282580,3.146530,0.061863,0.128700
0.293820,3.148760,0.044881,0.127710
0.296510,3.143185,0.046094,0.127710
0.295515,3.629133,0.061965,0.127839
0.295515,3.472992,0.065664,0.126848
0.295515,3.472992,0.066825,0.126848
0.282864,3.516316,0.136640,0.126848
0.274896,4.023682,0.122000,0.126848
0.277605,4.297914,0.104920,0.127839
0.280872,4.304640,0.122100,0.127839
0.290540,4.261600,0.101094,0.127839
0.270640,4.322576,0.082688,0.127839
0.282580,3.942068,0.064395,0.127839
0.287555,3.821324,0.118340,0.127839
0.280590,4.179840,0.120879,0.128830
0.278600,4.165280,0.099876,0.128830
0.287555,4.271010,0.080322,0.128830
0.282580,3.964428,0.102228,0.128700
0.282580,4.250400,0.108580,0.129821
0.280590,4.293430,0.115900,0.129821
0.286560,4.098080,0.083973,0.129821
0.282580,3.849274,0.065610,0.129821
0.285565,3.538656,0.075330,0.129821
0.291535,3.461832,0.053372,0.128700
0.279876,3.812380,0.101094,0.128830
0.279595,4.156320,0.124542,0.128830
0.297505,3.691685,0.096143,0.129821
0.276888,3.693872,0.097360,0.128830
0.294520,3.828032,0.061965,0.128830
0.289545,3.839212,0.062016,0.127710
0.277605,4.346117,0.102312,0.127710
0.278600,4.160800,0.122000,0.128830
0.281585,4.102560,0.115900,0.128830
0.274896,3.456252,0.099794,0.128830
0.287555,3.691685,0.090058,0.128700
0.286848,3.721844,0.061965,0.128700
0.291535,3.609027,0.062016,0.127710
0.291535,3.150990,0.046094,0.127710
0.294520,3.145415,0.044881,0.127710
0.292530,3.136495,0.042455,0.126848
0.299495,3.130920,0.036390,0.126848
0.300490,3.128690,0.035177,0.125730
0.299495,3.125345,0.035148,0.125730
0.297505,3.256488,0.041242,0.124866
0.262524,3.842566,0.130540,0.124866
0.261783,4.165280,0.135531,0.124866
0.283860,4.175360,0.112240,0.125857
0.285852,3.380364,0.066880,0.125730
0.297505,3.020535,0.048520,0.125730
0.292824,2.992660,0.037603,0.125857
0.293525,2.992660,0.036390,0.124740
0.292530,2.987085,0.053460,0.124866
0.275892,3.528603,0.104920,0.124866
0.292824,3.515199,0.058320,0.124866
0.279876,3.478572,0.093709,0.124866
0.272904,3.794492,0.096222,0.124866
0.280872,4.299035,0.101011,0.125857
0.288550,4.271010,0.092492,0.126848
0.289545,4.107040,0.053460,0.126848
0.292530,3.469644,0.055890,0.126848
0.277444,3.417192,0.104920,0.126848
0.290540,3.995040,0.075454,0.125857
0.296510,3.535305,0.060850,0.126848
0.275448,3.558762,0.060750,0.125857
0.293525,3.855982,0.112056,0.125857
0.286848,3.555411,0.064448,0.125857
0.266928,3.556528,0.065610,0.125857
0.273625,3.904056,0.097360,0.125857
0.277884,3.919708,0.112240,0.125857
0.277884,4.204480,0.113460,0.125857
0.274896,4.063360,0.097600,0.126848
0.262000,3.658175,0.098577,0.126720
0.275615,3.975608,0.093709,0.126720
0.281585,3.736356,0.099794,0.126720
0.280590,3.982316,0.091275,0.126720
0.282864,3.750886,0.087624,0.127839
0.276888,3.958838,0.125660,0.127839
0.281585,3.678281,0.080256,0.127710
0.278880,3.565464,0.069255,0.126720
0.291535,3.163255,0.050946,0.126720
0.295515,3.133150,0.038816,0.126848
0.278600,3.661526,0.112056,0.125857
0.291535,3.821257,0.072960,0.125857
0.273625,4.313120,0.117120,0.126848
0.288550,4.214560,0.106140,0.126848
0.290540,3.352464,0.075392,0.126848
0.295515,3.144300,0.046094,0.126848
0.283575,4.054400,0.038816,0.125730
0.273625,4.228000,0.092568,0.125857
0.275615,4.266080,0.113460,0.126848
0.290540,3.419424,0.093709,0.127839
0.293525,3.145415,0.044881,0.126848
0.287844,3.395175,0.057105,0.125857
0.270912,3.398220,0.150183,0.125857
0.286560,3.990142,0.124542,0.126848
0.276610,4.196640,0.111020,0.126848
0.278600,4.327680,0.111020,0.127839
0.275892,4.292960,0.118340,0.127839
0.279595,4.261600,0.111020,0.127839
0.272904,4.233600,0.113274,0.128830
0.268920,3.810144,0.119560,0.128830
0.278880,4.279520,0.122000,0.128830
0.278600,4.215680,0.120780,0.128830
0.285565,4.062812,0.053460,0.128830
0.301485,3.727429,0.040029,0.129821
0.299495,3.671579,0.099876,0.128830
0.287555,3.932006,0.054720,0.128830
0.294520,3.527676,0.055890,0.128830
0.293525,3.216775,0.038880,0.127839
0.291828,3.203395,0.038816,0.127839
0.267924,3.764290,0.118146,0.127839
0.273900,4.000204,0.119560,0.127839
0.277605,4.072874,0.110838,0.127839
0.280590,4.266080,0.114680,0.127839
0.275615,4.375263,0.102312,0.127839
0.278600,4.343875,0.104748,0.128830
0.295515,4.223520,0.072960,0.128700
0.297505,3.966664,0.042455,0.128700
0.270640,4.056104,0.124440,0.128700
0.285565,4.240320,0.120879,0.128830
0.290540,3.854767,0.124542,0.129690
0.275892,2.815584,0.085120,0.128700
0.271635,4.234720,0.148962,0.127839
0.280590,4.142880,0.122100,0.128830
0.285565,4.269440,0.113460,0.129821
0.289545,4.270560,0.100040,0.129821
0.287555,3.862690,0.088841,0.129821
0.297505,3.163255,0.050946,0.127710
0.282864,3.381480,0.043668,0.128700
0.278880,4.006240,0.143960,0.127839
0.284856,4.231360,0.118340,0.128700
0.275892,4.264960,0.112056,0.128830
0.268920,4.267200,0.115900,0.129821
0.270640,4.375263,0.117120,0.129821
0.270640,4.230240,0.099876,0.129821
0.288550,4.163040,0.064395,0.129821
0.296510,4.180960,0.046094,0.129821
0.302480,4.180960,0.070470,0.129821
0.283575,4.347238,0.091275,0.129821
0.276888,4.239200,0.121800,0.130812
0.282580,4.280640,0.117120,0.130812
0.280590,4.223520,0.107360,0.130812
0.282580,4.299680,0.088841,0.130680
0.289545,3.634718,0.071744,0.130680
0.276610,3.507588,0.065610,0.129690
0.295515,3.425004,0.083973,0.129690
0.274175,4.168640,0.101094,0.128700
0.287555,4.377505,0.110838,0.129821
0.287555,4.213440,0.111020,0.129821
0.279595,4.314240,0.109800,0.129821
0.283575,4.295200,0.096222,0.130680
0.291535,4.296320,0.107360,0.130680
0.278600,4.316480,0.107360,0.130812
0.281585,4.141072,0.066880,0.131803
0.298500,3.778811,0.068096,0.131803
0.285565,3.380680,0.068040,0.130812
0.283860,3.155355,0.054585,0.129690
0.296510,3.556692,0.058320,0.129690
0.286560,3.584592,0.057105,0.128700
0.283575,4.260480,0.125660,0.128700
0.288550,3.523212,0.092568,0.128700
0.290540,4.187680,0.089060,0.128830
0.292530,3.712908,0.086407,0.129690
0.294520,3.522096,0.051030,0.129690
0.287555,3.505356,0.048600,0.128700
0.288550,4.051632,0.091275,0.128700
0.293525,3.671579,0.066880,0.128830
0.293525,3.566736,0.046094,0.128700
0.300490,3.574548,0.041242,0.127839
0.288550,3.851510,0.096143,0.127839
0.282580,3.660409,0.077888,0.127710
0.274896,3.564504,0.055890,0.127710
0.274896,3.504240,0.048520,0.127710
0.274896,3.184440,0.047385,0.127710
0.273900,3.139840,0.043668,0.127710
0.274620,3.133150,0.047307,0.126720
0.272630,3.152105,0.058320,0.125730
0.258960,3.116400,0.075392,0.125730
0.276888,3.051846,0.049733,0.124740
0.271542,3.519864,0.109530,0.124740
0.262000,3.401568,0.120582,0.124740
0.275892,3.729672,0.120582,0.124740
0.269916,3.733014,0.101094,0.124866
0.277884,3.781045,0.103530,0.125857
0.276888,3.698387,0.101094,0.125730
0.275615,3.868280,0.118340,0.125730
0.289545,4.113122,0.126984,0.126848
0.288550,4.210080,0.092568,0.126848
0.263472,4.019210,0.118146,0.126848
0.282864,4.131010,0.081539,0.127839
0.286848,3.774343,0.080322,0.127839
0.270640,4.057222,0.126984,0.127710
0.280590,4.284000,0.105966,0.127839
0.276610,4.368000,0.114680,0.128700
0.278880,4.322080,0.104920,0.128830
0.273625,4.344480,0.114492,0.129821
0.280590,4.361280,0.097600,0.129821
0.268462,4.366295,0.129320,0.129690
0.273625,4.110886,0.095004,0.129690
0.273625,3.687217,0.096222,0.129821
0.283575,3.896230,0.096143,0.129821
0.276610,4.266080,0.119560,0.129821
0.281585,4.105296,0.115900,0.129821
0.291535,3.738599,0.070528,0.129690
0.294520,3.161025,0.048520,0.129690
0.283575,4.025918,0.096143,0.129821
0.282580,4.310880,0.109620,0.129690
0.283575,4.210080,0.090132,0.129690
0.280590,4.193280,0.128100,0.129821
0.285565,4.201120,0.111020,0.129821
0.262944,4.350601,0.124440,0.129690
0.274620,4.325440,0.120879,0.129690
0.275615,4.297440,0.113460,0.130680
0.287555,4.103680,0.098658,0.129690
0.283575,4.290067,0.114680,0.130680
0.276610,4.247040,0.118340,0.130812
0.277605,4.179840,0.136640,0.131803
0.290540,3.593389,0.098658,0.131670
0.285565,3.945422,0.075454,0.130680
0.276610,4.306882,0.123321,0.130680
0.280590,4.228000,0.114680,0.130680
0.273625,4.197760,0.120780,0.131670
0.289545,3.709557,0.091275,0.130680
0.295515,3.445092,0.059535,0.130680
0.298500,3.198935,0.049815,0.129690
0.283575,4.192400,0.101094,0.129690
0.277605,4.394320,0.109800,0.129690
0.296510,4.126080,0.086407,0.129690
0.269645,3.614612,0.115710,0.129690
0.292530,4.213440,0.084042,0.129690
0.267924,4.047680,0.117120,0.129690
0.267924,4.179840,0.128100,0.130680
0.271635,3.939832,0.069312,0.130680
0.286560,3.262068,0.101094,0.129690
0.285565,4.145120,0.088914,0.129690
0.290540,3.696153,0.053460,0.129690
0.286560,3.584453,0.053460,0.129690
0.287555,3.412728,0.058320,0.129690
0.286560,3.178865,0.053460,0.128700
0.286560,3.156565,0.046094,0.128700
0.291535,3.143185,0.042455,0.127710
0.294520,3.062905,0.033964,0.127710
0.293525,3.086320,0.101094,0.126720
0.263472,3.618072,0.114492,0.126720
0.264936,3.838094,0.111020,0.126720
0.286560,4.320334,0.087840,0.127839
0.286560,4.250400,0.087696,0.127710
0.276610,4.071200,0.105966,0.127710
0.281585,4.378626,0.105966,0.127710
0.283575,3.967782,0.118437,0.128700
0.277884,4.007360,0.091350,0.128700
0.277605,4.319213,0.113460,0.128830
0.288550,4.067840,0.118340,0.129690
0.302480,3.716259,0.085260,0.129690
0.290540,3.726312,0.060750,0.129690
0.294520,3.571049,0.059437,0.128700
0.298500,3.719586,0.038816,0.128700
0.291535,3.914118,0.090132,0.128830
0.293525,3.360276,0.070528,0.128830
0.282580,3.416076,0.046094,0.127710
0.288550,3.821324,0.112240,0.127710
0.278600,4.296320,0.122000,0.127710
0.283575,4.299680,0.109890,0.127710
0.291535,3.937596,0.095004,0.128700
0.291535,3.796728,0.058320,0.128700
0.294520,3.681632,0.069255,0.128700
0.296510,3.143112,0.042455,0.127710
