A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.059044,2.117388,0.014544,0.105930
0.052936,1.007039,0.042420,0.104940
0.046828,1.190085,0.071685,0.102960
0.045810,1.295126,0.052116,0.101970
0.122160,1.565298,0.065502,0.099990
0.122040,3.049525,0.065610,0.099990
0.146304,3.949894,0.063076,0.099990
0.149352,4.113122,0.060650,0.099990
0.167640,4.128774,0.063076,0.100980
0.150368,4.038216,0.064395,0.100980
0.151384,4.089644,0.059437,0.101970
0.151384,4.079582,0.060650,0.101970
0.152400,4.151134,0.057011,0.101970
0.154432,4.181320,0.058224,0.103064
0.153416,4.104800,0.067928,0.103950
0.149352,4.059458,0.070470,0.103950
0.151384,4.040452,0.071567,0.103950
0.150368,4.015856,0.075330,0.103950
0.152400,4.012502,0.075330,0.103950
0.150368,4.060576,0.068040,0.103950
0.156464,4.184320,0.059437,0.104055
0.155448,4.170880,0.054585,0.103950
0.153416,4.196640,0.054585,0.103950
0.152400,4.176480,0.061863,0.104940
0.154432,4.142880,0.058224,0.104940
0.152400,4.194400,0.060650,0.104940
0.155601,4.154080,0.059437,0.104940
0.152400,4.182080,0.064289,0.104940
0.153416,4.159680,0.054585,0.104940
0.154432,4.165280,0.061863,0.104940
0.153416,4.154080,0.066715,0.104940
0.155448,4.154080,0.053372,0.105930
0.151384,4.128320,0.059437,0.104940
0.154584,4.136600,0.061863,0.104940
0.150368,4.173120,0.061863,0.105930
0.154584,4.172000,0.058224,0.105930
0.151384,4.182080,0.064289,0.105930
0.154432,4.146240,0.064289,0.105930
0.154432,4.138400,0.060650,0.105930
0.154584,4.084054,0.060650,0.105930
0.154432,4.116000,0.060650,0.105930
0.153416,4.148480,0.066715,0.105930
0.157480,4.155200,0.055798,0.105930
0.153416,4.125420,0.061863,0.105930
0.154432,4.170880,0.058224,0.105930
0.155448,4.067284,0.060650,0.105930
0.154432,4.124960,0.063076,0.105930
0.152550,4.138400,0.059437,0.105930
0.152400,4.160800,0.059437,0.105930
0.154584,4.175360,0.060650,0.106037
0.153567,4.180960,0.057011,0.105930
0.153567,4.127656,0.058224,0.105930
0.153567,4.152960,0.060750,0.105930
0.155601,4.086290,0.068040,0.105930
0.153416,4.132800,0.057011,0.105930
0.153416,4.155606,0.054585,0.106037
0.153416,4.171258,0.058224,0.105930
0.154584,4.116476,0.052159,0.105930
0.154584,4.138400,0.057011,0.105930
0.154432,4.109768,0.059437,0.105930
0.154584,4.087408,0.064395,0.105930
0.155601,4.091880,0.057011,0.105930
0.157480,4.147360,0.055798,0.105930
0.154584,4.163040,0.059437,0.105930
0.155448,4.144000,0.054585,0.105930
0.153567,4.128774,0.057011,0.106037
0.155601,4.195520,0.052159,0.106037
0.155448,4.174240,0.053372,0.105930
0.158652,4.188800,0.054585,0.106037
0.155448,4.151840,0.050904,0.105930
0.155448,4.152252,0.061863,0.105930
0.156618,4.129892,0.054585,0.105930
0.154432,4.103060,0.054585,0.105930
0.154432,4.069520,0.060650,0.105930
0.155601,4.147360,0.055798,0.105930
0.154432,4.127200,0.058224,0.105930
0.154432,4.127200,0.053372,0.105930
0.154432,4.140640,0.054585,0.105930
0.153416,4.145120,0.059437,0.105930
0.154584,4.132800,0.055798,0.105930
0.151384,4.135040,0.057011,0.105930
0.154432,4.115358,0.058224,0.105930
0.154432,4.142190,0.058224,0.105930
0.151384,4.133246,0.063076,0.106920
0.152550,4.053868,0.072900,0.106920
0.151384,3.954366,0.081405,0.105930
0.152400,3.929770,0.081405,0.105930
0.154584,4.091880,0.063076,0.105930
0.155448,4.154488,0.061863,0.105930
0.154432,4.119830,0.057011,0.105930
0.154584,4.173120,0.053372,0.105930
0.154584,4.124302,0.054585,0.105930
0.155601,4.133246,0.060650,0.105930
0.154432,4.183200,0.053372,0.105930
0.155448,4.145544,0.063076,0.105930
0.154584,4.133920,0.054585,0.105930
0.155601,4.127656,0.061863,0.105930
0.155448,4.166400,0.059437,0.105930
0.155448,4.071756,0.061863,0.106920
0.155448,4.191040,0.049733,0.105930
0.154432,4.212320,0.055798,0.105930
0.157480,4.175730,0.057011,0.105930
0.156464,4.165668,0.058224,0.105930
0.156464,4.098588,0.061863,0.105930
0.157480,4.101942,0.060650,0.106920
0.155601,4.100824,0.061863,0.105930
0.154432,4.112004,0.059535,0.106920
0.155601,4.099706,0.063076,0.106920
0.156618,4.049396,0.064395,0.106037
0.155601,4.107532,0.054585,0.105930
0.154432,4.095234,0.061863,0.105930
0.150516,4.054986,0.069141,0.105930
0.151533,4.127656,0.065502,0.105930
0.150516,4.165668,0.059437,0.105930
0.154584,4.122066,0.060750,0.106920
0.151533,4.126538,0.065502,0.105930
0.152550,4.098588,0.069255,0.105930
0.153567,4.131010,0.060750,0.106920
0.150516,4.196640,0.058224,0.105930
0.151384,4.202240,0.059437,0.105930
0.149499,4.193280,0.059437,0.105930
0.152550,4.193280,0.060650,0.105930
0.149499,4.154488,0.065502,0.105930
0.151533,4.136160,0.063076,0.105930
0.152550,4.142880,0.065502,0.105930
0.150516,4.127656,0.066715,0.107028
0.152550,4.115358,0.054585,0.107028
0.153567,4.127656,0.060650,0.107028
0.153416,4.126080,0.055798,0.105930
0.155601,4.185440,0.053372,0.106920
0.154584,4.119360,0.053372,0.106920
0.152550,4.201120,0.057011,0.106920
0.154584,4.187680,0.054585,0.107028
0.152550,4.142190,0.059437,0.107028
0.156618,4.174240,0.061863,0.106037
0.154432,4.141760,0.055798,0.105930
0.154432,4.092998,0.063180,0.106920
0.150516,4.121600,0.065502,0.107028
0.153416,3.954366,0.071685,0.106920
0.152550,4.131680,0.065502,0.106920
0.155448,4.157440,0.064395,0.105930
0.153567,4.142190,0.065502,0.106920
0.154432,4.122066,0.054585,0.106920
0.153416,4.163432,0.063076,0.106920
0.154432,4.164550,0.054540,0.107028
0.153416,4.230240,0.054540,0.106920
0.153416,4.226880,0.063076,0.106920
0.150368,4.164550,0.067928,0.106920
0.148482,4.100824,0.064289,0.106920
0.150368,4.215978,0.063076,0.106920
0.150368,4.166786,0.067928,0.106920
0.151533,4.155606,0.067928,0.106920
0.148482,4.150016,0.066715,0.106920
0.149499,4.147780,0.066715,0.106920
0.152550,4.163432,0.061863,0.106920
0.149499,4.171258,0.063180,0.107028
0.154584,4.087408,0.066715,0.106920
0.152550,4.145120,0.064289,0.106920
0.154584,4.122066,0.065502,0.107028
