A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.130176,1.616220,0.015756,0.104940
0.090513,0.900048,0.041208,0.103950
0.050900,1.085110,0.057011,0.101970
0.045810,1.287384,0.061863,0.100980
0.045810,1.198904,0.059437,0.099990
0.168656,2.155620,0.085050,0.099000
0.202184,3.833544,0.075330,0.099990
0.201168,3.826842,0.076545,0.099990
0.201985,3.976726,0.075330,0.101082
0.202184,3.923062,0.083835,0.102073
0.202184,4.011384,0.076545,0.101970
0.207060,4.041570,0.071685,0.101970
0.205030,4.084054,0.065610,0.101970
0.208075,4.025918,0.072900,0.102960
0.204015,3.970018,0.077760,0.102960
0.207060,4.088526,0.063180,0.102960
0.208280,4.067284,0.053372,0.103950
0.205030,4.089644,0.059437,0.103950
0.205030,4.154080,0.060650,0.103950
0.208075,4.114240,0.054585,0.104055
0.206045,4.182080,0.058320,0.104055
0.209090,4.132128,0.059437,0.103950
0.207060,4.125420,0.066825,0.104940
0.208075,4.121600,0.069255,0.105046
0.209090,4.099706,0.067928,0.105046
0.207060,4.138400,0.065502,0.105046
0.211120,4.157440,0.057011,0.104940
0.209090,4.146240,0.053372,0.106037
0.207060,4.107532,0.060650,0.106037
0.206045,4.126538,0.057011,0.105930
0.208075,4.081818,0.054585,0.106037
0.206045,4.160078,0.055798,0.106037
0.206045,4.169022,0.057011,0.106037
0.208075,4.119830,0.057011,0.106037
0.213360,4.112004,0.059535,0.106037
0.207060,4.132128,0.060750,0.106037
0.209296,4.067284,0.053372,0.106037
0.209090,4.098588,0.059535,0.106037
0.207060,4.117594,0.061863,0.105930
0.208075,4.117594,0.061863,0.105930
0.206248,4.133246,0.065502,0.105930
0.207264,4.133246,0.064289,0.106037
0.209090,4.129892,0.060750,0.106037
0.207060,4.073992,0.061863,0.106037
0.206045,4.138836,0.063076,0.105930
0.207060,4.097470,0.064395,0.105930
0.207060,4.107532,0.064289,0.105930
0.210105,4.151134,0.057011,0.105930
0.211120,4.134364,0.058224,0.106037
0.206248,4.117594,0.066825,0.107028
0.209090,4.088526,0.060750,0.105930
0.204015,4.119830,0.061965,0.106037
0.208280,4.085172,0.066825,0.106920
0.209296,4.108650,0.063180,0.105930
0.208280,4.129892,0.063180,0.107028
0.208075,4.131010,0.064395,0.106037
0.207264,4.120948,0.063076,0.107028
0.206045,4.095234,0.068040,0.106037
0.213150,4.063930,0.061965,0.107028
0.206652,4.084054,0.066825,0.106037
0.206045,3.977844,0.076545,0.106037
0.204015,3.958648,0.081472,0.105930
0.205030,3.955484,0.075330,0.105930
0.211120,4.120948,0.057011,0.105930
0.206045,4.099706,0.057011,0.105930
0.206045,4.080700,0.060750,0.106920
0.208075,4.135482,0.054585,0.105930
0.207060,4.124302,0.054585,0.107028
0.208075,4.174612,0.041242,0.107028
0.208075,4.126538,0.047307,0.105930
0.205030,4.154488,0.067928,0.105930
0.209090,4.151134,0.061863,0.105930
0.209090,4.128774,0.060650,0.106920
0.210105,4.153370,0.057011,0.106920
0.206045,4.097470,0.051030,0.106920
0.207060,4.091880,0.059437,0.106920
0.209090,4.160078,0.046094,0.107028
0.206045,4.063930,0.069255,0.107028
0.207060,4.198090,0.050946,0.107028
0.211120,4.099706,0.051030,0.107028
0.211120,4.068402,0.058224,0.107028
0.208075,4.011384,0.071744,0.107028
0.216195,4.086290,0.077760,0.107028
0.212135,4.145544,0.050946,0.107028
0.210105,4.010266,0.065610,0.107028
0.207060,4.006679,0.065610,0.107028
0.213150,4.106414,0.064395,0.107028
0.208075,4.077346,0.059437,0.107028
0.206248,4.112004,0.063076,0.106037
0.209090,4.175730,0.055798,0.107028
0.211120,4.042688,0.054585,0.106920
0.207060,4.191040,0.040029,0.106920
0.206045,4.169022,0.049733,0.106920
0.210105,4.059458,0.069141,0.106920
0.210105,4.222400,0.040029,0.107028
0.211120,4.154488,0.057011,0.106920
0.212135,4.150016,0.052159,0.107028
0.208075,4.151134,0.043668,0.107028
0.208075,4.156724,0.055798,0.107028
0.217210,4.096352,0.060750,0.107028
0.206248,4.069520,0.071685,0.107028
0.209296,4.148898,0.052159,0.106920
0.208075,4.009148,0.074115,0.106920
0.207264,4.020328,0.072900,0.106920
0.211120,4.108650,0.061965,0.107028
0.206045,4.015856,0.070354,0.107028
0.209296,4.079582,0.057011,0.107028
0.212344,4.155606,0.050946,0.107028
0.209296,4.188800,0.055798,0.107028
0.206045,4.147780,0.054585,0.107028
0.206248,4.134364,0.055798,0.107028
0.210312,4.119830,0.065610,0.107028
0.210105,3.971136,0.078975,0.107028
0.206045,4.100824,0.061863,0.107028
0.209090,4.184320,0.044844,0.107028
0.211120,4.239200,0.043632,0.106920
0.207060,4.214560,0.046094,0.106920
0.206248,4.096352,0.070470,0.106920
0.208280,4.188028,0.046094,0.106920
0.209090,4.098588,0.063180,0.106920
0.207060,4.095234,0.058224,0.106920
0.207060,4.082936,0.066825,0.106920
0.206248,4.031508,0.079040,0.106920
0.209296,4.031508,0.064395,0.106920
0.208280,4.104800,0.066825,0.106920
0.209296,4.107040,0.057011,0.106920
0.210312,4.086290,0.064289,0.106920
0.206248,4.086290,0.059437,0.106920
0.209090,4.140640,0.043668,0.106920
0.208075,4.168640,0.055798,0.106920
0.207060,4.168640,0.060650,0.106920
0.207060,4.140640,0.065610,0.106920
0.213150,4.090762,0.065610,0.106920
0.206045,4.037098,0.072900,0.106920
0.209090,4.091880,0.061965,0.106920
0.206248,3.996850,0.077824,0.106920
0.211120,4.076800,0.065610,0.106920
0.211120,4.140640,0.057011,0.106920
0.206248,4.032626,0.066825,0.106920
0.212344,4.149600,0.048520,0.106920
0.209296,4.116000,0.058320,0.106920
0.208280,4.231360,0.049733,0.106920
0.207264,4.182080,0.038784,0.106920
0.208280,4.264960,0.030300,0.106920
0.212344,4.187680,0.043668,0.106920
0.208075,4.208960,0.040029,0.106920
0.205232,4.132128,0.065610,0.106920
0.213150,4.138836,0.054585,0.106920
0.210105,4.146662,0.053372,0.106920
0.204015,3.996850,0.077760,0.106920
0.208075,4.014738,0.074115,0.106920
0.211120,4.145544,0.060650,0.106920
0.209296,4.071756,0.070354,0.106920
0.211120,4.113122,0.053372,0.106920
0.209296,4.150016,0.055798,0.106920
0.207264,4.135482,0.065502,0.106920
0.211120,4.099706,0.055798,0.106920
0.204015,3.973372,0.083904,0.106920
0.208075,4.062812,0.063180,0.106920
0.212135,4.047160,0.058224,0.106920
0.209296,4.116476,0.053372,0.106920
0.208075,4.162314,0.060650,0.106920
0.213150,4.072874,0.055798,0.106920
0.213150,4.195520,0.047307,0.106920
0.213150,4.226880,0.036360,0.106920
0.209090,4.151840,0.061965,0.106920
0.211120,4.142880,0.057011,0.106920
0.212344,4.136600,0.052245,0.106920
0.209090,4.000204,0.074115,0.107028
0.206248,4.191040,0.055798,0.107028
0.210105,4.182080,0.047307,0.106920
0.211120,4.070638,0.060750,0.107028
0.209090,4.050514,0.076545,0.107028
0.206248,4.084054,0.068040,0.106920
0.210312,3.947658,0.077824,0.107028
0.208280,3.947658,0.072900,0.107028
0.208280,4.042688,0.061965,0.107028
0.209296,4.094720,0.058224,0.106920
0.209296,4.163040,0.054585,0.107028
0.214165,4.142880,0.054585,0.107028
0.209090,4.198880,0.044881,0.107028
0.207264,4.072874,0.071685,0.106920
0.207264,4.044924,0.063180,0.106920
0.208280,4.139954,0.069255,0.106920
0.207264,4.088526,0.066825,0.106920
0.207264,4.143308,0.059535,0.106920
0.208280,3.995732,0.077824,0.107028
0.210312,4.163040,0.060750,0.107028
0.211328,4.116476,0.050946,0.107028
0.210105,4.135482,0.059535,0.107028
0.208280,4.114240,0.064395,0.106920
0.205232,4.040452,0.072900,0.106920
0.207264,4.054986,0.071685,0.106920
0.206248,3.969818,0.081472,0.106920
0.209296,4.058340,0.074115,0.106920
0.210105,4.197760,0.048520,0.106920
0.210105,4.112004,0.060750,0.106920
0.210312,3.874988,0.077760,0.106920
0.206248,3.968900,0.068040,0.106920
0.206248,3.981198,0.080190,0.107028
0.206045,4.057222,0.052245,0.106920
0.210105,3.956602,0.083835,0.107028
0.205030,4.098588,0.053372,0.106920
0.210105,4.086290,0.048520,0.106920
0.206045,4.195854,0.054585,0.106920
0.209090,4.183556,0.052159,0.106920
0.209090,4.133246,0.059437,0.106920
0.209296,4.095234,0.066825,0.107028
0.207264,4.063930,0.064395,0.107028
0.210312,4.159680,0.061863,0.106920
0.208280,4.162314,0.059437,0.106920
0.208075,4.079582,0.057105,0.106920
0.208075,4.084054,0.066825,0.107028
0.209090,4.138836,0.057011,0.107028
0.213360,4.014738,0.069255,0.107028
0.208280,3.976726,0.072960,0.107028
0.208280,4.067284,0.066825,0.107028
0.212344,4.243680,0.042455,0.107028
0.214165,4.206720,0.036360,0.107028
0.209296,4.206720,0.035177,0.106920
0.207264,4.146240,0.052159,0.107028
0.208280,4.207840,0.055798,0.106920
0.210312,4.086290,0.068040,0.108019
0.210105,4.114240,0.065502,0.107028
0.210105,4.150720,0.049733,0.106920
0.209296,4.108160,0.049733,0.106920
0.207060,4.131010,0.055798,0.107028
0.208075,4.191040,0.038816,0.107028
0.206045,4.117120,0.058224,0.107028
0.209090,4.220160,0.038816,0.106920
0.209090,4.040452,0.050946,0.106920
0.208075,4.174240,0.065502,0.107028
0.212135,4.175360,0.052159,0.108019
0.214165,4.108160,0.041242,0.107028
0.210105,4.123840,0.067928,0.107028
0.213150,4.166400,0.041242,0.107028
0.211328,4.138400,0.046094,0.108019
0.208075,4.141072,0.053372,0.108019
0.211120,4.095234,0.043668,0.106920
0.207060,4.066166,0.068040,0.107910
0.210105,4.076228,0.060750,0.107028
0.209090,4.163040,0.049733,0.107028
0.209090,4.095234,0.063076,0.107028
0.209090,4.041570,0.065610,0.106920
