A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.164754,1.376970,0.055752,0.091080
0.164754,1.434482,0.089762,0.091080
0.151533,1.992184,0.064236,0.091080
0.157635,2.016560,0.058176,0.092070
0.154584,1.989968,0.064236,0.092070
0.152550,1.825984,0.093324,0.092070
0.152550,1.965592,0.078780,0.092070
0.157635,2.011020,0.056964,0.092070
0.154584,1.989968,0.058176,0.092070
0.154584,1.927920,0.115235,0.093060
0.155601,2.017980,0.055752,0.093060
0.157635,2.020992,0.056964,0.094050
0.157635,1.982212,0.059388,0.094050
0.153567,1.795554,0.103105,0.094050
0.154584,1.977780,0.069084,0.094050
0.159669,2.018776,0.055752,0.094050
0.156618,1.994400,0.063024,0.094050
0.152550,1.917948,0.128578,0.094050
0.157635,2.051280,0.053328,0.094050
0.157480,2.017668,0.058176,0.094050
0.155601,1.979996,0.059339,0.094050
0.151533,1.919056,0.116448,0.095040
0.158652,2.026532,0.056917,0.095040
0.155601,1.988860,0.059388,0.095040
0.153567,1.950080,0.123624,0.095040
0.158652,2.043510,0.053284,0.095040
0.158652,2.019884,0.059388,0.095040
0.155601,1.995508,0.061812,0.095040
0.146448,1.848144,0.120087,0.095040
0.157635,2.029856,0.055798,0.095040
0.157635,2.012128,0.055752,0.095040
0.157635,1.993292,0.058176,0.095040
0.156618,1.907976,0.056964,0.095040
0.151533,2.047584,0.123726,0.095040
0.159669,2.047584,0.053284,0.095040
0.157635,1.983320,0.059388,0.095040
0.155601,1.998832,0.058128,0.095040
0.151533,1.905760,0.134532,0.095040
0.159669,2.043510,0.054495,0.095040
0.157635,2.016560,0.059388,0.095040
0.155601,1.991076,0.060600,0.095040
0.152550,1.923488,0.109080,0.095040
0.156618,2.058664,0.055752,0.095040
0.157635,2.003264,0.056917,0.095040
0.154584,1.986900,0.070296,0.096030
0.153567,1.769476,0.106656,0.095040
0.159669,2.045730,0.053284,0.095040
0.157635,1.999940,0.058176,0.095040
0.154584,2.002156,0.058128,0.096030
0.154584,1.950080,0.124836,0.095040
0.158496,2.044620,0.053284,0.095040
0.157635,2.004660,0.060600,0.096030
0.154584,1.982212,0.077568,0.096030
0.153567,1.757916,0.095748,0.096030
0.159669,2.059050,0.054495,0.096030
0.156618,2.008804,0.059388,0.096030
0.150516,1.934568,0.059388,0.096030
0.159669,2.073068,0.054495,0.096030
0.157480,2.002156,0.060600,0.096030
0.155601,1.986644,0.072780,0.096030
0.154584,1.824876,0.096960,0.096030
0.159669,2.063490,0.053328,0.096030
0.157480,1.995508,0.060600,0.096030
0.157480,1.991076,0.058176,0.096030
0.153567,1.941216,0.126048,0.096030
0.159669,2.052390,0.055706,0.096127
0.158652,1.999940,0.062972,0.096127
0.156618,1.987752,0.084840,0.096127
0.152550,1.940108,0.096880,0.096030
0.160686,2.045368,0.056917,0.096030
0.159669,2.003264,0.058176,0.096030
0.156618,1.864764,0.063024,0.096030
0.150516,1.814904,0.099384,0.096030
0.158496,2.045730,0.054495,0.096030
0.157635,2.004372,0.060600,0.096030
0.155601,1.970024,0.069084,0.096030
0.152550,1.770093,0.100596,0.095040
0.156618,2.048692,0.100596,0.095040
0.159669,2.007696,0.055706,0.096030
0.156618,1.979996,0.061812,0.095040
0.151533,1.979996,0.059388,0.095040
0.158496,1.951188,0.124836,0.095040
0.158652,2.028748,0.054495,0.095040
0.156618,2.002156,0.059388,0.095040
0.148482,1.993292,0.082416,0.095040
0.157635,1.930136,0.105444,0.095040
0.157635,2.027640,0.054540,0.095040
0.156464,2.008804,0.059388,0.095040
0.149499,1.955620,0.087264,0.095040
0.158652,1.955620,0.100596,0.095040
0.156618,2.025424,0.056917,0.095040
0.150516,1.954512,0.059388,0.095040
0.159669,2.011020,0.069027,0.095040
0.155601,2.048692,0.055706,0.095040
0.156618,1.991076,0.063024,0.095040
0.149499,1.813796,0.089762,0.095040
0.149499,1.998000,0.078715,0.095040
0.159669,2.023530,0.055706,0.095040
0.158652,1.982212,0.063024,0.095040
0.156618,1.895788,0.106744,0.095040
0.152550,2.037612,0.056917,0.095040
0.159669,2.036504,0.055706,0.095040
0.157635,1.984428,0.059388,0.095040
0.155601,1.894680,0.112716,0.095040
0.154584,2.054232,0.058128,0.095040
0.159669,1.912408,0.059339,0.095040
0.156618,1.988860,0.056964,0.095040
0.157635,1.762828,0.098172,0.094050
0.152550,2.029080,0.069027,0.094050
0.160528,2.019884,0.055706,0.095040
