A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.041738,1.414574,0.060650,0.092070
0.134112,2.648784,0.093401,0.092163
0.160528,3.591288,0.070296,0.093154
0.158496,3.244650,0.124939,0.093060
0.158496,3.510936,0.076356,0.094145
0.172720,3.084123,0.093401,0.094145
0.158496,3.546648,0.086052,0.095040
0.176784,3.036145,0.070296,0.095136
0.139192,3.519864,0.116448,0.095136
0.191835,3.281445,0.072780,0.095136
0.124074,3.560040,0.128472,0.095136
0.182880,3.322700,0.076356,0.096127
0.128142,3.503124,0.132108,0.096127
0.191008,3.465180,0.069141,0.097118
0.132210,3.377016,0.132217,0.097118
0.185928,3.532140,0.070296,0.097118
0.145288,3.324564,0.115235,0.097118
0.154432,3.324564,0.073932,0.097020
0.171704,3.423888,0.141804,0.097118
0.136144,3.234615,0.065448,0.097020
0.170688,3.570084,0.122513,0.097118
0.141224,3.126460,0.060600,0.097020
0.163576,3.354696,0.095748,0.097020
0.178816,3.558924,0.073993,0.098109
0.158496,3.220120,0.117564,0.098109
0.178816,3.565620,0.075144,0.098010
0.149352,3.220120,0.129684,0.098010
0.187960,3.642537,0.076356,0.098109
0.117972,3.346884,0.112809,0.098010
0.180670,3.435048,0.070296,0.098109
0.124074,3.687217,0.132217,0.098010
0.166624,3.350232,0.064236,0.098010
0.165608,3.479688,0.118874,0.098010
0.152400,3.129805,0.066660,0.098010
0.173736,3.486384,0.112809,0.098010
0.151384,3.228588,0.088476,0.099100
0.179832,3.730780,0.088476,0.099000
0.179832,3.051755,0.073993,0.099100
0.176784,3.743067,0.129684,0.099000
0.192850,3.297780,0.073932,0.099000
0.167640,3.539952,0.115235,0.099000
0.180848,3.380364,0.067872,0.099000
0.129032,3.491964,0.133320,0.099000
0.177800,3.697270,0.075144,0.099000
0.124074,3.330505,0.138168,0.099000
0.189805,3.658248,0.070296,0.099000
0.133227,3.321585,0.118874,0.099000
0.169505,3.571200,0.066660,0.099000
0.166624,3.224580,0.106744,0.099000
0.142240,3.679398,0.093324,0.099000
0.173736,3.251340,0.073932,0.099100
0.160528,3.686100,0.127260,0.099100
0.187960,3.247560,0.070296,0.099000
0.165608,3.568968,0.132108,0.099100
0.182880,3.652590,0.075144,0.099100
0.121920,3.390715,0.124939,0.099000
0.198940,3.549996,0.070296,0.099100
0.187775,3.430584,0.064236,0.099100
0.167640,3.345000,0.087264,0.099100
0.136144,3.577751,0.100596,0.099000
0.177800,3.253570,0.069084,0.099000
0.170688,3.435315,0.119988,0.099100
