A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.043860,1.248650,0.064395,0.094050
0.042840,1.152515,0.054585,0.094050
0.044880,1.153620,0.053372,0.094050
0.043860,1.201135,0.057011,0.094050
0.042756,1.487570,0.055798,0.095040
0.126108,1.931244,0.084840,0.095040
0.167805,0.576346,0.043596,0.095040
0.159669,0.911625,0.047268,0.095040
0.162720,1.675998,0.058176,0.095040
0.163737,0.495900,0.046018,0.096030
0.157635,0.528337,0.072660,0.095040
0.154584,1.838172,0.106656,0.095040
0.167805,0.535572,0.043596,0.096030
0.161703,0.966875,0.052073,0.095040
0.164754,1.619541,0.058176,0.095040
0.163737,0.495900,0.047229,0.096030
0.155601,0.633650,0.063024,0.095040
0.157635,1.891356,0.103020,0.095040
0.166788,0.511328,0.042385,0.096030
0.159669,1.003340,0.053284,0.095040
0.162720,1.620648,0.056964,0.095040
0.164754,0.495900,0.047229,0.096030
0.156618,0.591774,0.071508,0.095040
0.157635,1.876952,0.106744,0.095040
0.167805,0.525654,0.043596,0.096030
0.158652,0.977925,0.050862,0.096030
0.163737,1.648323,0.058176,0.096030
0.162720,0.497002,0.067872,0.096030
0.154584,0.528960,0.096960,0.095040
0.157635,1.850360,0.096960,0.096030
0.166788,0.553204,0.043596,0.096030
0.156618,0.922108,0.047268,0.096030
0.163737,1.677105,0.058176,0.096824
0.163737,0.498104,0.046018,0.096030
0.153567,0.621528,0.054495,0.095040
0.159669,1.861440,0.119988,0.096030
0.167805,0.584060,0.043596,0.096030
0.156618,0.885709,0.049651,0.096030
0.162560,1.770093,0.058176,0.096030
0.162720,0.498104,0.047229,0.096030
0.154584,0.512430,0.046018,0.096030
0.158652,1.809945,0.112809,0.096030
0.167805,0.658491,0.044807,0.096030
0.156618,0.801881,0.050862,0.096030
0.164754,1.827657,0.059388,0.096030
0.163737,0.498104,0.046018,0.097020
0.155601,0.494798,0.046018,0.096030
0.159669,1.662000,0.104318,0.096030
0.168822,0.763276,0.044807,0.097020
0.156618,0.703714,0.050862,0.096030
0.164754,1.913516,0.059388,0.096030
0.163737,0.499206,0.047229,0.097020
0.154584,0.494798,0.047229,0.096030
0.157635,1.553121,0.106744,0.096030
0.169839,0.876885,0.046018,0.097020
0.157635,0.611610,0.047229,0.096030
0.164754,2.065312,0.060600,0.096030
0.163737,0.501410,0.047229,0.097020
0.157635,0.494798,0.047229,0.096030
0.156618,1.548400,0.128472,0.096030
0.168822,1.047540,0.047229,0.097020
0.168822,0.494798,0.042385,0.097020
0.162560,0.555408,0.048440,0.097020
0.162720,0.494798,0.047229,0.097020
0.156464,1.214388,0.110565,0.096030
0.155448,1.212185,0.048440,0.097020
0.168822,0.497002,0.042385,0.097020
0.158652,1.855900,0.061812,0.097020
0.163576,0.795263,0.050862,0.097020
0.162720,0.494798,0.046018,0.097020
0.160686,1.072955,0.106656,0.096030
0.150516,1.536234,0.049651,0.097020
0.168822,1.536234,0.042385,0.097020
0.161703,0.495900,0.054540,0.097020
0.162720,1.584117,0.054540,0.097020
0.165771,1.145885,0.047229,0.097020
0.163737,0.498104,0.047229,0.097020
0.149499,0.699302,0.084840,0.097020
0.168822,1.834299,0.061761,0.097020
0.166788,0.498104,0.041174,0.097020
0.157635,1.244250,0.054495,0.097020
0.164754,1.430058,0.056917,0.097020
0.163737,0.498104,0.046018,0.097020
0.148482,0.541573,0.065448,0.097020
0.167805,1.891356,0.103020,0.097020
0.169839,0.502512,0.043596,0.097020
0.154584,0.904460,0.046018,0.097020
0.165771,1.772307,0.058176,0.097020
0.162720,0.499206,0.046018,0.097020
0.150516,0.493696,0.046018,0.097020
0.166624,1.773414,0.106656,0.097020
0.168822,0.871370,0.044807,0.097020
0.155601,0.562020,0.041174,0.097020
0.155601,2.094570,0.065448,0.097020
0.164754,0.525654,0.047229,0.097020
0.164754,0.493696,0.046018,0.097020
0.151533,1.209964,0.131004,0.096030
0.166788,0.493696,0.041174,0.096030
0.157635,1.827092,0.056964,0.096030
0.164754,0.851516,0.050862,0.097020
0.162720,0.494798,0.046018,0.096030
0.153567,0.932035,0.111504,0.095040
0.158496,1.640574,0.050862,0.096030
0.167805,0.493696,0.041174,0.096030
0.157635,1.432458,0.053328,0.095040
0.164754,1.251965,0.053328,0.096030
0.162720,0.493696,0.046018,0.096030
0.158652,0.702611,0.076356,0.095040
0.151384,1.853684,0.078780,0.095040
0.167640,0.495900,0.042385,0.095040
0.159669,1.027650,0.048440,0.095040
0.162560,1.662714,0.058176,0.095040
0.162720,0.493696,0.046018,0.095040
0.163737,0.543286,0.046018,0.095040
0.147465,1.817120,0.117661,0.095136
0.167640,0.761070,0.046018,0.095040
0.167805,0.605547,0.041174,0.095040
0.154432,2.058198,0.061812,0.095040
0.163737,2.071260,0.047229,0.095040
0.162720,0.497002,0.046018,0.095040
0.146448,0.490390,0.110292,0.094050
0.165771,1.201116,0.048440,0.095040
0.167805,1.261910,0.041174,0.095040
