A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.049882,1.351415,0.007266,0.094050
0.050900,1.067704,0.035148,0.094050
0.102818,0.840486,0.033936,0.094050
0.121023,0.486642,0.030300,0.093060
0.123057,0.483339,0.031512,0.092070
0.122040,0.482238,0.031512,0.092070
0.124074,0.481574,0.031512,0.092070
0.121023,0.481137,0.029088,0.092070
0.123057,0.478935,0.031512,0.092070
0.122040,0.478268,0.030300,0.091080
0.123057,0.477834,0.031512,0.092070
0.124196,0.477834,0.029088,0.091080
0.112998,0.480036,0.063076,0.091172
0.102818,0.480036,0.065502,0.091172
0.098746,0.480036,0.070354,0.091080
0.098746,0.480472,0.070354,0.091080
0.100782,0.481574,0.069141,0.091080
0.100782,0.480036,0.071567,0.090090
0.100782,0.480036,0.070354,0.091080
0.099764,0.478935,0.070354,0.090090
0.097728,0.480036,0.070354,0.090090
0.097728,0.480472,0.067928,0.090090
0.099764,0.480036,0.071567,0.090090
0.097728,0.480472,0.070354,0.090090
0.098746,0.478935,0.070354,0.090181
0.097728,0.477834,0.069141,0.090090
0.099764,0.478935,0.070354,0.090090
0.098746,0.478935,0.070354,0.090090
0.099764,0.478935,0.070354,0.090090
0.098746,0.480036,0.071567,0.090090
0.099764,0.478268,0.071567,0.090090
0.097728,0.479370,0.070354,0.090090
0.098746,0.479370,0.070354,0.090090
0.099764,0.479370,0.071567,0.090090
0.099764,0.479370,0.070354,0.090090
0.099764,0.479370,0.071567,0.090090
0.100782,0.480472,0.071567,0.090090
0.100782,0.478268,0.070354,0.090090
0.099764,0.479370,0.071567,0.090181
0.099764,0.479370,0.069141,0.090181
0.099764,0.479370,0.070354,0.090090
0.099764,0.478935,0.071567,0.090090
0.100782,0.478935,0.070354,0.090090
0.099764,0.477834,0.071567,0.090090
0.098746,0.478268,0.070354,0.090090
0.099764,0.478935,0.071567,0.090090
0.100782,0.478268,0.071567,0.090090
0.100782,0.477834,0.071567,0.090090
0.100782,0.478268,0.071567,0.090090
0.100782,0.478268,0.070354,0.090090
0.100782,0.478268,0.071567,0.090090
