A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.112998,2.710155,0.069255,0.120780
0.095692,2.070150,0.060650,0.120780
0.118989,2.347543,0.069312,0.118800
0.127125,3.655941,0.068096,0.118800
0.130176,3.720704,0.069312,0.118800
0.132210,3.744182,0.069312,0.119790
0.149499,3.323448,0.190441,0.120780
0.163737,3.281040,0.260795,0.120780
0.178992,3.285504,0.253308,0.120780
0.176610,3.304476,0.297906,0.120780
0.154584,3.297780,0.248460,0.120780
0.155601,3.334608,0.287244,0.120780
0.155601,3.399031,0.331540,0.121770
0.155601,3.415786,0.331540,0.121770
0.151533,3.395680,0.336658,0.122760
0.154584,3.397914,0.329392,0.121770
0.153567,3.387861,0.331814,0.122760
0.153567,3.401265,0.337590,0.122760
0.163737,3.399031,0.331814,0.122760
0.181864,3.377808,0.344850,0.122760
0.177800,3.402382,0.343924,0.122760
0.154584,3.400148,0.333960,0.122760
0.145431,3.395680,0.324548,0.123750
0.141363,3.412435,0.331814,0.122760
0.154584,3.402382,0.326700,0.123875
0.149499,3.403499,0.333960,0.123875
0.154584,3.393446,0.333960,0.122760
0.141363,3.404616,0.333025,0.123750
0.155601,3.392329,0.339080,0.123875
0.172890,3.378925,0.334236,0.123750
0.191008,3.371106,0.343640,0.123750
0.185928,3.391212,0.342430,0.123875
0.155601,3.402382,0.330330,0.123875
0.154584,3.405733,0.328181,0.123875
0.154584,3.405733,0.335447,0.124866
0.151533,3.406850,0.331540,0.124866
0.153567,3.396797,0.328181,0.124866
0.152550,3.404616,0.326700,0.123875
0.155601,3.402382,0.336380,0.124866
0.149499,3.393446,0.329392,0.124866
0.164754,3.406850,0.329120,0.123750
0.187960,3.390095,0.341220,0.124740
0.191008,3.391212,0.349690,0.124866
0.153567,3.392329,0.331814,0.124866
0.145431,3.418020,0.325490,0.124866
0.154584,3.415786,0.328181,0.124866
0.154584,3.407967,0.328181,0.124866
0.152550,3.402382,0.337869,0.124866
0.153567,3.411318,0.329120,0.124866
0.153567,3.395680,0.327910,0.124866
0.155601,3.403499,0.327910,0.124866
0.164592,3.395680,0.321860,0.124866
0.191008,3.393446,0.348480,0.124866
0.182700,3.388978,0.344850,0.124866
0.154584,3.409084,0.336658,0.124866
0.155601,3.400148,0.333025,0.124866
0.156618,3.400148,0.329120,0.124866
0.154584,3.413552,0.330330,0.124866
0.150516,3.400148,0.331814,0.124866
0.154584,3.405733,0.324548,0.124866
0.157635,3.415786,0.337590,0.124866
0.159669,3.407967,0.334236,0.124866
0.163737,3.407967,0.328181,0.124866
0.186944,3.368872,0.339080,0.124866
0.183060,3.402382,0.325759,0.124866
0.153567,3.396797,0.331540,0.124866
0.154584,3.403499,0.333025,0.124866
0.152550,3.410201,0.331814,0.124866
0.153567,3.405733,0.326700,0.124866
0.157635,3.402382,0.326700,0.124866
0.157635,3.409084,0.333025,0.125857
0.157635,3.416903,0.330330,0.124866
0.152550,3.414669,0.325490,0.124866
0.164754,3.393446,0.337590,0.124866
0.194056,3.381159,0.344850,0.124866
0.189992,3.390095,0.350900,0.124866
0.159669,3.402382,0.334236,0.124866
0.150516,3.397914,0.327910,0.124866
0.159669,3.393446,0.333025,0.124866
0.148482,3.393446,0.323337,0.124866
0.152550,3.383712,0.329120,0.124866
0.153567,3.396797,0.333960,0.124866
0.156618,3.402382,0.330603,0.124866
0.155601,3.393446,0.325759,0.124866
0.161703,3.393446,0.335170,0.124740
0.191008,3.381159,0.351190,0.124866
