A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.091620,2.079030,0.061863,0.111870
0.090602,2.073480,0.061863,0.110880
0.096710,1.330518,0.065610,0.110880
0.164754,2.456421,0.065610,0.110880
0.124196,2.381984,0.049733,0.110880
0.123178,2.343099,0.048520,0.110880
0.123178,2.387539,0.050946,0.110880
0.124196,2.397538,0.052159,0.110880
0.121142,2.445288,0.165376,0.110880
0.118088,2.467528,0.226548,0.110880
0.118088,2.481974,0.224112,0.110992
0.117070,2.465309,0.226176,0.110880
0.118088,2.468640,0.233020,0.110880
0.167805,2.487544,0.254980,0.111870
0.118088,2.477536,0.241560,0.111870
0.118088,2.463080,0.232638,0.111870
0.119106,2.493104,0.246036,0.111870
0.118088,2.486432,0.230580,0.112860
0.119106,2.484208,0.235074,0.111870
0.117972,2.508672,0.237900,0.112860
0.118088,2.475312,0.235074,0.112860
0.118088,2.495328,0.238728,0.112860
0.119106,2.469753,0.234240,0.112974
0.131322,2.584288,0.244818,0.112860
0.169839,2.497552,0.256200,0.112860
0.124196,2.502000,0.241164,0.112860
0.118088,2.498664,0.232638,0.112860
0.118088,2.477536,0.240340,0.112860
0.120124,2.487544,0.233856,0.112860
0.117070,2.493104,0.240340,0.112860
0.119106,2.485320,0.232638,0.113965
0.118088,2.488656,0.230202,0.113965
0.118088,2.489751,0.243600,0.113850
0.119106,2.485307,0.228984,0.112860
0.119106,2.597632,0.247660,0.113850
0.130304,2.499750,0.254980,0.113850
0.168822,2.510860,0.254980,0.113965
0.126232,2.510860,0.236680,0.113965
0.119106,2.502000,0.241164,0.113850
0.119106,2.475308,0.231420,0.113850
0.119106,2.493084,0.241164,0.114956
0.119106,2.476419,0.231800,0.113850
0.118989,2.479752,0.236292,0.113965
0.118989,2.494195,0.236680,0.113850
0.118088,2.480863,0.236292,0.114956
0.119106,2.491973,0.233856,0.113850
0.133358,2.573168,0.241164,0.113850
0.124196,2.519748,0.242780,0.114840
0.120124,2.490862,0.235074,0.114840
0.119106,2.483085,0.230202,0.114840
0.120124,2.496417,0.243600,0.113850
0.119106,2.479752,0.230202,0.113850
0.124196,2.498639,0.244818,0.114840
0.119106,2.479752,0.230202,0.114840
0.120124,2.480863,0.233856,0.114840
0.119106,2.497528,0.239946,0.114840
0.128142,2.508672,0.235074,0.114840
0.169839,2.586512,0.259860,0.114840
0.129159,2.505336,0.241560,0.114840
0.119106,2.490862,0.236292,0.114840
0.120124,2.493104,0.236680,0.114956
0.119106,2.487529,0.236292,0.113850
0.119106,2.480863,0.231420,0.114840
0.120124,2.502000,0.241164,0.114840
0.119106,2.480872,0.231420,0.114840
0.119106,2.500888,0.241164,0.113850
0.120006,2.478641,0.231420,0.113850
0.121023,2.477530,0.230202,0.113850
0.126108,2.607640,0.258640,0.113850
0.169672,2.498639,0.239120,0.113850
0.126108,2.501972,0.242382,0.113850
0.120124,2.479752,0.230202,0.114840
0.117972,2.486418,0.235074,0.113850
0.120124,2.489751,0.237510,0.113850
0.119106,2.491973,0.235074,0.113850
0.120124,2.486432,0.237510,0.113850
0.118088,2.488640,0.235460,0.113850
0.119106,2.483085,0.235074,0.113850
0.119106,2.496417,0.236680,0.113850
0.123057,2.596520,0.248880,0.113850
0.169839,2.497528,0.247660,0.113850
0.119106,2.498639,0.241560,0.113850
0.118989,2.474197,0.232638,0.113850
0.119106,2.499750,0.240340,0.113850
0.118088,2.474197,0.232638,0.113850
0.119106,2.481974,0.230202,0.113850
0.118088,2.487529,0.243600,0.113850
0.119106,2.484196,0.230202,0.113850
0.118088,2.487529,0.242382,0.113850
0.124074,2.485320,0.230580,0.113850
0.168822,2.606528,0.248880,0.113850
0.131193,2.514232,0.258640,0.113850
0.118088,2.490862,0.231420,0.113850
0.119106,2.478641,0.241164,0.113850
0.118088,2.502000,0.231800,0.113850
0.119106,2.478648,0.236292,0.113965
0.118088,2.496417,0.236680,0.113850
0.120124,2.475308,0.236292,0.113965
0.120124,2.483096,0.232638,0.113965
0.120124,2.499750,0.239946,0.113850
0.119106,2.477530,0.232638,0.113850
0.124196,2.606528,0.246440,0.113850
0.166788,2.498664,0.252540,0.113965
0.136278,2.495328,0.231800,0.113965
0.120124,2.493104,0.242382,0.113965
0.119106,2.485320,0.230202,0.113965
0.120124,2.483085,0.243600,0.113850
0.118088,2.489751,0.230580,0.113850
0.120124,2.485320,0.231420,0.112860
0.117972,2.491992,0.240340,0.113850
0.120124,2.483096,0.232638,0.113850
0.119106,2.481984,0.241164,0.112860
0.124196,2.606528,0.244000,0.112860
0.167805,2.497552,0.256200,0.113850
0.135261,2.503112,0.241560,0.113850
0.118989,2.483096,0.236292,0.113850
0.122160,2.495328,0.234240,0.113850
0.119106,2.497552,0.239120,0.113850
0.119106,2.475312,0.235074,0.112860
0.119106,2.471975,0.237510,0.112860
0.119106,2.487529,0.235460,0.112974
0.118088,2.477530,0.236292,0.112860
0.122160,2.588736,0.237900,0.112860
0.164754,2.478648,0.261080,0.112860
0.137295,2.512008,0.236680,0.112860
0.118088,2.512008,0.239946,0.112860
0.120124,2.480872,0.233020,0.112860
0.118088,2.485320,0.240340,0.112860
0.119106,2.480872,0.240340,0.112860
0.118088,2.487544,0.233856,0.112860
0.118088,2.477536,0.230202,0.112860
0.119106,2.486432,0.242780,0.112860
0.119106,2.476424,0.228984,0.112860
0.118088,2.467528,0.243600,0.112860
0.123178,2.572056,0.230580,0.112860
0.162720,2.503112,0.251320,0.112860
0.136278,2.524240,0.246440,0.112860
0.118088,2.471975,0.231800,0.112860
0.118088,2.471975,0.241164,0.112860
0.119106,2.485307,0.231800,0.112860
0.117972,2.480872,0.236292,0.112860
0.119106,2.486432,0.237900,0.112860
0.118088,2.477536,0.236292,0.112860
0.120124,2.587624,0.234240,0.112860
0.119106,2.483096,0.239120,0.112860
0.122160,2.506448,0.235074,0.112860
0.163737,2.556488,0.259860,0.112860
0.139466,2.526464,0.248880,0.112860
0.118088,2.477536,0.230202,0.112860
0.119106,2.493104,0.242780,0.112860
0.119106,2.467531,0.242382,0.112860
0.119106,2.487529,0.230202,0.112860
0.119106,2.468640,0.231420,0.112860
0.118088,2.487529,0.242780,0.112974
0.119106,2.467531,0.230202,0.112974
0.124196,2.481974,0.242382,0.112860
0.159669,2.590960,0.252540,0.112860
0.141502,2.508672,0.247660,0.112860
0.119106,2.480863,0.239120,0.112860
0.118088,2.477530,0.233856,0.112860
0.118088,2.484196,0.238728,0.112860
0.119106,2.479752,0.233020,0.112974
0.118088,2.477530,0.235074,0.112860
0.118088,2.467531,0.236680,0.112860
0.120124,2.493084,0.236292,0.112860
0.119106,2.467531,0.231420,0.112860
0.119106,2.490862,0.239946,0.112860
0.122160,2.569832,0.246440,0.112860
0.164754,2.495328,0.251320,0.112860
0.143397,2.494216,0.235074,0.113850
0.118088,2.494216,0.236680,0.113965
0.118989,2.475312,0.236292,0.112860
0.117972,2.493104,0.232638,0.112860
0.119106,2.470864,0.239946,0.112860
0.118088,2.493084,0.240340,0.113850
0.119106,2.468640,0.232638,0.113965
0.118088,2.475312,0.241560,0.113965
0.119106,2.488656,0.232638,0.113850
0.123178,2.479760,0.230202,0.113850
0.154584,2.578728,0.258640,0.113850
0.146448,2.497528,0.250100,0.113850
0.119106,2.488656,0.243600,0.113850
0.119106,2.481984,0.230580,0.113850
0.118088,2.481974,0.233856,0.113850
0.118088,2.477530,0.230202,0.113850
0.120124,2.485307,0.243600,0.113850
0.119106,2.479752,0.230202,0.113850
0.119106,2.476419,0.243600,0.113850
0.118088,2.485320,0.230580,0.113850
0.157635,2.583176,0.237900,0.113850
0.149499,2.506448,0.259860,0.113850
0.119106,2.496440,0.233020,0.113850
0.119106,2.474200,0.242382,0.113850
0.120006,2.493084,0.231800,0.113850
0.118989,2.471975,0.236292,0.113850
0.118989,2.469753,0.236680,0.113850
0.118989,2.493104,0.236292,0.113850
0.120124,2.471975,0.235074,0.113850
0.120124,2.493084,0.237900,0.113850
0.120124,2.470864,0.235074,0.113850
0.120124,2.622096,0.242780,0.114840
0.165771,2.489751,0.260652,0.114840
0.151533,2.506416,0.238728,0.114840
0.119106,2.486418,0.239946,0.113850
0.120006,2.484208,0.231420,0.114840
0.119106,2.479752,0.240340,0.114840
0.120124,2.483085,0.231420,0.114956
0.119106,2.484196,0.230202,0.114956
0.120124,2.469752,0.243600,0.114956
0.119106,2.490862,0.230580,0.113965
0.120124,2.471975,0.243600,0.113965
0.118088,2.584288,0.235460,0.113965
0.156618,2.479760,0.253760,0.113850
0.151533,2.513120,0.245220,0.114840
0.120124,2.491992,0.233856,0.113965
0.119106,2.491992,0.239946,0.113965
