A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.197104,2.695686,0.069141,0.119911
0.192090,2.661016,0.074115,0.118920
0.206230,1.598844,0.072900,0.117810
0.245016,2.951405,0.052159,0.117929
0.247008,2.921625,0.049733,0.116938
0.248253,2.920512,0.048520,0.116938
0.248502,2.999350,0.042455,0.115947
0.242928,3.004925,0.172246,0.115947
0.241570,3.173904,0.325084,0.116938
0.240555,3.223008,0.328452,0.116938
0.239844,3.202920,0.340572,0.117929
0.242585,3.217428,0.370872,0.117929
0.257484,3.176136,0.328181,0.117929
0.258960,3.208970,0.351480,0.117929
0.251750,3.269880,0.361176,0.118920
0.243600,3.265416,0.359964,0.118920
0.245630,3.269880,0.357245,0.118920
0.244615,3.277692,0.358456,0.118920
0.244615,3.281040,0.360878,0.118920
0.243892,3.277692,0.364812,0.119911
0.245630,3.273228,0.366024,0.119911
0.244615,3.268764,0.366024,0.119911
0.245630,3.268764,0.369660,0.120902
0.259259,3.272112,0.365722,0.120902
0.259956,3.214545,0.345135,0.120902
0.251502,3.277692,0.351190,0.120902
0.244615,3.274344,0.365722,0.120902
0.245630,3.264300,0.364812,0.120902
0.243892,3.272112,0.363600,0.120902
0.245630,3.282156,0.361176,0.120902
0.245146,3.284388,0.359964,0.120902
0.245630,3.286620,0.361176,0.120902
0.244615,3.286620,0.363600,0.120902
0.246645,3.279924,0.366024,0.120902
0.260780,3.247995,0.366024,0.120902
0.260952,3.227925,0.370566,0.120902
0.254762,3.227925,0.357245,0.120902
0.245630,3.274344,0.361176,0.120902
0.244615,3.275460,0.362388,0.120902
0.245630,3.277692,0.366024,0.120902
0.245630,3.270996,0.364812,0.121893
0.245630,3.282156,0.362388,0.120902
0.245630,3.283272,0.359964,0.120902
0.245630,3.288852,0.359667,0.120902
0.246645,3.284388,0.364812,0.120902
0.259259,3.237516,0.364511,0.120902
0.268920,3.266532,0.356328,0.121893
0.253506,3.237516,0.361176,0.120902
0.245630,3.278808,0.364812,0.121893
