A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.134376,2.606528,0.064395,0.115947
0.094674,1.844820,0.052159,0.113965
0.154584,2.537584,0.060750,0.113965
0.149499,3.664877,0.057105,0.113965
0.171873,3.496428,0.080256,0.113965
0.206248,3.705089,0.160380,0.114956
0.173907,3.304476,0.206550,0.115947
0.172890,3.238632,0.206210,0.114956
0.170856,3.219005,0.162542,0.115947
0.169839,3.221892,0.192867,0.115947
0.174924,3.238632,0.197719,0.115947
0.170856,3.231936,0.218340,0.115947
0.177975,3.239748,0.175885,0.115947
0.176958,3.239748,0.219553,0.115947
0.175941,3.236400,0.212275,0.115947
0.197298,3.241305,0.184376,0.115947
0.225552,3.249792,0.237748,0.116938
0.200152,3.255372,0.251505,0.116938
0.177975,3.279924,0.209849,0.116938
0.180009,3.267648,0.215914,0.116938
0.181026,3.269880,0.202571,0.117929
0.181026,3.275460,0.215914,0.117929
0.181026,3.268764,0.240174,0.116938
0.180009,3.262068,0.206040,0.116938
0.176958,3.282156,0.203784,0.116938
0.183060,3.269880,0.220766,0.117929
0.180009,3.296664,0.203616,0.116938
0.200152,3.254256,0.223192,0.117929
0.224536,3.239075,0.240174,0.117929
0.198315,3.272112,0.208636,0.117929
0.178992,3.275460,0.215914,0.117929
0.180009,3.265416,0.213488,0.117929
0.180009,3.270996,0.214701,0.117929
0.182043,3.288852,0.209676,0.117929
0.180009,3.269880,0.218340,0.117929
0.177975,3.268764,0.206210,0.117810
0.178992,3.274344,0.210888,0.117929
0.200152,3.249792,0.217127,0.117929
0.221488,3.265416,0.226831,0.117929
0.200349,3.259836,0.218340,0.117929
0.178992,3.278808,0.213488,0.117929
0.180009,3.277692,0.217127,0.117929
0.177975,3.276576,0.211062,0.117929
0.180009,3.265416,0.209849,0.117929
0.178992,3.281040,0.204997,0.117929
0.180009,3.281040,0.220766,0.117929
0.178992,3.270996,0.202571,0.117929
0.181026,3.270996,0.211062,0.117929
0.196281,3.277692,0.226831,0.117929
0.223520,3.255372,0.223192,0.117929
0.201366,3.263184,0.228044,0.117929
0.180009,3.277692,0.217127,0.117929
0.180009,3.268764,0.201358,0.117929
0.180009,3.273228,0.201358,0.117929
0.180009,3.270996,0.217127,0.117929
