A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.093656,2.022420,0.059437,0.111870
0.082458,1.493343,0.048480,0.110880
0.105872,2.175600,0.046094,0.110880
0.137295,2.271995,0.066715,0.110880
0.178992,2.180893,0.046056,0.110880
0.124196,2.167830,0.042420,0.109890
0.125214,2.166720,0.042420,0.109890
0.126232,2.165610,0.042420,0.109890
0.124196,2.165610,0.041208,0.108900
0.126232,2.164500,0.044844,0.108900
0.127250,2.163390,0.044844,0.108900
0.127250,2.270884,0.042420,0.108900
0.119106,2.475308,0.072720,0.108900
0.117070,2.475308,0.239946,0.109010
0.123178,2.468640,0.219240,0.110001
0.167805,2.546480,0.232638,0.109890
0.128268,2.514232,0.259221,0.109890
0.118088,2.459744,0.232638,0.110880
0.118088,2.469752,0.226548,0.110880
0.117070,2.455296,0.239946,0.110880
0.118088,2.474200,0.237900,0.110880
0.118088,2.466416,0.233856,0.110880
0.119106,2.488656,0.242382,0.110880
0.118088,2.486432,0.231800,0.110880
0.118088,2.486432,0.236292,0.110880
0.127250,2.497552,0.236680,0.110880
0.168822,2.568720,0.249690,0.111870
0.129286,2.516456,0.249690,0.111870
0.119106,2.481984,0.238728,0.111870
0.118088,2.476424,0.233856,0.112860
0.119106,2.494216,0.238728,0.112860
0.118088,2.473088,0.235074,0.112860
0.118088,2.481984,0.243600,0.112860
0.122040,2.490880,0.231420,0.112860
0.118088,2.486432,0.243600,0.112974
0.119106,2.490880,0.230202,0.112974
0.123178,2.587624,0.246440,0.112860
0.169839,2.518680,0.258640,0.112860
0.133358,2.496440,0.231420,0.112860
0.118088,2.495328,0.242382,0.113850
0.119106,2.493104,0.231800,0.112860
0.118088,2.477536,0.236292,0.112860
0.119106,2.502000,0.237900,0.112860
0.118088,2.477536,0.236292,0.113850
0.120124,2.502000,0.233856,0.113965
0.118088,2.477536,0.239946,0.113965
0.119106,2.487544,0.233856,0.112860
0.123178,2.602080,0.246036,0.113850
0.169839,2.516456,0.254562,0.113850
0.133227,2.500888,0.230202,0.113850
0.120124,2.488656,0.243600,0.113850
0.118088,2.498664,0.230202,0.113850
0.120124,2.491992,0.243600,0.113850
0.119106,2.493104,0.230202,0.113850
0.120124,2.484208,0.233856,0.113965
0.119106,2.505336,0.240340,0.113850
0.120124,2.481984,0.235460,0.113850
0.119106,2.505336,0.235074,0.113850
0.124196,2.505336,0.238728,0.114840
0.164754,2.594296,0.241560,0.113850
0.136412,2.490880,0.256998,0.114840
0.119106,2.540920,0.242382,0.114840
0.119106,2.491992,0.237510,0.114840
0.120124,2.498664,0.231420,0.114840
0.119106,2.487544,0.241164,0.114840
0.119106,2.494216,0.232638,0.114840
0.120124,2.498664,0.232638,0.114840
0.119106,2.480872,0.230202,0.114840
0.120124,2.505336,0.242780,0.114840
0.121142,2.582064,0.241164,0.114840
0.169839,2.514232,0.261870,0.114840
0.136412,2.517568,0.237510,0.114956
0.121142,2.485320,0.233856,0.114956
0.118088,2.504224,0.239946,0.114840
0.119106,2.487529,0.233856,0.114840
0.119106,2.500888,0.239946,0.114840
0.119106,2.484196,0.233856,0.114840
0.118088,2.498664,0.236292,0.114840
0.118989,2.494216,0.236680,0.114956
0.118989,2.494216,0.236292,0.114956
0.124074,2.569832,0.236292,0.114956
0.163737,2.518680,0.261080,0.114956
0.137295,2.517568,0.236292,0.114956
0.119106,2.502000,0.239946,0.114840
0.117972,2.487544,0.232638,0.114840
0.119106,2.488656,0.230202,0.114840
0.118088,2.498639,0.242382,0.114840
0.119106,2.478641,0.230202,0.114840
0.118088,2.499750,0.243600,0.114840
0.120124,2.484196,0.230202,0.114840
0.118088,2.485307,0.235074,0.113850
0.123178,2.514232,0.237510,0.113850
0.161703,2.579840,0.254562,0.113850
0.141363,2.526464,0.249690,0.114840
0.118088,2.495328,0.233856,0.114956
0.121142,2.487544,0.236292,0.114956
0.118088,2.499776,0.237510,0.114956
0.118088,2.490880,0.236292,0.114956
0.119106,2.481984,0.231420,0.113850
0.119106,2.504224,0.242382,0.113850
0.120124,2.499750,0.241164,0.114956
0.120124,2.499750,0.231420,0.113965
0.123178,2.476424,0.231420,0.113965
0.161703,2.597632,0.251320,0.113965
0.139466,2.527576,0.255780,0.113965
0.119106,2.487544,0.230202,0.113965
0.119106,2.485307,0.242382,0.114956
0.119106,2.490862,0.230202,0.113850
0.120124,2.490862,0.235074,0.113850
0.119106,2.486418,0.237510,0.113965
0.119106,2.486432,0.235074,0.113965
0.120124,2.479752,0.236292,0.113850
0.118088,2.502000,0.235460,0.113850
0.123178,2.479760,0.235074,0.113850
0.161703,2.618760,0.251320,0.113965
0.144414,2.513120,0.248880,0.113965
0.119106,2.491992,0.232638,0.113965
0.120124,2.495328,0.241164,0.113965
0.119106,2.487544,0.231420,0.113850
0.120124,2.498664,0.241164,0.113965
0.119106,2.487544,0.231420,0.113850
0.119106,2.487544,0.230202,0.113850
0.119106,2.486432,0.241164,0.113850
0.119106,2.495328,0.239946,0.113850
0.123057,2.475308,0.232638,0.113850
0.156618,2.605416,0.242382,0.113850
0.142380,2.511971,0.257420,0.113850
0.117972,2.493104,0.228984,0.113850
0.118989,2.480863,0.243600,0.113850
0.129159,2.542032,0.232638,0.113850
0.129159,2.481974,0.231420,0.113850
0.119106,2.495328,0.241164,0.113850
0.119106,2.479752,0.231420,0.113850
0.118088,2.473086,0.241164,0.113850
0.118088,2.476424,0.236292,0.113850
0.121023,2.614312,0.248472,0.112860
0.159669,2.500888,0.254562,0.113850
0.144414,2.485320,0.237510,0.113965
0.118989,2.488656,0.237510,0.113850
0.117972,2.486432,0.235074,0.113850
0.117972,2.508672,0.236292,0.113965
0.119106,2.484208,0.235074,0.113965
0.118088,2.484208,0.230202,0.112974
0.118088,2.489768,0.243600,0.112974
0.121142,2.478648,0.230202,0.112974
0.119106,2.476424,0.243600,0.112974
0.119106,2.476424,0.239946,0.112860
0.155601,2.607640,0.252126,0.112860
0.151533,2.474200,0.252126,0.112860
0.118088,2.523128,0.246036,0.112860
0.119106,2.474200,0.230202,0.112860
0.122040,2.485320,0.242183,0.112860
0.120124,2.599856,0.230202,0.112974
0.119106,2.480872,0.236292,0.112974
0.118989,2.488656,0.237510,0.112974
0.121023,2.478648,0.236292,0.112974
0.120124,2.479760,0.235074,0.112974
0.119106,2.484208,0.238728,0.112974
0.160686,2.593184,0.236292,0.112974
0.151533,2.481984,0.258640,0.112974
0.119106,2.517568,0.237510,0.112860
0.119106,2.470864,0.230202,0.112860
0.121142,2.497552,0.243600,0.112860
0.121142,2.476424,0.231420,0.112860
0.120124,2.476424,0.242382,0.112860
0.119106,2.493104,0.230202,0.112860
0.118088,2.480872,0.232638,0.112860
0.124196,2.484208,0.241164,0.112974
0.119106,2.565384,0.241164,0.112860
0.154584,2.513082,0.253760,0.112860
0.148482,2.505305,0.242382,0.112860
0.118088,2.470864,0.236292,0.112860
0.118088,2.489751,0.236292,0.112974
0.118088,2.475308,0.233856,0.112860
0.119106,2.487529,0.238728,0.112860
0.117070,2.468642,0.236292,0.112974
0.119106,2.480872,0.231420,0.112974
0.118088,2.486432,0.236292,0.112860
0.119106,2.468642,0.236680,0.112860
0.118088,2.508638,0.237510,0.112974
0.154584,2.569832,0.256200,0.112860
0.151533,2.527576,0.248880,0.112974
0.119106,2.471975,0.236292,0.112860
0.119106,2.471976,0.237900,0.112860
0.118088,2.490880,0.235074,0.112860
0.119106,2.479760,0.230202,0.112860
0.118088,2.487544,0.242382,0.112860
0.119106,2.478641,0.230202,0.112860
0.118088,2.491992,0.237510,0.112974
0.121142,2.470864,0.236292,0.112974
0.118088,2.480872,0.237900,0.113965
0.151533,2.480872,0.250100,0.113965
0.151533,2.598744,0.239946,0.113850
