A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.149499,2.619872,0.053372,0.117810
0.109944,1.850360,0.054585,0.116820
0.224115,2.514232,0.047307,0.115830
0.232232,2.753562,0.061863,0.115830
0.194056,2.766918,0.058224,0.114840
0.195072,2.764692,0.043632,0.114840
0.194056,2.765805,0.042420,0.113850
0.194056,2.766918,0.042420,0.113850
0.194056,2.768031,0.042455,0.113850
0.194056,2.768031,0.042420,0.113850
0.194056,2.766918,0.041242,0.112860
0.192850,2.765805,0.042455,0.112860
0.194056,3.127575,0.075144,0.112860
0.180848,3.198456,0.326700,0.113850
0.212135,3.212964,0.330330,0.113850
0.226345,3.211848,0.353320,0.114840
0.192850,3.212964,0.343640,0.115830
0.182880,3.241980,0.342430,0.115830
0.183896,3.298896,0.356360,0.115830
0.182880,3.282156,0.358776,0.116820
0.183896,3.282156,0.351528,0.116820
0.183896,3.281040,0.353944,0.116820
0.184912,3.288852,0.356360,0.117810
0.183896,3.292200,0.357568,0.117810
0.184912,3.291084,0.356360,0.117810
0.211328,3.291084,0.370856,0.117810
0.228938,3.266532,0.369648,0.117810
0.184912,3.289968,0.357568,0.117810
0.184912,3.286620,0.353944,0.117810
0.184912,3.283272,0.352736,0.118800
0.185928,3.300012,0.359984,0.118800
0.183896,3.291084,0.361192,0.118800
0.186944,3.279924,0.356360,0.118800
0.184912,3.304476,0.353944,0.118800
0.185928,3.294432,0.352736,0.118800
0.212344,3.304476,0.363608,0.118800
0.231648,3.295548,0.370856,0.118800
0.200970,3.291084,0.362400,0.118800
0.185928,3.322332,0.358776,0.119790
0.184912,3.292200,0.356360,0.118800
0.184912,3.298896,0.359984,0.119911
0.185928,3.286620,0.358776,0.119790
0.186944,3.311172,0.355152,0.120780
0.185928,3.311172,0.355152,0.119790
0.185928,3.281040,0.353944,0.119911
0.185928,3.278808,0.350320,0.119790
0.186944,3.312288,0.366024,0.119911
0.211328,3.326796,0.366024,0.119790
0.229616,3.250908,0.373272,0.119790
0.203200,3.308940,0.363608,0.119790
0.185928,3.311172,0.353944,0.120780
0.185928,3.315636,0.355152,0.120780
0.185928,3.300012,0.357568,0.119790
0.185928,3.276576,0.356360,0.119790
0.184912,3.297780,0.358776,0.120780
0.186944,3.302244,0.357568,0.120780
0.185928,3.305592,0.356360,0.119790
0.188976,3.286620,0.357568,0.119790
0.207264,3.302244,0.359984,0.119790
0.231420,3.282156,0.368440,0.120780
0.185928,3.288852,0.367232,0.120780
0.185928,3.325680,0.359984,0.120780
0.185928,3.310056,0.356360,0.120780
0.185928,3.273228,0.356360,0.120780
0.185928,3.305592,0.357568,0.120780
0.185928,3.322332,0.357568,0.120780
0.186111,3.305592,0.355152,0.120780
0.185928,3.303360,0.353944,0.120780
0.206248,3.267648,0.351528,0.120780
0.229951,3.267648,0.369648,0.120780
0.205436,3.294432,0.368440,0.120780
0.185928,3.286620,0.350320,0.120780
0.184912,3.277692,0.355152,0.120780
0.184912,3.297780,0.362400,0.120780
0.185928,3.312288,0.363608,0.120780
0.185928,3.295548,0.357568,0.120780
0.185928,3.300012,0.350320,0.120780
0.185928,3.301128,0.355152,0.120780
0.184912,3.317868,0.363608,0.120780
0.185928,3.303360,0.358776,0.120780
0.206248,3.268764,0.368440,0.120780
0.229616,3.269880,0.374480,0.120780
0.207060,3.281040,0.357568,0.120780
0.185928,3.285504,0.351528,0.120780
0.185928,3.310056,0.353944,0.120780
0.185928,3.326796,0.359984,0.120780
0.185928,3.297780,0.358776,0.120902
0.185928,3.297780,0.352736,0.120902
0.185928,3.289968,0.355152,0.120780
0.185928,3.294432,0.358776,0.120780
0.185928,3.291084,0.364816,0.120902
0.206248,3.281040,0.364816,0.120902
0.229390,3.273228,0.373272,0.120902
0.209090,3.298896,0.373272,0.120902
0.184912,3.296664,0.349112,0.120902
0.185928,3.272112,0.356360,0.120902
0.184912,3.278808,0.358776,0.120780
0.185928,3.312288,0.363608,0.120780
0.184912,3.295548,0.352736,0.120780
0.185928,3.287736,0.352736,0.120780
0.184912,3.311172,0.350320,0.120780
0.207264,3.283272,0.359984,0.120780
0.228375,3.274344,0.372064,0.120780
0.209090,3.269880,0.369648,0.120780
