A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.216408,2.805873,0.074115,0.116938
0.203200,2.805873,0.059437,0.115947
0.142380,1.475631,0.042455,0.114840
0.219456,3.113080,0.042455,0.114956
0.219456,3.148760,0.042455,0.114956
0.219456,3.152105,0.042455,0.114956
0.220472,3.154335,0.042455,0.114956
0.219456,3.155450,0.042455,0.114956
0.219456,3.157680,0.042455,0.114956
0.219456,3.158795,0.042420,0.114956
0.219456,3.161025,0.041242,0.114956
0.256512,3.135380,0.060650,0.114956
0.228486,3.237960,0.179524,0.115947
0.229616,3.243096,0.230090,0.114956
0.229616,3.227925,0.216948,0.115830
0.236495,3.221892,0.248460,0.115830
0.231648,3.247560,0.254310,0.115830
0.231648,3.265416,0.218160,0.115830
0.238760,3.263184,0.261576,0.115947
0.233680,3.282156,0.247248,0.115947
0.238760,3.275460,0.296695,0.116938
0.237744,3.311172,0.262787,0.116938
0.247741,3.275460,0.251888,0.116938
0.241440,3.263605,0.238764,0.116938
0.247450,3.288852,0.279741,0.116938
0.239540,3.281040,0.290640,0.116820
0.239540,3.311172,0.262787,0.117929
0.239540,3.269880,0.285796,0.117929
0.238525,3.310056,0.276108,0.117929
0.239540,3.283272,0.268842,0.117929
0.238525,3.291084,0.301539,0.117929
0.239540,3.305592,0.255521,0.117929
0.238525,3.278808,0.290640,0.117929
0.251490,3.273228,0.248460,0.117929
0.243452,3.247560,0.261792,0.117929
0.242640,3.304476,0.256944,0.117929
0.239776,3.276576,0.272250,0.117929
0.238525,3.305592,0.299117,0.117929
0.240555,3.295548,0.255521,0.117810
0.237510,3.282156,0.295484,0.117929
0.239540,3.318984,0.270053,0.117929
0.239540,3.313404,0.289429,0.117810
0.239540,3.286620,0.257943,0.117810
0.249984,3.282156,0.282163,0.117810
0.241200,3.254256,0.243612,0.117810
0.242687,3.254256,0.284585,0.117929
0.240555,3.287736,0.265209,0.117929
0.239776,3.305592,0.279741,0.118920
0.239540,3.282156,0.287007,0.118920
0.237510,3.313404,0.259154,0.118800
0.237510,3.278808,0.259154,0.118920
0.239540,3.304476,0.305172,0.117810
0.239540,3.297780,0.262787,0.118920
0.238525,3.282156,0.278530,0.118920
0.240792,3.321216,0.287007,0.118920
0.252506,3.278808,0.279741,0.118920
0.253260,3.263605,0.272700,0.118920
0.250494,3.276576,0.266420,0.118920
0.239776,3.277692,0.262787,0.118920
0.239776,3.311172,0.285796,0.118920
0.239540,3.294432,0.277319,0.118920
0.239540,3.293316,0.267410,0.118920
0.238525,3.311172,0.303961,0.118920
0.237510,3.281040,0.254310,0.118920
0.251750,3.297780,0.294273,0.118920
0.241570,3.312288,0.290640,0.118920
0.254016,3.281040,0.273686,0.118920
0.263208,3.278808,0.291851,0.118920
0.255765,3.286620,0.297906,0.118920
0.239540,3.316752,0.289429,0.118920
0.237510,3.278808,0.268842,0.118920
0.239776,3.301128,0.296695,0.118920
0.240555,3.286620,0.255521,0.118920
0.239540,3.323448,0.294273,0.118920
0.240555,3.281040,0.271264,0.118920
0.237510,3.312288,0.273686,0.118920
0.251739,3.258720,0.282163,0.118920
0.262944,3.287736,0.289429,0.118920
0.253260,3.285504,0.278530,0.118920
0.237510,3.293316,0.289429,0.118920
0.239540,3.297780,0.262787,0.118920
0.238525,3.310056,0.287007,0.118920
0.239540,3.282156,0.276108,0.118920
0.239540,3.313404,0.269830,0.118920
0.239776,3.289968,0.301539,0.119911
0.240792,3.300012,0.254310,0.118800
0.237510,3.313404,0.293062,0.118920
0.241570,3.276576,0.255732,0.119911
0.251750,3.289968,0.294273,0.118920
0.262211,3.289968,0.243612,0.119911
0.246470,3.258720,0.278760,0.118920
0.243600,3.282156,0.262787,0.118920
0.237510,3.316752,0.261576,0.118920
0.238525,3.304476,0.301539,0.118920
0.240555,3.295548,0.268842,0.118920
0.238525,3.288852,0.272475,0.118920
0.240555,3.317868,0.291851,0.119911
0.239776,3.274344,0.291851,0.118920
0.239540,3.307824,0.263998,0.118920
0.261214,3.277692,0.284585,0.118920
0.256256,3.291084,0.289429,0.118920
0.238525,3.293316,0.244824,0.118920
0.239540,3.288852,0.289190,0.118920
0.238525,3.291084,0.278530,0.118920
0.239540,3.306708,0.266420,0.118920
0.239540,3.277692,0.289429,0.118920
0.239540,3.304476,0.267631,0.119911
0.239540,3.296664,0.277090,0.118920
0.237744,3.285504,0.297906,0.118920
0.253764,3.306708,0.255310,0.118920
0.260478,3.273228,0.291851,0.118920
0.249498,3.264300,0.271264,0.119911
0.238525,3.275460,0.271264,0.118920
0.240555,3.308940,0.278530,0.118920
0.239540,3.295548,0.267631,0.118920
0.239540,3.284388,0.289429,0.118920
0.239540,3.306708,0.265209,0.118920
0.239540,3.282156,0.281930,0.119790
0.239540,3.300012,0.291851,0.118800
0.239540,3.300012,0.256732,0.118800
0.239540,3.278808,0.294273,0.118920
0.252506,3.278808,0.291851,0.118920
0.250750,3.262068,0.231301,0.118920
0.252252,3.265416,0.270053,0.118920
0.240792,3.313404,0.274897,0.118920
0.238525,3.281040,0.267410,0.118920
0.239540,3.301128,0.293062,0.118920
0.237510,3.300012,0.265209,0.118920
0.239540,3.282156,0.278300,0.118920
0.238525,3.307824,0.284585,0.118920
0.240792,3.285504,0.265209,0.118920
0.250743,3.270996,0.263998,0.118920
0.260260,3.275460,0.293062,0.118800
0.259000,3.275460,0.293062,0.118920
0.239540,3.303360,0.267631,0.118800
0.240555,3.279924,0.288218,0.118800
0.240555,3.297780,0.270053,0.118800
0.238525,3.298896,0.274670,0.118800
0.240555,3.281040,0.288218,0.119911
0.238525,3.313404,0.258940,0.118920
0.240555,3.279924,0.299117,0.119911
0.239540,3.300012,0.273686,0.119790
0.250245,3.303360,0.273686,0.118800
0.260000,3.270996,0.278530,0.118800
0.258482,3.282156,0.301539,0.118920
0.239540,3.273228,0.261576,0.118920
0.241570,3.284388,0.267410,0.119911
0.238525,3.314520,0.302750,0.118920
0.238525,3.282156,0.259154,0.119911
0.240555,3.297780,0.280952,0.119911
0.238525,3.300012,0.287007,0.118920
0.239540,3.278808,0.262787,0.119911
0.239540,3.301128,0.280952,0.118920
0.239540,3.294432,0.282163,0.118920
0.249984,3.281040,0.274670,0.118920
0.260000,3.275460,0.289429,0.118920
0.260000,3.274344,0.279741,0.119911
0.239540,3.297780,0.289429,0.119911
0.240792,3.276576,0.261576,0.119911
0.238760,3.306708,0.284585,0.119911
0.238525,3.284388,0.257943,0.119911
0.239540,3.306708,0.293062,0.119911
0.239540,3.281040,0.276108,0.119790
0.240555,3.294432,0.267631,0.119790
0.248460,3.285504,0.289429,0.118920
0.248235,3.265416,0.232512,0.118920
0.252506,3.283272,0.253308,0.118800
0.238525,3.278808,0.263998,0.118920
0.239540,3.307824,0.279741,0.119911
0.238525,3.283272,0.296695,0.118920
0.239540,3.287736,0.256732,0.119911
0.237510,3.304476,0.285796,0.119911
0.238525,3.276576,0.283374,0.119911
0.238525,3.293316,0.265209,0.118920
0.239540,3.297780,0.282163,0.119911
0.244904,3.263184,0.266640,0.119911
0.249747,3.249792,0.263004,0.119911
0.260000,3.286620,0.280952,0.118920
0.240555,3.283675,0.259154,0.119911
0.237510,3.297780,0.294273,0.119911
0.239540,3.294825,0.282163,0.119911
0.239540,3.275460,0.257943,0.119911
0.239540,3.304476,0.291851,0.118920
0.239540,3.282156,0.276108,0.118920
0.239540,3.282560,0.268842,0.118920
0.239540,3.295940,0.287007,0.119911
0.237510,3.282156,0.274897,0.119911
0.243651,3.282156,0.283374,0.118800
0.253238,3.277692,0.274897,0.119790
0.239540,3.272112,0.287007,0.118800
0.239540,3.308940,0.255521,0.118800
0.239540,3.281040,0.293062,0.119911
0.237510,3.289968,0.277319,0.118920
0.240555,3.301128,0.266420,0.119911
0.239540,3.278808,0.287007,0.119911
0.239540,3.297780,0.273686,0.118800
0.239540,3.301128,0.266200,0.119911
0.243410,3.272112,0.284585,0.119911
0.261000,3.270295,0.285796,0.118800
0.264205,3.273228,0.289190,0.118800
0.240555,3.288852,0.267631,0.118800
0.239540,3.304476,0.271264,0.119790
0.239540,3.276576,0.280952,0.119790
0.239540,3.304476,0.273686,0.119911
0.239540,3.279924,0.287007,0.119911
0.237510,3.307824,0.266420,0.118920
0.239776,3.281040,0.276108,0.119911
0.240555,3.292200,0.261576,0.119911
0.244133,3.276576,0.297906,0.118920
0.260000,3.278808,0.291851,0.118920
0.259956,3.269880,0.291851,0.119911
0.237820,3.264300,0.266420,0.118800
0.237510,3.286620,0.250677,0.118920
0.237510,3.282156,0.284585,0.119911
0.239540,3.307824,0.278530,0.119911
0.238525,3.283272,0.261576,0.119911
0.239776,3.282156,0.296695,0.119911
0.239776,3.304476,0.277319,0.118920
0.239540,3.281040,0.260365,0.119911
0.245630,3.258720,0.259154,0.119911
0.257000,3.283272,0.290640,0.119911
0.261214,3.259836,0.268842,0.119911
0.239540,3.259836,0.287007,0.119911
0.239540,3.300012,0.266420,0.119911
0.239540,3.294432,0.273686,0.118920
0.238525,3.278808,0.301539,0.119911
0.239540,3.306708,0.260365,0.118920
0.239540,3.288852,0.274670,0.118920
0.238525,3.281040,0.289429,0.119911
0.239540,3.300012,0.268842,0.118920
0.239844,3.288852,0.285796,0.118920
0.261000,3.268764,0.295240,0.119911
0.262211,3.276576,0.287244,0.118920
0.239540,3.295548,0.256944,0.119911
0.237510,3.279924,0.256732,0.119911
0.239540,3.294432,0.283140,0.119911
0.236495,3.298896,0.285796,0.119911
0.239540,3.283272,0.265209,0.119911
0.238525,3.289968,0.274897,0.119911
0.238525,3.307824,0.287244,0.119911
0.238525,3.279924,0.267631,0.119911
0.242585,3.294432,0.273686,0.119911
0.254508,3.273228,0.289668,0.119911
0.261214,3.254256,0.255521,0.119911
0.239540,3.285504,0.278530,0.119911
0.239540,3.278808,0.266420,0.119911
0.239540,3.293316,0.268842,0.119911
0.239540,3.296664,0.291851,0.119911
0.239540,3.279924,0.272475,0.119911
0.239540,3.304476,0.284585,0.118920
0.238525,3.277692,0.278530,0.119911
0.238525,3.293316,0.260150,0.119911
0.239844,3.275460,0.297906,0.119911
0.254265,3.257604,0.268842,0.118920
0.263940,3.275460,0.256732,0.119790
0.236029,3.301128,0.294273,0.119911
0.239540,3.281040,0.282163,0.119911
0.238525,3.295548,0.259154,0.118800
0.239540,3.298896,0.290640,0.119911
0.237510,3.281040,0.279741,0.119911
0.238525,3.296664,0.265209,0.119911
0.238525,3.305592,0.280952,0.119911
0.239540,3.276576,0.283374,0.119911
0.241094,3.287736,0.268842,0.119911
0.261000,3.291084,0.284350,0.119911
0.259220,3.248676,0.284820,0.118920
0.241868,3.300012,0.266420,0.119911
0.237510,3.300012,0.282163,0.119911
0.241570,3.278808,0.267631,0.119911
0.237510,3.297780,0.282163,0.119911
0.240555,3.288852,0.260365,0.119911
0.238525,3.300012,0.287007,0.119911
0.239540,3.293316,0.280952,0.119911
0.237510,3.278808,0.266420,0.119911
0.240081,3.297780,0.277319,0.119911
0.258516,3.288852,0.294273,0.119911
0.262211,3.250908,0.280952,0.119911
0.237585,3.265416,0.263004,0.119911
0.238525,3.303360,0.282163,0.119911
0.239776,3.285504,0.282163,0.119911
0.239540,3.282156,0.296695,0.119911
0.237510,3.297780,0.259154,0.119911
0.239540,3.294432,0.273686,0.119790
0.237510,3.278808,0.288218,0.119911
0.243892,3.293316,0.272475,0.119911
0.248729,3.300012,0.274897,0.119911
0.260260,3.278808,0.285796,0.119911
0.263940,3.269880,0.293062,0.118800
0.246440,3.272112,0.274670,0.119790
0.238525,3.302244,0.271264,0.119911
0.239540,3.295548,0.268842,0.119911
0.237510,3.275460,0.283374,0.119911
0.239540,3.298896,0.279741,0.119911
0.237510,3.292200,0.261360,0.119790
0.238525,3.279924,0.287007,0.118920
0.238525,3.293316,0.293062,0.119911
0.238525,3.297780,0.257943,0.118920
0.257771,3.267648,0.280952,0.119911
0.249249,3.252024,0.248255,0.119911
0.242880,3.296664,0.273686,0.119911
