A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.150368,3.308205,0.014532,0.099000
0.107802,1.620290,0.039996,0.098010
0.047846,1.700352,0.053372,0.097020
0.045810,1.601488,0.048520,0.097020
0.043774,2.257740,0.116352,0.096030
0.076275,2.767768,0.287481,0.096030
0.090513,2.902320,0.306180,0.097020
0.081440,2.806688,0.330480,0.097020
0.108819,2.508638,0.253935,0.097020
0.113904,3.051846,0.327240,0.097118
0.106785,3.224361,0.329664,0.097118
0.115938,3.134265,0.319968,0.097118
0.108819,3.105270,0.325759,0.098109
0.116955,3.260260,0.322126,0.098109
0.110853,3.011615,0.317806,0.098109
0.120006,3.006213,0.315810,0.098010
0.123057,3.078558,0.323871,0.098109
0.121023,3.175520,0.317544,0.099000
0.113904,3.197649,0.323190,0.099000
0.126108,3.174405,0.318230,0.099100
0.121023,3.201165,0.317544,0.099000
0.121023,3.153220,0.322658,0.099000
0.115938,3.231270,0.320232,0.099100
0.117972,3.121965,0.320760,0.099100
0.115938,3.155355,0.317282,0.099100
0.115938,3.184440,0.324280,0.099100
0.105768,3.250225,0.323190,0.100091
0.111870,3.259145,0.323604,0.099100
0.107802,3.182210,0.306889,0.100091
0.115938,3.066250,0.313908,0.099100
0.110853,3.109722,0.311227,0.099990
0.114921,3.094125,0.318493,0.100091
0.114921,3.139840,0.313649,0.099990
0.115938,3.159910,0.323604,0.099990
0.124074,3.168711,0.317282,0.099990
0.102818,3.244395,0.312954,0.099990
0.113904,3.072940,0.325490,0.099990
0.129159,3.253570,0.318493,0.100091
0.111870,3.203214,0.317544,0.099990
0.121023,3.232152,0.323604,0.099990
0.117972,3.149875,0.311484,0.099990
0.113904,3.210085,0.324816,0.100091
0.104751,3.144225,0.303961,0.100091
0.121023,3.226810,0.321445,0.099990
0.116955,3.085205,0.326028,0.099990
0.111870,3.067365,0.320120,0.099990
0.110853,3.122000,0.323070,0.099990
0.108819,3.195590,0.320232,0.100091
0.114921,3.212315,0.328723,0.099990
0.110853,3.200050,0.322126,0.100091
0.118989,3.192245,0.325759,0.099990
