A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.040720,0.613268,0.003633,0.084150
0.041738,0.914387,0.032724,0.085140
0.091620,0.466569,0.032724,0.085140
0.119106,0.466146,0.029088,0.085140
0.119106,0.463942,0.029088,0.085140
0.118989,0.463942,0.029088,0.085140
0.119106,0.463942,0.030300,0.085140
0.120006,0.463942,0.030300,0.085140
0.119106,0.463942,0.029088,0.085226
0.128142,0.465044,0.032724,0.085140
0.118989,0.465044,0.027876,0.085140
0.118989,0.463942,0.029088,0.085140
0.208075,0.473860,0.145920,0.085140
0.246645,0.478268,0.152000,0.085140
0.236495,0.478268,0.116736,0.085140
0.218225,0.476064,0.116640,0.085140
0.241570,0.479370,0.149568,0.085140
0.233450,0.477166,0.125248,0.085140
0.265406,0.481574,0.153216,0.086130
0.261870,0.482676,0.154432,0.086130
0.202184,0.481574,0.152000,0.086130
0.261870,0.479370,0.127680,0.086130
0.262885,0.482676,0.154432,0.086130
0.262885,0.482676,0.153216,0.086130
0.262885,0.482676,0.144704,0.086130
0.251720,0.482676,0.154432,0.086130
0.248460,0.482676,0.144704,0.086130
0.254762,0.483778,0.150784,0.087120
0.254263,0.482676,0.149568,0.086130
0.264393,0.482676,0.149568,0.086130
0.265144,0.482676,0.152000,0.087120
0.255270,0.483778,0.150784,0.087120
0.261096,0.483778,0.148352,0.087120
0.264393,0.483778,0.150784,0.087120
0.265406,0.483778,0.150784,0.087120
0.256289,0.483778,0.144704,0.087120
0.265406,0.483778,0.152000,0.087120
0.264393,0.483778,0.149568,0.087120
0.261849,0.483778,0.149568,0.087120
0.252750,0.484880,0.148352,0.087120
0.264393,0.483778,0.149568,0.087120
0.265406,0.483778,0.149568,0.087120
0.264393,0.485982,0.148352,0.087120
0.257302,0.484880,0.148352,0.087120
0.263380,0.484880,0.149568,0.087120
0.262367,0.484880,0.149568,0.087120
0.262367,0.484880,0.145920,0.087120
0.266419,0.484880,0.149568,0.087120
0.263380,0.484880,0.152000,0.087120
0.264393,0.484880,0.149568,0.087120
0.264393,0.484880,0.150784,0.087120
0.264393,0.484880,0.149568,0.087120
0.263380,0.485982,0.149568,0.087120
0.262367,0.485982,0.152000,0.087120
0.264393,0.484880,0.148352,0.087120
0.264393,0.484880,0.150784,0.087120
0.264393,0.485982,0.149568,0.087120
0.265406,0.484880,0.150784,0.087120
0.265406,0.484880,0.150784,0.087120
0.265406,0.484880,0.150784,0.087120
0.264393,0.485982,0.150784,0.087120
0.257810,0.639160,0.144704,0.087120
0.254263,0.487084,0.144704,0.087120
0.265406,0.485982,0.150784,0.087120
0.257536,0.484880,0.152000,0.087120
0.261820,0.485982,0.149568,0.087120
0.266419,0.484880,0.150784,0.087120
0.262367,0.485541,0.148352,0.087120
0.262080,0.485982,0.149568,0.087120
0.263380,0.484880,0.150784,0.087120
0.242687,1.010348,0.143488,0.087120
0.263380,0.982345,0.152000,0.087120
0.264393,0.489288,0.148352,0.088110
0.265406,0.488186,0.152000,0.088110
0.261354,0.488186,0.148352,0.088110
0.259840,0.489288,0.150784,0.088110
0.248185,1.162460,0.138624,0.088110
0.254772,1.271900,0.147136,0.088110
0.254016,1.579368,0.147136,0.088110
0.259328,1.384712,0.147136,0.089100
0.264393,1.198925,0.148352,0.089100
0.255524,1.176825,0.152000,0.089100
0.240555,1.177930,0.139840,0.089100
0.265406,0.676628,0.148352,0.089100
0.265406,0.494798,0.152000,0.090090
0.263380,0.492594,0.147136,0.089100
0.264393,0.489945,0.150784,0.089100
0.265406,0.489945,0.152000,0.089100
0.262566,0.489288,0.149568,0.089100
0.262566,0.490390,0.152000,0.089100
0.265406,0.489288,0.150784,0.089100
0.262367,0.488186,0.149568,0.089100
0.263380,0.489288,0.150784,0.089100
0.264393,0.488186,0.147136,0.089100
0.261354,0.488186,0.148352,0.089100
0.264393,0.488186,0.149568,0.089100
0.261354,0.489288,0.152000,0.089100
0.262600,0.489288,0.149568,0.089100
0.261849,0.488186,0.148352,0.089100
0.265406,0.488186,0.150784,0.088110
0.264393,0.487084,0.149568,0.088110
0.263380,0.488186,0.150784,0.088110
0.263380,0.487743,0.148352,0.089100
0.266419,0.487084,0.148352,0.088110
0.263380,0.487084,0.150784,0.088110
0.263380,0.487084,0.148352,0.088110
0.262367,0.487084,0.149568,0.088110
0.265406,0.487084,0.149568,0.088110
0.264393,0.488186,0.149568,0.088110
0.264393,0.488186,0.149568,0.088110
0.264393,0.488186,0.150784,0.088110
0.266419,0.487084,0.147136,0.088110
0.265406,0.488186,0.152000,0.088110
0.264393,0.487743,0.149568,0.088110
0.266419,0.487084,0.149568,0.088110
0.264393,0.487084,0.150784,0.088110
0.264393,0.487084,0.152000,0.088110
0.264393,0.487084,0.150784,0.088110
0.263380,0.488186,0.150784,0.088110
0.261820,0.487743,0.149568,0.088110
0.265406,0.488186,0.149568,0.088110
0.262367,0.486642,0.150784,0.088110
0.262367,0.488186,0.152000,0.088110
0.264393,0.487084,0.149568,0.088110
0.263380,0.487084,0.148352,0.088110
0.265406,0.488186,0.149568,0.088110
0.264393,0.488186,0.149568,0.088110
0.267432,0.487084,0.152000,0.088110
0.264393,0.487084,0.149568,0.088110
0.263380,0.487084,0.149568,0.088110
0.265406,0.488186,0.150784,0.088110
0.266419,0.488186,0.149568,0.088110
0.265406,0.487084,0.150784,0.088110
0.262367,0.487743,0.149568,0.088110
0.266419,0.486642,0.150784,0.088110
0.265406,0.486642,0.150784,0.088110
0.266419,0.489288,0.150784,0.088110
0.266419,0.487084,0.149568,0.088110
0.260813,0.487084,0.150784,0.088110
0.266419,0.488186,0.150784,0.088110
0.265406,0.487743,0.150784,0.088110
0.263380,0.487743,0.150784,0.088110
0.266419,0.489288,0.150784,0.088110
0.265406,0.487084,0.150784,0.088110
0.264393,0.488186,0.152000,0.089100
0.265406,0.489288,0.150784,0.089100
0.266419,0.487084,0.150784,0.088110
0.265406,0.487084,0.150784,0.089100
0.265930,0.488186,0.150784,0.089100
0.264393,0.489288,0.149568,0.089100
0.265406,0.488186,0.150784,0.089100
0.265406,0.488186,0.149568,0.088110
0.266419,0.488186,0.152000,0.088110
0.264393,0.488186,0.149568,0.089100
0.265406,0.488186,0.150784,0.088110
0.265406,0.488844,0.150784,0.088110
0.265406,0.488186,0.149568,0.088110
0.264393,0.488186,0.149568,0.089100
0.265406,0.488186,0.150784,0.088110
0.266419,0.489288,0.150784,0.089100
0.265406,0.486642,0.152000,0.088110
0.266419,0.488186,0.150908,0.088110
0.263610,0.487084,0.149568,0.089100
0.263871,0.486642,0.152000,0.089100
0.265406,0.488186,0.149568,0.089100
0.266419,0.487743,0.150784,0.089100
0.266419,0.489288,0.152000,0.089100
