A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.199136,2.241484,0.041174,0.091080
0.107908,1.007760,0.036330,0.091080
0.200194,3.970935,0.010899,0.092163
0.297804,4.030390,0.008477,0.092163
0.298800,4.035721,0.008477,0.092070
0.298800,4.050514,0.008477,0.093154
0.299796,4.053868,0.007266,0.094145
0.299796,4.057222,0.007266,0.094145
0.299495,4.061694,0.008477,0.095136
0.299495,4.059178,0.007266,0.095136
0.300490,4.066166,0.007266,0.096030
0.300490,4.068402,0.007266,0.096030
0.300490,4.070638,0.008477,0.097020
0.300490,4.071756,0.007266,0.097020
0.300490,4.076228,0.008477,0.097020
0.300490,4.079582,0.008477,0.098010
0.300490,4.079582,0.007266,0.098010
0.300490,4.081818,0.007266,0.098010
0.301485,4.081818,0.007266,0.099000
0.301485,4.082936,0.008477,0.099000
0.301485,4.080401,0.008477,0.099000
0.301485,4.080401,0.010899,0.099000
0.301485,4.086290,0.007266,0.099000
0.301485,4.088526,0.008477,0.100091
0.301485,4.090762,0.008477,0.099990
0.301485,4.090762,0.008477,0.100091
0.301485,4.090762,0.007266,0.100091
0.301485,4.090762,0.008477,0.099990
0.301485,4.094116,0.008477,0.101082
0.301485,4.094116,0.007266,0.100980
0.301485,4.096352,0.007266,0.101082
0.301485,4.096352,0.008477,0.101082
0.301485,4.098588,0.008477,0.102073
0.301788,4.097470,0.007266,0.102073
0.301485,4.097470,0.008477,0.102073
0.301485,4.098588,0.007266,0.102073
0.301485,4.098588,0.007266,0.102073
0.302480,4.096352,0.007266,0.102073
0.302480,4.099706,0.008477,0.102073
0.302480,4.099706,0.008477,0.101970
0.301788,4.132128,0.008477,0.102073
0.302784,4.133246,0.007266,0.102073
0.302480,4.135482,0.007266,0.102073
0.302480,4.134364,0.008477,0.102073
0.302480,4.135482,0.008477,0.101970
0.302480,4.135482,0.008477,0.102960
0.302480,4.136600,0.007266,0.101970
0.302480,4.136600,0.007266,0.101970
0.301485,4.137718,0.008477,0.102960
0.302480,4.137718,0.008477,0.103064
0.302480,4.136600,0.008477,0.103064
0.302480,4.136600,0.009688,0.102960
0.302480,4.136600,0.008477,0.103064
0.302480,4.137718,0.007266,0.103064
0.302480,4.137718,0.007266,0.103064
0.302480,4.139954,0.008477,0.102960
0.302480,4.137718,0.007266,0.103064
0.302480,4.138836,0.007266,0.103064
0.302480,4.141072,0.008477,0.103064
0.302480,4.141072,0.007266,0.102960
0.302480,4.142190,0.008477,0.103950
0.302480,4.141072,0.008477,0.104055
0.302480,4.139954,0.007266,0.104055
0.302480,4.142190,0.008477,0.104055
0.302480,4.144426,0.006055,0.102960
0.302480,4.143308,0.008477,0.103950
0.302480,4.143308,0.008477,0.103950
0.302480,4.139954,0.007266,0.103950
0.302480,4.139954,0.008477,0.104055
0.302480,4.139954,0.009688,0.103950
0.302480,4.142190,0.009688,0.103950
0.302480,4.143308,0.008477,0.104055
0.302480,4.142190,0.008477,0.104055
0.302480,4.141072,0.008477,0.104055
0.302480,4.143308,0.007266,0.103950
0.302480,4.142190,0.008477,0.104055
0.302480,4.145544,0.007266,0.104055
0.302480,4.155606,0.008477,0.103950
0.302480,4.165668,0.008477,0.103950
0.302480,4.166786,0.009688,0.103950
0.302480,4.166786,0.008477,0.103950
0.302480,4.166786,0.009688,0.103950
0.302480,4.166786,0.008477,0.103950
0.302480,4.165668,0.007266,0.103950
0.302480,4.167904,0.007266,0.103950
0.302480,4.165668,0.007266,0.103950
0.302480,4.166786,0.008477,0.103950
0.302480,4.166786,0.008477,0.103950
0.302480,4.167904,0.008477,0.103950
0.302480,4.166786,0.007266,0.103950
0.302480,4.166786,0.008477,0.103950
0.303475,4.167904,0.007266,0.104055
0.302480,4.167904,0.008477,0.103950
0.302480,4.169022,0.009688,0.103950
0.302480,4.167904,0.007266,0.103950
0.303475,4.166786,0.007266,0.103950
0.303475,4.169022,0.007266,0.103950
0.302480,4.169022,0.008477,0.103950
0.302480,4.167904,0.009688,0.103950
0.302480,4.169022,0.008477,0.103950
0.302480,4.166786,0.008477,0.103950
0.302480,4.166786,0.008477,0.103950
0.302480,4.169022,0.007266,0.103950
