A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.220558,2.445311,0.050946,0.113850
0.156705,2.064600,0.050946,0.113850
0.231304,3.359160,0.032724,0.113965
0.245016,4.286704,0.030300,0.115947
0.245016,4.302398,0.030300,0.115947
0.251988,4.313608,0.036360,0.116938
0.266660,4.315850,0.059437,0.117929
0.273625,4.320960,0.059437,0.118920
0.273625,4.334907,0.049733,0.118920
0.248004,4.338270,0.031512,0.119790
0.248004,4.347238,0.030300,0.120780
0.249996,4.349480,0.031512,0.121770
0.249000,4.353964,0.030300,0.122760
0.249000,4.356206,0.030300,0.122760
0.249000,4.358448,0.031512,0.122760
0.249996,4.362932,0.031512,0.122760
0.252984,4.332665,0.035148,0.123750
0.284570,4.332665,0.057011,0.124740
0.269916,4.358448,0.050946,0.124740
0.250740,4.367416,0.032724,0.124740
0.248750,4.367416,0.031512,0.124740
0.249745,4.369658,0.030300,0.125730
0.276610,4.366295,0.054585,0.125730
0.258700,4.362932,0.047307,0.126720
0.249745,4.374142,0.031512,0.126720
0.248750,4.375263,0.030300,0.127710
0.248750,4.376384,0.031512,0.127839
0.267655,4.376384,0.040029,0.127839
0.288550,4.359569,0.057011,0.127839
0.291535,4.328181,0.059437,0.127839
0.303475,4.323697,0.037603,0.127839
0.303475,4.325939,0.031512,0.127710
0.292530,4.324818,0.031512,0.128700
0.250740,4.323697,0.031512,0.128700
0.250740,4.328181,0.030300,0.128700
0.249996,4.328181,0.031512,0.128700
0.250740,4.327060,0.031512,0.129821
0.249996,4.330423,0.031538,0.128830
0.253980,4.329302,0.030300,0.128700
0.280590,4.323697,0.050946,0.129690
0.280590,4.332665,0.064395,0.129690
0.286560,4.330423,0.036390,0.129690
0.250992,4.332665,0.030300,0.129821
0.249996,4.333786,0.031538,0.129690
0.250740,4.332665,0.031512,0.129690
0.249996,4.332665,0.031538,0.129821
0.249745,4.332665,0.031512,0.129821
0.249745,4.333786,0.031512,0.129821
0.249745,4.333786,0.031512,0.129690
0.250740,4.312487,0.047307,0.129690
0.281585,4.336028,0.064289,0.129690
0.280590,4.333786,0.033964,0.130680
0.249745,4.336028,0.033964,0.129821
0.249745,4.334907,0.031538,0.130812
0.249745,4.365174,0.031538,0.129821
0.250740,4.423466,0.031538,0.130812
0.250740,4.424587,0.030325,0.129821
0.249745,4.425708,0.030300,0.130812
0.250740,4.426829,0.030300,0.130812
0.250740,4.426829,0.031538,0.130812
0.253725,4.397683,0.031512,0.131803
0.280590,4.429071,0.042455,0.130680
0.272630,4.429071,0.066715,0.131803
0.250740,4.420103,0.043668,0.131803
0.250740,4.427950,0.031538,0.131803
0.249745,4.429071,0.031538,0.131670
0.250740,4.430192,0.031538,0.131670
0.250740,4.427950,0.030325,0.131803
0.251735,4.430192,0.030325,0.131803
0.249745,4.432434,0.030325,0.131803
0.250740,4.434144,0.031538,0.131803
0.251735,4.435266,0.030300,0.131803
0.251735,4.421802,0.040029,0.131670
0.265665,4.431313,0.065502,0.131803
0.277605,4.420103,0.040029,0.131803
0.252730,4.435266,0.031538,0.131803
0.251735,4.431313,0.031512,0.131803
0.250740,4.430192,0.030325,0.131803
0.250740,4.431313,0.031512,0.131670
0.249745,4.432434,0.030300,0.131670
0.249745,4.431313,0.030300,0.132794
0.249745,4.359569,0.031512,0.131803
0.249745,4.348359,0.038816,0.132794
0.269645,4.346117,0.061863,0.131803
0.275615,4.358448,0.043668,0.131803
0.251735,4.361811,0.033964,0.132794
0.250740,4.360690,0.030300,0.131670
0.250740,4.360690,0.030325,0.131670
0.252730,4.360690,0.030325,0.131803
0.251735,4.361811,0.030325,0.132794
0.252730,4.358448,0.029088,0.131803
0.251735,4.361811,0.031512,0.131803
0.251735,4.360690,0.031512,0.131803
0.251735,4.358448,0.036360,0.132794
0.282580,4.353964,0.058224,0.131670
0.282580,4.361811,0.052159,0.132660
0.252730,4.361811,0.031512,0.132794
0.252730,4.361811,0.031512,0.131670
0.251735,4.361811,0.031512,0.132794
0.250740,4.361811,0.031512,0.132794
0.252730,4.360690,0.030300,0.132660
0.249745,4.360690,0.032724,0.132794
0.250740,4.359569,0.030325,0.132794
0.250740,4.359569,0.031538,0.132794
0.249745,4.358448,0.031512,0.132794
0.249745,4.353964,0.035148,0.132794
0.282580,4.353964,0.058224,0.132794
0.281585,4.353964,0.055798,0.132794
0.250992,4.426829,0.030325,0.132794
0.251735,4.483512,0.030325,0.132794
0.252730,4.483512,0.030325,0.132794
0.253725,4.481758,0.030325,0.132794
0.252730,4.488000,0.031512,0.132794
0.254720,4.488000,0.031512,0.132794
0.252730,4.484000,0.031512,0.132794
0.254720,4.489122,0.032751,0.133785
0.276610,4.467804,0.055798,0.132794
0.291535,4.491366,0.059437,0.133785
0.252730,4.494732,0.030325,0.133785
0.251735,4.493610,0.030325,0.133785
0.252730,4.494732,0.031538,0.133650
0.251735,4.493610,0.031538,0.133650
