A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.046828,1.564191,0.027899,0.100980
0.051918,1.391499,0.036390,0.101082
0.048864,2.143119,0.027899,0.101082
0.044792,2.415264,0.027899,0.101082
0.045810,2.419712,0.027899,0.100091
0.045810,2.420824,0.044881,0.101082
0.091620,2.508672,0.050946,0.100980
0.064134,2.429720,0.027899,0.100980
0.044792,2.421936,0.027899,0.100980
0.044792,2.423048,0.027899,0.100980
0.044792,2.420824,0.027899,0.100980
0.044792,2.420824,0.027899,0.100980
0.044792,2.420824,0.027899,0.100980
0.045900,2.421936,0.027899,0.100980
0.045900,2.421936,0.027899,0.100980
0.045810,2.423048,0.027899,0.100980
0.044792,2.420824,0.027899,0.100980
0.090602,2.505336,0.040029,0.100980
0.120124,2.426384,0.055798,0.100980
0.117070,2.425272,0.029112,0.100980
0.115938,2.424160,0.027876,0.101082
0.118088,2.421936,0.027899,0.100980
0.116052,2.423048,0.029112,0.100980
0.117070,2.424160,0.029112,0.100980
0.116052,2.423048,0.029112,0.100980
0.116052,2.424160,0.029112,0.100980
0.116052,2.424160,0.029112,0.100980
0.155601,2.512008,0.036390,0.100980
0.137295,2.453072,0.061965,0.101970
0.115034,2.426384,0.029112,0.101970
0.114016,2.426384,0.027899,0.101970
0.113904,2.427496,0.027899,0.101970
0.115938,2.425272,0.027899,0.101970
0.115938,2.426384,0.029112,0.101970
0.113904,2.425272,0.029112,0.102073
0.114921,2.423048,0.029112,0.101970
0.113904,2.420824,0.029112,0.101970
0.115938,2.418600,0.027899,0.100980
0.115034,2.506448,0.031538,0.100980
0.155601,2.453072,0.063076,0.101970
0.139329,2.419712,0.032751,0.101970
0.115938,2.421936,0.027899,0.101970
0.115938,2.421936,0.029112,0.100980
0.117070,2.416425,0.029112,0.100980
0.116052,2.419758,0.029112,0.100980
0.117070,2.419758,0.029112,0.100980
0.115938,2.420824,0.029112,0.101970
0.116052,2.421936,0.029112,0.101970
0.118088,2.420824,0.029112,0.101970
0.117070,2.420824,0.029112,0.100980
0.151533,2.505336,0.061965,0.101970
0.146448,2.454184,0.038816,0.101970
0.118088,2.419712,0.029112,0.101970
0.116052,2.423048,0.029112,0.100980
0.116052,2.420824,0.027899,0.100980
0.116052,2.424160,0.029112,0.100980
0.117070,2.420869,0.027899,0.100980
0.115034,2.420869,0.027899,0.100980
0.117070,2.419758,0.029112,0.100980
0.115938,2.418647,0.029112,0.100980
0.115938,2.419758,0.029112,0.100980
0.149499,2.496440,0.029112,0.100980
0.115938,2.408648,0.058224,0.101970
0.115938,2.406426,0.029112,0.100980
0.117972,2.411981,0.029112,0.101970
0.121142,2.411981,0.029112,0.100980
0.117070,2.405315,0.029112,0.100980
0.116052,2.407537,0.027899,0.101970
0.118088,2.410870,0.027899,0.101970
0.116052,2.411981,0.027899,0.100980
0.118088,2.410870,0.027899,0.101970
0.116052,2.455310,0.029112,0.100980
0.152550,2.453088,0.053372,0.101970
0.149499,2.444200,0.048520,0.102073
0.117972,2.410870,0.029112,0.102073
0.117070,2.411981,0.029112,0.102073
0.117972,2.415264,0.027899,0.102073
0.116052,2.410870,0.029112,0.101082
0.117070,2.409759,0.027899,0.102073
0.115034,2.410870,0.027899,0.102073
0.116052,2.410870,0.027899,0.100980
0.115034,2.408648,0.027899,0.100980
0.115938,2.408648,0.029112,0.102073
0.144414,2.498664,0.049733,0.100980
0.146448,2.443089,0.052159,0.102073
0.112998,2.420869,0.029112,0.102073
0.115034,2.445311,0.029112,0.102073
0.116052,2.445311,0.029112,0.101082
0.116052,2.448624,0.027899,0.101082
0.116052,2.448624,0.027899,0.102073
0.116052,2.447512,0.027899,0.101970
0.116052,2.448624,0.027899,0.101970
0.116052,2.447512,0.029112,0.102073
0.118088,2.446400,0.029112,0.102073
0.171700,2.446400,0.044881,0.102073
0.215498,2.533136,0.059437,0.102073
0.185928,2.460856,0.030325,0.102073
0.185928,2.445288,0.029112,0.102073
0.185928,2.444176,0.030300,0.102073
0.184912,2.444176,0.030300,0.102073
0.184912,2.443064,0.030300,0.101970
0.183896,2.441952,0.030325,0.101970
0.184912,2.440840,0.030325,0.101970
0.184912,2.441952,0.031538,0.101970
0.184912,2.441952,0.041242,0.102073
0.207460,2.535360,0.063076,0.101970
0.214491,2.481984,0.030325,0.101970
0.183896,2.445288,0.030300,0.101970
0.183896,2.444176,0.029112,0.102073
0.185928,2.444176,0.030325,0.101970
0.184912,2.444176,0.030325,0.102073
0.184912,2.429720,0.029112,0.101970
0.185928,2.425272,0.029112,0.101970
0.186944,2.425272,0.029112,0.101970
0.185928,2.424160,0.029112,0.101970
0.186944,2.424160,0.029112,0.101970
0.209484,2.515344,0.035177,0.102073
0.218654,2.451960,0.064395,0.101970
0.185928,2.425272,0.032751,0.102073
0.186944,2.423048,0.027899,0.101970
0.185928,2.424160,0.027899,0.102073
0.185928,2.425272,0.029112,0.102073
0.185928,2.425272,0.029112,0.102073
0.184912,2.424160,0.029112,0.102073
0.184912,2.423048,0.029112,0.102073
0.184912,2.423048,0.029112,0.102073
0.184912,2.423048,0.029112,0.102073
0.204222,2.514232,0.030325,0.102073
0.216648,2.457520,0.064395,0.102073
0.181543,2.425272,0.035177,0.101970
0.183896,2.424160,0.029112,0.101970
0.183896,2.424160,0.029112,0.102073
0.184912,2.424160,0.030325,0.102073
