A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.054060,1.576368,0.027899,0.122760
0.055990,1.559763,0.038816,0.122760
0.186295,4.376384,0.031538,0.122884
0.311435,4.411135,0.032724,0.123750
0.312430,4.429071,0.031538,0.124866
0.313425,4.440281,0.031538,0.125857
0.311435,4.410014,0.048520,0.125857
0.304470,4.454854,0.059437,0.126848
0.302480,4.458217,0.035177,0.127839
0.314420,4.464943,0.033964,0.127839
0.314420,4.474536,0.033936,0.128830
0.314420,4.475658,0.032724,0.129821
0.315415,4.480146,0.032751,0.129821
0.315415,4.477274,0.031538,0.130812
0.315415,4.479516,0.031538,0.130812
0.315415,4.480637,0.032724,0.130812
0.315415,4.491366,0.031512,0.131803
0.315415,4.456584,0.031512,0.131803
0.303475,4.477902,0.044881,0.131803
0.306460,4.472790,0.060650,0.131803
0.315415,4.488484,0.036360,0.131803
0.316410,4.488484,0.031512,0.132794
0.315415,4.489605,0.032724,0.132794
0.314420,4.489605,0.032724,0.132794
0.316410,4.489605,0.033936,0.132794
0.315415,4.491847,0.032724,0.133785
0.316410,4.491847,0.032724,0.133785
0.314420,4.508662,0.031512,0.132794
0.304470,4.537368,0.042455,0.133785
0.304470,4.537368,0.061965,0.133785
0.316410,4.546776,0.041242,0.134776
0.316410,4.566540,0.032724,0.134776
0.316410,4.567662,0.032751,0.134776
0.316410,4.567662,0.032751,0.134776
0.316410,4.569906,0.032751,0.134776
0.316410,4.569906,0.031512,0.134776
0.316410,4.563591,0.031512,0.134776
0.316410,4.571028,0.032724,0.134640
0.316410,4.571028,0.031512,0.134776
0.315415,4.563174,0.039996,0.134776
0.305465,4.529514,0.064395,0.134776
0.305465,4.573272,0.042455,0.135630
0.316410,4.573272,0.032724,0.135767
0.316410,4.575516,0.032724,0.135630
0.316410,4.574394,0.032724,0.135630
0.316410,4.575516,0.032724,0.135630
0.316410,4.575516,0.032724,0.135630
0.316410,4.576638,0.031538,0.135630
0.316410,4.578882,0.031512,0.135767
0.316410,4.577760,0.032724,0.136758
0.315415,4.577760,0.037572,0.136758
0.306460,4.526148,0.064289,0.136758
0.316410,4.556442,0.046094,0.136758
0.316410,4.513146,0.031512,0.136758
0.316410,4.513146,0.031512,0.136758
0.316410,4.514267,0.032751,0.136758
0.317405,4.518294,0.032751,0.136758
0.316410,4.513146,0.031538,0.136758
0.316410,4.519416,0.032724,0.136758
0.316410,4.520538,0.032724,0.136758
0.315415,4.513146,0.031512,0.136620
0.307455,4.471669,0.036390,0.136620
0.303475,4.503057,0.058224,0.136758
0.316410,4.514267,0.047307,0.136758
0.316410,4.517172,0.031512,0.136758
0.316410,4.514267,0.031512,0.136758
0.316410,4.515388,0.032724,0.136758
0.316410,4.513146,0.031512,0.136758
0.316410,4.513146,0.031538,0.136758
0.317405,4.513146,0.031538,0.136758
0.317405,4.513146,0.031512,0.136758
0.317405,4.519416,0.032724,0.136758
0.317405,4.518294,0.033936,0.136758
0.307455,4.477274,0.058224,0.136758
0.303475,4.515388,0.054585,0.136758
0.317405,4.519416,0.032724,0.136758
0.317405,4.520538,0.032724,0.136758
0.317405,4.519416,0.032724,0.136758
0.317405,4.514267,0.032724,0.136758
0.317405,4.508662,0.031512,0.136620
0.317405,4.506420,0.031512,0.136620
0.317405,4.506420,0.031512,0.136620
0.317405,4.507541,0.032751,0.136620
0.317405,4.506420,0.032724,0.136620
0.305465,4.468306,0.052159,0.136620
0.301485,4.508662,0.058224,0.136758
0.317405,4.507541,0.031538,0.136758
0.317405,4.506420,0.031512,0.136758
0.317405,4.509783,0.032724,0.136758
0.317405,4.509783,0.031538,0.136620
0.317405,4.508662,0.032751,0.136620
0.317405,4.508662,0.032751,0.136620
0.317405,4.509783,0.032751,0.136758
0.317405,4.510904,0.032751,0.136620
0.308450,4.470548,0.052159,0.136620
0.303475,4.508662,0.059535,0.136758
0.303475,4.495210,0.032751,0.136758
0.316410,4.509783,0.036390,0.136758
0.314420,4.514928,0.035177,0.136620
0.317405,4.508662,0.032751,0.136758
0.318400,4.509783,0.032751,0.136620
0.319395,4.509783,0.031538,0.136620
0.319395,4.510904,0.033936,0.136758
0.319395,4.523235,0.033964,0.136758
0.319395,4.531758,0.032751,0.136620
0.319395,4.492488,0.033936,0.136620
0.309445,4.522782,0.047307,0.136758
0.305465,4.518294,0.060750,0.136758
0.319395,4.532880,0.038816,0.136758
0.319395,4.532880,0.032751,0.136758
0.319395,4.524356,0.031512,0.136620
0.319395,4.525477,0.033964,0.136758
0.319395,4.525477,0.032724,0.136620
0.319395,4.525477,0.033936,0.136620
0.319395,4.525477,0.033936,0.136620
0.319395,4.524356,0.033964,0.136620
0.319395,4.526598,0.033936,0.136620
0.311435,4.498573,0.042455,0.136620
0.302480,4.508662,0.065610,0.136758
0.319395,4.515388,0.038816,0.136620
0.319395,4.532880,0.031538,0.137749
0.319395,4.528840,0.032751,0.136758
0.318400,4.530636,0.032751,0.137749
0.319395,4.532880,0.036390,0.136758
0.319395,4.527719,0.033964,0.136758
0.319395,4.525477,0.033964,0.136758
0.319395,4.527719,0.032751,0.136758
0.312430,4.532880,0.038816,0.136620
0.312430,4.555320,0.061965,0.136620
0.306460,4.565418,0.048520,0.136620
0.315415,4.574394,0.032751,0.136620
0.319395,4.576638,0.032751,0.137749
0.319395,4.575516,0.032724,0.137749
0.320390,4.569196,0.033936,0.137749
0.319395,4.569196,0.032724,0.137610
0.319395,4.571438,0.032751,0.137749
0.319395,4.569196,0.032751,0.137749
0.319395,4.569196,0.032751,0.137749
0.319395,4.577760,0.037603,0.137749
0.313425,4.528392,0.064395,0.137749
0.303475,4.560930,0.044881,0.137749
0.319395,4.576638,0.032751,0.137749
0.319395,4.577760,0.032751,0.137749
0.319395,4.580004,0.032751,0.137749
0.319395,4.577760,0.032751,0.137749
0.319395,4.576638,0.033964,0.137749
0.319395,4.576638,0.033964,0.137749
0.319395,4.577760,0.032751,0.137749
0.319395,4.577760,0.033964,0.137749
0.319395,4.575516,0.032751,0.137749
0.312430,4.527719,0.036390,0.137749
0.302480,4.569906,0.059535,0.137749
0.319395,4.576638,0.046094,0.137749
0.319395,4.528840,0.031538,0.137749
0.318753,4.541856,0.032724,0.137749
0.319395,4.554198,0.032751,0.137749
