A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.040800,1.371440,0.003636,0.087120
0.046920,1.485594,0.014544,0.087120
0.048864,2.248860,0.007266,0.087208
0.040720,2.256630,0.004848,0.088199
0.040720,2.257740,0.004844,0.088110
0.041820,2.261070,0.004844,0.088110
0.040800,2.262180,0.003633,0.088199
0.041820,2.265510,0.003633,0.088110
0.041820,2.264400,0.003633,0.089190
0.042840,2.267551,0.003633,0.089100
0.040800,2.267730,0.004844,0.090181
0.042840,2.267730,0.003636,0.090181
0.041820,2.268840,0.003633,0.090181
0.041820,2.268840,0.003636,0.090090
0.041820,2.271995,0.003636,0.090090
0.042756,2.272170,0.003633,0.090090
0.042756,2.272170,0.004844,0.090090
0.041820,2.275328,0.003633,0.091080
0.042840,2.272170,0.003636,0.090090
0.041820,2.268840,0.003636,0.091080
0.041738,2.271995,0.003636,0.091080
0.051918,2.270884,0.008484,0.091080
0.040800,2.280883,0.004848,0.092070
0.042840,2.276439,0.003636,0.092070
0.041820,2.276610,0.003636,0.092070
0.041820,2.274390,0.003636,0.092070
0.042840,2.276439,0.003636,0.092070
0.042840,2.277550,0.003636,0.092070
0.041820,2.276610,0.003636,0.092070
0.041820,2.275500,0.003636,0.092070
0.043860,2.273280,0.004848,0.092163
0.041738,2.273280,0.003633,0.092070
0.041820,2.273280,0.003636,0.092070
0.041738,2.273280,0.004844,0.092070
0.043774,2.276610,0.004844,0.092070
0.042840,2.276610,0.004844,0.093154
0.043774,2.276610,0.003633,0.092163
0.041738,2.277720,0.003633,0.093154
0.043774,2.278830,0.003633,0.092163
0.041738,2.278661,0.003633,0.092163
0.043774,2.277720,0.003633,0.093060
0.043774,2.276610,0.004844,0.093060
0.043774,2.278830,0.004844,0.093060
0.042756,2.276610,0.003633,0.093060
0.042756,2.278830,0.003636,0.093060
0.042756,2.278830,0.003636,0.093060
0.041738,2.278830,0.003633,0.093060
0.042756,2.281050,0.003633,0.093060
0.042756,2.278830,0.003633,0.093060
0.042756,2.277720,0.004848,0.093060
0.041738,2.276610,0.003633,0.093060
0.043774,2.278830,0.003633,0.093154
0.041738,2.281050,0.004844,0.093060
0.044792,2.277720,0.003633,0.094050
0.041738,2.278830,0.004844,0.093154
0.042756,2.279940,0.004844,0.094050
0.041738,2.279940,0.003633,0.093060
0.043774,2.279940,0.003633,0.094050
0.043774,2.278830,0.003633,0.094050
0.043774,2.384280,0.009688,0.094050
0.043774,2.282160,0.004844,0.094050
0.043774,2.279940,0.003633,0.094050
0.042756,2.278830,0.003636,0.094050
0.043774,2.281050,0.004844,0.094050
0.042756,2.281050,0.003633,0.094050
0.043774,2.279940,0.003636,0.094050
0.042756,2.279940,0.003633,0.094145
0.043774,2.279940,0.003636,0.094050
0.042756,2.279940,0.003633,0.094145
0.043774,2.277720,0.003633,0.094050
0.041738,2.281050,0.003633,0.094050
0.043774,2.281050,0.004848,0.094145
0.041738,2.279940,0.004848,0.094145
0.042756,2.278830,0.003633,0.094145
0.041738,2.281050,0.003633,0.094050
0.042756,2.279940,0.003633,0.094145
0.041738,2.282160,0.003633,0.094050
0.042840,2.279940,0.003633,0.094145
0.042840,2.263290,0.004848,0.094145
0.042756,2.256630,0.003636,0.094050
0.042840,2.256630,0.003636,0.093060
0.043774,2.257740,0.004848,0.093154
0.042756,2.259960,0.004848,0.093154
0.042756,2.258850,0.004848,0.094145
0.043774,2.255520,0.004844,0.094145
0.041738,2.253300,0.003633,0.093154
0.043774,2.256630,0.003633,0.093154
0.041738,2.256630,0.003636,0.093154
0.043774,2.256630,0.003633,0.093154
0.042756,2.255520,0.003633,0.093154
0.043774,2.255520,0.004848,0.093154
0.041738,2.256630,0.003633,0.094145
0.042756,2.254410,0.003633,0.093154
0.042756,2.257740,0.003633,0.093154
0.041738,2.256630,0.003633,0.093154
0.041738,2.255520,0.003633,0.093154
0.042756,2.255520,0.003633,0.093154
0.041738,2.255520,0.003633,0.093060
0.042756,2.256630,0.003633,0.093154
0.041738,2.256630,0.003633,0.093154
0.042756,2.253300,0.004844,0.093154
0.041738,2.253300,0.003633,0.093154
0.042756,2.254410,0.003636,0.093154
0.041738,2.256630,0.003633,0.093154
0.042756,2.253300,0.003633,0.092163
0.041738,2.252190,0.003636,0.093154
0.042756,2.254410,0.003636,0.092163
0.041738,2.253300,0.003633,0.092163
0.043774,2.249970,0.003633,0.092070
0.042756,2.253300,0.003633,0.092163
0.042756,2.254410,0.003633,0.092070
0.042756,2.254410,0.003633,0.092163
0.042756,2.251080,0.003633,0.092163
0.042756,2.252190,0.003633,0.092163
