A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.107908,0.467248,0.006060,0.087120
0.192146,0.855270,0.015756,0.087120
0.295812,3.989024,0.008477,0.088199
0.295812,4.022564,0.007266,0.089190
0.296510,4.033487,0.007266,0.091172
0.297804,4.045774,0.007266,0.092163
0.297804,4.060576,0.009688,0.093154
0.297804,4.070638,0.009688,0.095136
0.298500,4.082936,0.007266,0.095136
0.298800,4.088526,0.008477,0.096127
0.299495,4.098588,0.007266,0.097118
0.299495,4.104178,0.007266,0.099100
0.300792,4.108650,0.007266,0.099100
0.300490,4.113122,0.008477,0.100091
0.300490,4.120948,0.007266,0.101082
0.300490,4.124302,0.008477,0.101082
0.300490,4.129892,0.007266,0.102073
0.300490,4.133246,0.008477,0.102073
0.300490,4.135482,0.008477,0.103064
0.300490,4.138836,0.008477,0.103950
0.300490,4.141072,0.008477,0.103950
0.300490,4.139954,0.008477,0.103950
0.301485,4.144426,0.007266,0.104940
0.301485,4.143308,0.007266,0.105930
0.301485,4.148898,0.009688,0.106037
0.301485,4.152252,0.008477,0.105930
0.301485,4.153370,0.007266,0.106037
0.301485,4.153370,0.007266,0.106037
0.301485,4.163040,0.008477,0.107028
0.302480,4.154488,0.007266,0.107028
0.302480,4.158960,0.008477,0.106920
0.302480,4.166400,0.008477,0.108019
0.302480,4.158960,0.008477,0.108019
0.302480,4.167520,0.007266,0.109010
0.302480,4.169760,0.007266,0.108900
0.302480,4.166400,0.008477,0.109010
0.302480,4.170880,0.009688,0.109010
0.302480,4.174240,0.008477,0.108900
0.302480,4.167520,0.008477,0.109010
0.302480,4.134364,0.008477,0.109010
0.302480,4.131010,0.007266,0.109010
0.303475,4.128774,0.007266,0.109010
0.303475,4.128774,0.007266,0.109890
0.303475,4.128774,0.009688,0.109010
0.303475,4.129892,0.007266,0.109890
0.303475,4.131010,0.007266,0.109890
0.303475,4.133246,0.008477,0.109890
0.303475,4.131010,0.009688,0.109890
0.303475,4.123184,0.009688,0.110880
0.303475,4.133246,0.008477,0.110880
0.303475,4.133246,0.008477,0.110992
0.303475,4.127656,0.007266,0.110992
0.303475,4.131010,0.007266,0.110992
0.303475,4.135482,0.007266,0.110992
0.303475,4.134364,0.008477,0.110880
0.303475,4.135482,0.008477,0.110992
0.303475,4.136600,0.008477,0.110992
0.303475,4.135482,0.007266,0.110880
0.303475,4.134364,0.007266,0.110880
0.303475,4.137718,0.008477,0.110992
0.303475,4.136600,0.007266,0.110992
0.303475,4.135482,0.008477,0.110992
0.303475,4.136600,0.008477,0.110992
0.303475,4.136600,0.007266,0.110880
0.303475,4.136600,0.007266,0.110880
0.303475,4.138836,0.008477,0.110880
0.303475,4.135482,0.008477,0.110992
0.303475,4.139954,0.008477,0.110880
0.303475,4.135482,0.008477,0.110880
0.303475,4.136600,0.007266,0.110992
0.303475,4.136600,0.007266,0.110992
0.303475,4.146240,0.008477,0.110992
0.303475,4.146240,0.007266,0.110880
0.303475,4.138836,0.008477,0.110880
0.303475,4.146240,0.007266,0.110880
0.303475,4.146240,0.008477,0.110880
0.303475,4.161920,0.008477,0.110880
0.303475,4.178720,0.008477,0.110992
0.303475,4.180960,0.008477,0.110880
0.303475,4.176480,0.007266,0.110992
0.303475,4.165668,0.008477,0.110880
0.303475,4.175360,0.008477,0.110880
0.303475,4.179840,0.008477,0.110880
0.303475,4.177600,0.007266,0.110880
0.303475,4.177600,0.008477,0.110880
0.303475,4.174240,0.008477,0.110880
0.303475,4.177600,0.007266,0.110992
0.303475,4.177600,0.007266,0.110992
0.303475,4.174240,0.008477,0.110880
0.303475,4.169022,0.007266,0.110880
0.303475,4.176480,0.007266,0.110880
0.303475,4.169022,0.008477,0.110880
0.303475,4.175360,0.008477,0.110880
0.303475,4.170140,0.008477,0.110992
0.303475,4.175360,0.008477,0.110992
0.303475,4.166786,0.008477,0.110880
0.303475,4.162314,0.008477,0.110880
0.303475,4.167904,0.008477,0.110880
0.303475,4.166786,0.008477,0.110880
0.303475,4.165668,0.008477,0.110880
0.303475,4.167904,0.008477,0.110880
0.303475,4.166786,0.006055,0.110880
0.303475,4.166786,0.009688,0.110880
0.303475,4.176480,0.009688,0.110880
0.303475,4.175360,0.007266,0.110880
0.304470,4.175360,0.010899,0.110880
0.304470,4.175360,0.008477,0.110992
0.304470,4.174240,0.008477,0.110880
0.304470,4.167904,0.009688,0.110992
0.303475,4.164550,0.010899,0.110880
0.303475,4.173120,0.009688,0.110880
0.304470,4.165668,0.009688,0.110992
0.304470,4.169022,0.009688,0.110880
0.304470,4.155606,0.009688,0.110880
0.303475,4.152252,0.009688,0.110880
0.304470,4.160800,0.008477,0.110880
0.304470,4.165280,0.008477,0.110992
0.303475,4.164160,0.009688,0.110992
0.303475,4.165280,0.008477,0.110992
0.304470,4.163040,0.008477,0.110992
0.304470,4.163040,0.010899,0.110880
0.303475,4.164160,0.009688,0.110880
0.304470,4.161920,0.008477,0.110880
0.304470,4.161920,0.009688,0.110880
0.303475,4.161920,0.009688,0.110880
0.303475,4.160800,0.009688,0.110880
0.303475,4.152252,0.009688,0.110992
0.303475,4.152252,0.008477,0.110992
0.304470,4.152252,0.009688,0.110992
0.304470,4.148898,0.009688,0.110992
0.304470,4.153370,0.008477,0.110880
0.304470,4.151134,0.008477,0.110880
0.303475,4.151134,0.010899,0.110880
0.303475,4.152252,0.009688,0.110880
0.304470,4.152252,0.009688,0.110992
0.303475,4.152252,0.009688,0.110992
0.303475,4.151134,0.008477,0.110992
0.303475,4.153370,0.008477,0.110880
0.304470,4.151134,0.008477,0.110880
0.303475,4.153370,0.008477,0.110880
0.303475,4.151134,0.008477,0.110992
0.303475,4.146662,0.008477,0.110880
0.303475,4.158560,0.009688,0.109890
0.303475,4.150016,0.009688,0.109890
0.303475,4.163040,0.008477,0.110880
0.303475,4.152252,0.008477,0.109890
0.303475,4.157440,0.009688,0.109890
0.303475,4.153370,0.008477,0.109890
0.304470,4.150016,0.008477,0.109890
0.304470,4.158560,0.009688,0.109890
0.303475,4.167520,0.009688,0.109890
0.303475,4.182080,0.009688,0.109890
0.304470,4.185440,0.008477,0.109890
0.303475,4.185440,0.009688,0.110880
0.303475,4.182080,0.009688,0.109890
0.303475,4.183200,0.008477,0.109890
0.303475,4.177966,0.008477,0.109890
0.303475,4.175730,0.008477,0.109890
0.303475,4.175730,0.009688,0.109890
0.303475,4.175730,0.008477,0.109890
0.304470,4.183200,0.009688,0.109890
0.303475,4.175730,0.009688,0.109890
0.303475,4.177966,0.008477,0.109890
0.303475,4.185440,0.009688,0.109890
0.303475,4.177966,0.009688,0.109890
0.303475,4.174612,0.008477,0.109890
0.303475,4.177966,0.008477,0.110001
0.303475,4.185440,0.008477,0.110001
0.303475,4.185440,0.009688,0.110001
0.303475,4.170140,0.009688,0.110001
0.303475,4.176848,0.009688,0.109890
0.303475,4.174612,0.009688,0.109890
0.303475,4.175730,0.008477,0.109890
0.303475,4.184320,0.009688,0.109890
0.303475,4.176848,0.009688,0.109890
0.303475,4.183200,0.008477,0.109890
0.303475,4.182080,0.008477,0.109890
0.303475,4.174612,0.008477,0.109890
0.303475,4.176848,0.008477,0.109890
0.303475,4.183200,0.009688,0.109890
0.303475,4.186560,0.009688,0.109890
0.303475,4.185440,0.008477,0.109890
0.303475,4.185440,0.008477,0.109890
0.303475,4.184320,0.009688,0.109890
0.303475,4.183200,0.013321,0.110001
0.301485,4.186560,0.012110,0.109890
0.303475,4.185440,0.009688,0.109890
0.303475,4.192160,0.009688,0.109890
0.303475,4.195520,0.008477,0.110001
0.303475,4.192160,0.009688,0.109890
0.303475,4.193280,0.009688,0.109890
0.303475,4.188800,0.008477,0.109890
0.303475,4.182438,0.009688,0.109890
0.303475,4.188800,0.008477,0.108900
0.303475,4.189920,0.009688,0.108900
0.303475,4.180202,0.008477,0.108900
0.303475,4.188800,0.009688,0.109890
0.303475,4.181320,0.007266,0.109890
0.303475,4.177966,0.010899,0.109890
0.303475,4.180202,0.010899,0.108900
0.303475,4.191040,0.008477,0.109890
0.303475,4.182438,0.009688,0.109890
0.303475,4.181320,0.010899,0.109890
0.303475,4.182438,0.009688,0.108900
0.303475,4.181320,0.008477,0.108900
0.303475,4.181320,0.008477,0.108900
0.303475,4.182438,0.008477,0.108900
0.303475,4.181320,0.008477,0.108900
0.303475,4.189920,0.008477,0.108900
0.304470,4.188800,0.009688,0.108900
0.304470,4.191040,0.010899,0.109890
0.304470,4.187680,0.009688,0.108900
0.304470,4.175730,0.009688,0.108900
0.304470,4.182438,0.009688,0.108900
0.304470,4.180202,0.008477,0.108900
0.304470,4.180202,0.009688,0.108900
0.304470,4.180202,0.009688,0.108900
0.304470,4.141072,0.009688,0.108900
0.304470,4.179084,0.014532,0.109010
0.304470,4.176848,0.009688,0.108900
0.304470,4.184320,0.009688,0.108900
0.304470,4.184320,0.010899,0.108900
0.304470,4.179084,0.009688,0.108900
0.304470,4.176848,0.008477,0.108900
0.304470,4.174612,0.009688,0.108900
0.304470,4.173494,0.009688,0.109010
0.304470,4.176848,0.008477,0.108900
0.304470,4.177966,0.009688,0.108900
0.304470,4.187680,0.009688,0.108900
0.304470,4.181320,0.010899,0.108900
0.304470,4.182438,0.009688,0.108900
0.304470,4.180202,0.009688,0.109010
0.304470,4.182438,0.009688,0.109010
0.304470,4.180202,0.009688,0.108900
0.304470,4.180202,0.008477,0.108900
0.304470,4.181320,0.009688,0.108900
0.304470,4.188800,0.009688,0.109010
0.304470,4.180202,0.008477,0.108900
0.304470,4.181320,0.010899,0.108900
0.304470,4.180202,0.009688,0.108900
0.304470,4.191040,0.009688,0.108900
0.304470,4.181320,0.008477,0.108900
0.304470,4.176848,0.010899,0.108900
0.304470,4.179084,0.009688,0.108900
0.304470,4.180202,0.008477,0.108900
0.304470,4.179084,0.009688,0.108900
0.303475,4.177966,0.009688,0.108900
0.304470,4.180202,0.009688,0.108900
0.304470,4.175730,0.008477,0.109010
0.304470,4.184320,0.010899,0.109010
0.304470,4.188800,0.010899,0.109010
0.304470,4.179084,0.008477,0.109010
0.304470,4.186560,0.009688,0.108900
0.304470,4.180202,0.009688,0.108900
0.304470,4.182438,0.009688,0.108900
0.304470,4.177966,0.009688,0.108900
0.304470,4.180202,0.010899,0.108900
0.304470,4.174612,0.009688,0.108900
0.304470,4.180202,0.008477,0.108900
0.304470,4.177966,0.010899,0.108900
0.304470,4.175730,0.009688,0.108900
0.304470,4.188028,0.009688,0.108900
0.304470,4.202562,0.009688,0.108900
0.304470,4.184674,0.009688,0.108900
0.304470,4.186910,0.009688,0.108900
0.304470,4.183556,0.009688,0.108900
0.304470,4.183556,0.009688,0.109010
0.304470,4.184674,0.009688,0.108900
0.304470,4.182438,0.012110,0.108900
0.304470,4.184674,0.009688,0.108900
0.304470,4.186910,0.009688,0.108900
0.304470,4.194400,0.008477,0.108900
0.304470,4.193280,0.009688,0.108900
0.304470,4.192160,0.008477,0.108900
0.304470,4.184674,0.009688,0.109010
0.304470,4.192160,0.008477,0.108900
0.304470,4.191040,0.009688,0.109010
0.304470,4.192160,0.009688,0.108900
0.304470,4.192160,0.009688,0.108900
0.304470,4.194400,0.009688,0.108900
0.304470,4.183556,0.010899,0.108900
0.304470,4.183556,0.008477,0.109010
0.304470,4.181320,0.008477,0.108900
0.304470,4.181320,0.008477,0.109010
0.304470,4.183556,0.008477,0.108900
0.304470,4.184674,0.009688,0.108900
0.304470,4.181320,0.009688,0.108900
0.304470,4.191040,0.008477,0.108900
0.304470,4.185792,0.009688,0.109010
0.304470,4.192160,0.009688,0.109010
0.304470,4.192160,0.009688,0.108900
0.304470,4.193280,0.009688,0.108900
0.304470,4.193280,0.008477,0.107910
0.304470,4.193280,0.009688,0.108900
0.304470,4.184674,0.009688,0.108900
0.304470,4.194400,0.008477,0.108900
0.304470,4.183556,0.009688,0.108900
0.304470,4.193280,0.010899,0.108900
0.304470,4.194400,0.009688,0.108900
0.304470,4.171258,0.008477,0.108900
0.304470,4.173494,0.009688,0.108900
0.304470,4.175730,0.009688,0.108900
0.304470,4.174612,0.009688,0.109010
0.304470,4.184320,0.010899,0.109010
0.304470,4.174612,0.009688,0.109010
0.304470,4.176848,0.009688,0.108900
0.304470,4.185440,0.009688,0.108900
0.304470,4.174612,0.009688,0.109010
0.304470,4.172376,0.013321,0.108019
0.305465,4.177966,0.013321,0.107910
0.305465,4.175730,0.013321,0.109010
0.304470,4.175730,0.013321,0.109010
0.303475,4.185440,0.018165,0.108900
0.303475,4.174612,0.014532,0.108900
0.303475,4.174612,0.015743,0.108900
0.303475,4.173494,0.015743,0.109010
0.303475,4.174612,0.014532,0.109010
0.303475,4.169022,0.013321,0.108900
0.303475,4.173494,0.012110,0.108900
0.303475,4.174612,0.012110,0.108900
0.303475,4.174612,0.013321,0.109010
0.303475,4.175730,0.010899,0.108900
0.303475,4.172376,0.012110,0.109010
0.303475,4.171258,0.014532,0.108900
0.303475,4.172376,0.012110,0.107910
0.303475,4.172376,0.012110,0.109010
0.303475,4.173494,0.012110,0.109010
0.303475,4.174612,0.012110,0.109010
0.303475,4.172376,0.012110,0.109010
0.303475,4.172376,0.010899,0.109010
0.303475,4.172376,0.010899,0.107910
0.303475,4.169022,0.012110,0.107910
0.303475,4.171258,0.013321,0.107910
0.303475,4.171258,0.012110,0.107910
0.303475,4.169022,0.012110,0.108900
0.303475,4.172376,0.012110,0.108900
0.303475,4.165668,0.010899,0.109010
0.303475,4.158960,0.012110,0.109010
0.303475,4.170140,0.012110,0.109010
0.303475,4.169022,0.012110,0.108019
0.303475,4.169022,0.010899,0.107910
0.303475,4.167904,0.012110,0.107910
0.303475,4.169022,0.010899,0.107910
0.303475,4.167904,0.013321,0.107910
0.303475,4.169022,0.012110,0.107910
0.303475,4.165668,0.012110,0.107910
0.303475,4.164550,0.012110,0.108900
0.303475,4.167904,0.012110,0.107910
0.303475,4.167904,0.010899,0.107910
0.303475,4.166786,0.012110,0.107910
0.303475,4.166786,0.013321,0.107910
0.303475,4.167904,0.012110,0.107910
0.303475,4.165668,0.013321,0.107910
0.303475,4.167904,0.012110,0.107910
0.303475,4.163432,0.010899,0.107910
0.303475,4.165668,0.013321,0.107910
0.303475,4.165668,0.013321,0.107910
0.303475,4.165668,0.012110,0.108900
0.303475,4.169022,0.012110,0.107910
0.303475,4.169022,0.010899,0.107910
0.303475,4.165668,0.012110,0.108900
0.303475,4.162314,0.012110,0.107910
0.303475,4.166786,0.012110,0.107910
0.303475,4.165668,0.012110,0.107910
0.303475,4.165668,0.013321,0.107910
0.303475,4.167904,0.010899,0.107910
0.303475,4.166786,0.010899,0.107910
0.303475,4.167904,0.010899,0.107910
0.303475,4.165668,0.010899,0.107910
0.303475,4.169022,0.012110,0.109010
0.303475,4.164550,0.012110,0.108019
0.303475,4.166786,0.012110,0.107910
0.302480,4.166786,0.010899,0.107910
0.303475,4.164550,0.015743,0.107910
0.303475,4.165668,0.012110,0.108019
0.303475,4.156724,0.013321,0.108019
0.303475,4.167904,0.012110,0.107910
0.303475,4.172376,0.010899,0.108019
0.303475,4.173494,0.010899,0.108019
0.301485,4.174612,0.019376,0.108019
0.301485,4.174612,0.010899,0.107910
0.303475,4.170140,0.012110,0.108019
0.303475,4.172376,0.013321,0.108019
0.303475,4.172376,0.012110,0.107910
0.303475,4.174612,0.012110,0.108019
0.303475,4.174612,0.012110,0.108019
0.303475,4.172376,0.010899,0.108019
0.303475,4.173494,0.012110,0.108019
0.303475,4.174612,0.012110,0.108019
0.303475,4.174612,0.010899,0.108019
0.302480,4.174612,0.012110,0.108019
0.303475,4.173494,0.010899,0.108019
0.303475,4.174612,0.013321,0.108019
0.303475,4.173494,0.016954,0.107910
0.302480,4.171258,0.010899,0.107910
0.303475,4.174612,0.010899,0.107910
0.303475,4.174612,0.010899,0.107910
0.302480,4.183200,0.014532,0.107910
0.303475,4.184320,0.012110,0.107910
0.303475,4.183200,0.012110,0.108019
0.303475,4.182080,0.012110,0.107910
0.303475,4.174612,0.014532,0.107910
0.303475,4.176848,0.014532,0.107910
0.303475,4.174612,0.012110,0.107910
0.303475,4.175730,0.012110,0.107910
0.302480,4.170140,0.014532,0.107910
0.300490,4.174612,0.010899,0.107910
0.303475,4.175730,0.019376,0.107910
0.303475,4.174612,0.012110,0.107910
0.303475,4.174612,0.014532,0.107910
0.303475,4.172376,0.012110,0.108019
0.303475,4.169022,0.012110,0.107910
0.302480,4.164550,0.008477,0.107910
0.302480,4.165668,0.010899,0.107910
0.303475,4.142190,0.007266,0.108019
0.303475,4.138836,0.006055,0.108019
0.303475,4.139954,0.008477,0.108019
0.303475,4.142190,0.007266,0.108019
0.303475,4.139954,0.007266,0.108019
0.303475,4.143308,0.008477,0.108019
0.303475,4.134364,0.007266,0.106920
0.303475,4.139954,0.007266,0.108019
0.303475,4.141072,0.007266,0.107910
0.303475,4.142190,0.008477,0.107910
0.303475,4.137718,0.009688,0.108019
0.303475,4.139954,0.008477,0.108019
0.303475,4.139954,0.007266,0.108019
0.303475,4.142190,0.007266,0.108019
0.303475,4.141072,0.007266,0.108019
0.303475,4.139954,0.007266,0.108019
0.303475,4.139954,0.008477,0.108019
0.303475,4.143308,0.007266,0.108019
0.303475,4.143308,0.006055,0.107910
0.303475,4.141072,0.007266,0.108019
0.303475,4.139954,0.007266,0.108019
0.303475,4.143308,0.007266,0.108019
0.303475,4.138836,0.007266,0.108019
0.303475,4.137718,0.008477,0.108019
0.303475,4.139954,0.008477,0.108019
0.303475,4.106414,0.013321,0.106920
0.303475,4.138836,0.007266,0.108019
