A7_CLUSTER,A15_CLUSTER,MEMORY,GPU
0.293820,2.956128,0.083973,0.107910
0.290832,2.842272,0.083904,0.109010
0.297804,2.975049,0.082688,0.109010
0.297505,2.991744,0.077824,0.109010
0.291828,3.015117,0.082688,0.110001
0.282580,3.031812,0.103530,0.110992
0.299495,3.074106,0.114492,0.110992
0.290832,2.979501,0.129320,0.110992
0.267267,2.704384,0.129320,0.111983
0.246738,2.687704,0.139080,0.110880
0.245220,2.790008,0.125454,0.110992
0.266266,2.886009,0.101011,0.111870
0.237888,2.528636,0.092416,0.110880
0.251753,2.803647,0.076545,0.110880
0.273452,3.011778,0.088768,0.111983
0.178947,1.955620,0.091200,0.110880
0.185379,2.115344,0.096064,0.110880
0.237888,2.568720,0.096064,0.110880
0.231519,2.637664,0.102228,0.110880
0.235330,2.610976,0.099794,0.110880
0.242446,2.634328,0.091200,0.110880
0.269269,3.115310,0.070470,0.110992
0.273452,2.968371,0.099794,0.111983
0.226240,2.597632,0.103445,0.111983
0.227250,2.484196,0.099712,0.111983
0.229270,2.606528,0.098496,0.110992
0.158496,1.420281,0.093632,0.111870
0.196328,2.246442,0.093632,0.110880
0.254508,2.563160,0.098496,0.110992
0.249240,2.625432,0.088768,0.110992
0.232848,2.697712,0.092416,0.110992
0.244244,3.028473,0.098577,0.110880
0.243210,3.028473,0.099794,0.110992
0.239428,2.575482,0.104662,0.110992
0.274175,2.573168,0.088768,0.110880
0.293820,2.933565,0.064289,0.110992
0.277444,3.013845,0.065610,0.111983
0.164592,2.941370,0.094848,0.112974
0.198120,1.486701,0.091200,0.110880
0.197535,2.021310,0.099712,0.110992
0.239666,2.678991,0.101011,0.110992
0.233856,2.705496,0.101011,0.110992
0.239428,2.378568,0.091200,0.110992
0.249240,2.548770,0.088768,0.110880
0.253506,2.989518,0.097280,0.110992
0.236340,2.474200,0.099712,0.111870
0.211680,1.879230,0.085050,0.110992
0.241680,2.509784,0.099712,0.110992
0.182700,1.903544,0.089984,0.110880
0.210080,2.506448,0.114398,0.110880
0.245220,2.770257,0.104662,0.110880
0.263000,2.878218,0.102144,0.110880
0.253260,2.985970,0.119266,0.110880
0.237585,2.632104,0.115615,0.110880
0.238596,2.590960,0.114398,0.110880
0.233772,2.723511,0.124236,0.110880
0.238832,2.771370,0.131544,0.110992
0.268000,2.985066,0.098577,0.111983
0.253008,3.098585,0.119266,0.111870
0.167640,1.752856,0.097280,0.111870
0.192024,1.680836,0.104576,0.110880
0.229951,2.568720,0.125454,0.110880
0.223873,2.704590,0.130326,0.110880
0.221270,2.500888,0.114398,0.110880
0.250750,2.657680,0.092416,0.110880
0.277884,2.852619,0.071685,0.110880
0.278163,2.889348,0.076545,0.110880
0.250245,2.843715,0.098496,0.110880
0.220616,2.685480,0.096064,0.111870
0.216568,2.397538,0.096064,0.111870
0.203412,2.371985,0.087552,0.110880
0.203412,2.651008,0.081405,0.110880
0.210080,2.850393,0.064395,0.111870
0.283860,2.749976,0.065610,0.111870
0.293525,3.144300,0.065610,0.111870
0.234631,2.641000,0.101011,0.112860
0.234631,2.641000,0.099712,0.111870
0.259480,3.077400,0.098496,0.112860
0.272000,3.074106,0.086336,0.112860
0.257257,2.927190,0.086336,0.112860
0.230603,2.657680,0.101011,0.112860
0.174580,2.029080,0.091200,0.112860
0.190820,1.618434,0.097280,0.111870
0.231290,2.619872,0.099712,0.110880
0.228260,2.504224,0.101011,0.110880
0.242687,2.538635,0.091200,0.110880
0.212688,1.974456,0.083904,0.110880
0.237350,2.665289,0.099712,0.110992
0.242687,2.758872,0.108313,0.110880
0.237652,2.615424,0.099794,0.110880
0.227582,2.827020,0.102228,0.110880
0.253759,2.607517,0.092416,0.110880
0.222200,2.053500,0.085120,0.111870
0.187775,1.583010,0.092416,0.110880
0.224784,2.599968,0.105879,0.110992
0.227250,2.368652,0.098577,0.110992
0.224220,2.468642,0.099794,0.110880
0.229270,2.483096,0.102228,0.110880
0.281154,2.952789,0.088768,0.110992
0.276169,2.970597,0.077824,0.110992
0.237652,2.922738,0.097360,0.110880
0.229497,2.463080,0.099794,0.111870
0.220398,2.328656,0.098577,0.110992
0.180969,2.397600,0.100928,0.110880
0.181327,1.756180,0.094848,0.110992
0.188232,2.476419,0.108313,0.109890
0.229270,2.426384,0.094926,0.110880
0.228260,2.489768,0.092492,0.110880
